date,nav_start,nav_end,aum,aum_prev,nav_return_m,fund_flow,fund_flow_pct
2020-04-30,9.0844,10.2251,48.45,6.65,0.1255669059046276,40.96498007573423,6.160147379809659
2020-05-31,10.6024,10.2882,47.22,48.45,-0.029634799667999645,0.20580604391457769,0.004247802763974772
2020-06-30,10.2885,10.2677,50.43,47.22,-0.002021674685328434,3.305463478641208,0.07000134431684049
2020-07-31,10.6279,11.6033,56.27,50.43,0.09177730313608534,1.2116706028472208,0.024026781734031742
2020-08-31,11.6012,11.8799,57.89,56.27,0.024023376892045478,0.2682045822845964,0.004766386747549252
2020-09-30,11.8869,11.7573,56.46,57.89,-0.010902758498851695,-0.7988393105014779,-0.013799262575599896
2020-10-31,11.5938,11.2614,51.8,56.46,-0.028670496299746384,-3.041263778916324,-0.05386581259150414
2020-11-30,11.2603,11.4723,52.86,51.8,0.018827207090397202,0.08475067271742631,0.001636113372923288
2020-12-31,11.5157,11.9337,54.53,52.86,0.036298271056036446,-0.24872660802208202,-0.004705384185056414
2021-01-31,11.9579,12.5175,53.57,54.53,0.04679751461377002,-3.5118684718888815,-0.06440250269372605
2021-02-28,12.4723,12.3442,52.96,53.57,-0.010270760004169266,-0.05979538657665273,-0.001116210315039252
2021-03-31,12.3437,11.8943,50.62,52.96,-0.03640723607994367,-0.41187277720618454,-0.007777053950267835
2021-04-30,11.9112,11.9829,50.61,50.62,0.0060195446302639954,-0.3147093491839641,-0.006217095005609722
2021-05-31,11.9088,12.5987,54.1,50.61,0.0579319494827355,0.5580640366787577,0.011026754330740124
2021-06-30,12.7295,12.3531,52.58,54.1,-0.02956911111983973,0.07968891158332525,0.001472992820394182
2021-07-31,12.3711,11.4658,48.5,52.58,-0.07317861790786595,-0.23226827040440412,-0.004417426215374745
2021-08-31,11.4654,11.6068,49.17,48.5,0.012332757688349183,0.07186125211506322,0.0014816753013415097
2021-09-30,11.5969,10.9525,46.94,49.17,-0.05556657382576369,0.5022084350127969,0.010213716392369267
2021-10-31,11.0713,11.4,54.03,46.94,0.029689377037926956,5.69638064183971,0.12135450877374755
2021-11-30,11.3994,11.2739,53.04,54.03,-0.011009351369370424,-0.3951647455129148,-0.007313802434072086
2021-12-31,11.189,11.0233,52.4,53.04,-0.014809187594959305,0.1454793100366416,0.002742822587417828
2022-01-31,11.054,11.1918,53.72,52.4,0.01246607562873181,0.6667776370544516,0.012724764065924649
2022-02-28,11.2621,10.8342,51.78,53.72,-0.037994690155477295,0.10107475515223996,0.001881510706482501
2022-03-31,10.9692,10.8539,41.87,51.78,-0.010511249680924872,-9.365727491521717,-0.18087538608578055
2022-04-30,10.9593,11.1164,42.02,41.87,0.014334857153285308,-0.45020046900805255,-0.010752339837784872
2022-05-31,11.1163,10.5039,39.87,42.02,-0.05509027284258261,0.1648932648453183,0.00392416146704708
2022-06-30,10.4285,9.946,37.51,39.87,-0.046267440187946485,-0.5153171597065764,-0.012924935031516841
2022-07-31,10.0301,9.7771,36.76,37.51,-0.025224075532646606,0.19615507322957626,0.0052294074441369305
2022-08-31,9.7771,10.3086,39.02,36.76,0.05436172280123963,0.26166306982643306,0.007118146622046601
2022-09-30,10.3509,9.982,37.82,39.02,-0.03563941299790352,0.19064989517818987,0.004885953233679904
2022-10-31,10.0046,10.1001,38.31,37.82,0.00954560901985091,0.12898506686924094,0.003410498859578026
2022-11-30,10.1343,10.7152,40.28,38.31,0.0573201898503104,-0.22593647316539034,-0.0058975847863584
2022-12-31,10.6833,10.2836,38.77,40.28,-0.03741353327155461,-0.0029828798217792496,-7.405362020305983e-05
2023-01-31,10.2836,10.4194,39.88,38.77,0.013205492240071504,0.5980230658524306,0.01542489207770004
2023-02-28,10.6346,10.7913,40.05,39.88,0.014734921858837957,-0.417628683730463,-0.010472133493742803
2023-03-31,10.6809,10.651,40.14,40.05,-0.0027993895645497258,0.2021155520602207,0.0050465805757857855
2023-04-30,10.7041,11.1738,41.9,40.14,0.04388038228342417,-0.0013585448566502123,-3.3845163344549386e-05
2023-05-31,11.1738,11.1809,41.36,41.9,0.0006354149886340643,-0.56662388802377,-0.013523243150925297
2023-06-30,11.0872,10.0435,37.47,41.36,-0.09413557976765996,0.003447579190414274,8.335539628661204e-05
2023-07-31,10.0435,11.6045,44.29,37.47,0.15542390600886136,0.9962662418479624,0.026588370478995527
2023-08-31,11.8751,11.4891,41.45,44.29,-0.03250498943166791,-1.4003540180714253,-0.03161783739154268
2023-09-30,11.172,11.2594,41.77,41.45,0.007823129251700589,-0.00426870748298569,-0.00010298449898638575
2023-10-31,11.2594,12.5772,47.15,41.77,0.11703998436861651,0.49123985292288097,0.011760590206437178
2023-11-30,12.7084,14.5521,53.9,47.15,0.14507727172578777,-0.09039336187089475,-0.0019171444723413522
2023-12-31,14.606,14.802,54.77,53.9,0.013419142818019925,0.1467082021087336,0.0027218590372677844
2024-01-31,14.802,14.9301,55.51,54.77,0.008654235914065556,0.26600749898662457,0.004856810279105798
2024-02-29,15.0035,15.5006,58.47,55.51,0.03313226913720135,1.1208277401939526,0.02019145631767164
2024-03-31,15.803,16.3419,60.96,58.47,0.03410112004049859,0.4961075112320472,0.008484821467967286
2024-04-30,16.3419,17.6122,65.38,60.96,0.07773269938012128,-0.31858535421220324,-0.005226137700331418
2024-05-31,17.5269,18.292,0.0,65.38,0.04365289925771254,-68.23402655346923,-1.0436528992577125
2024-06-30,18.5703,17.6829,66.3,0.0,-0.04778598084037411,66.3,inf
2024-07-31,17.6829,17.8048,67.0,66.3,0.006893665631768631,0.2429499686137433,0.003664403749830216
2024-08-31,17.6457,17.6178,67.0,67.0,-0.001581121746374592,0.10593515700709588,0.0015811217463745655
2024-09-30,17.6178,18.3933,70.0,67.0,0.04401798181384731,0.05079521847223134,0.0007581375891377812
2024-10-31,18.3219,20.2337,76.0,70.0,0.1043450733821274,-1.3041551367489177,-0.01863078766784168
2024-11-30,19.8936,22.4468,85.0,76.0,0.12834278360879892,-0.7540515542687132,-0.009921730977219911
2024-12-31,22.4463,25.4225,99.6,85.0,0.132592008482467,3.329679278990298,0.03917269739988586
2025-01-31,25.3818,25.1516,102.0,99.6,-0.009069490737457553,3.3033212774507774,0.033165876279626284
2025-02-28,25.412,25.3713,103.0,102.0,-0.0016016055406893326,1.163363765150308,0.011405527109316744
2025-03-31,25.2469,29.4923,109.0,103.0,0.16815529827424358,-11.319995722247086,-0.10990287108977753
2025-04-30,29.4923,26.11,102.0,109.0,-0.11468417180077517,5.500574726284498,0.050463988314536676
2025-05-31,25.32,27.1038,112.0,102.0,0.07045023696682451,2.8140758293838957,0.027588978719449958
2025-06-30,27.1038,25.9882,109.4,112.0,-0.04116028010832429,2.0099513721323206,0.017945994394038576
2025-07-31,26.1742,29.3996,130.09,109.4,0.12322821709928089,7.208833049338665,0.06589426918956731
2025-08-31,29.5204,31.2926,143.08,130.09,0.060033061882630356,5.180298979688615,0.03982088538464613
2025-09-30,31.2926,34.4681,162.0,143.08,0.1014776656461911,4.400575599342972,0.030756049757778663
2025-10-31,34.9994,33.1556,167.91,162.0,-0.05268090310119611,14.444306302393755,0.0891623845826775
2025-11-30,34.2205,35.6494,171.91,167.91,0.04175567276924652,-3.0111950146841764,-0.017933387020928927
2025-12-31,35.6494,37.3317,184.0,171.91,0.04719013503733582,3.977543885731592,0.023137361908740574
2026-01-31,37.2394,39.4934,212.86,184.0,0.060527290987502314,17.722978458299593,0.0963205350994543
