Date,ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume,VOLUME
2020-01-10,PK0078001010,NBP,National Bank Of Pakistan. ,44.64,1.65,506885758,22627380237.12,2127512862,94972174159.68,3845000.0,
2020-01-10,PK0005501017,NML,Nishat Mills Ltd. ,109.39,1.26,158219932,17307678361.48,351599848,38461507372.72,1264500.0,
2020-01-10,PK0080201012,OGDC,Oil & Gas Development Company Ltd. ,154.21,7.25,645139260,99486925284.6,4300928400,663246168564.0,5412100.0,
2020-01-10,PK0034601010,PAEL,Pak Elektron Ltd. ,28.0,0.51,248840743,6967540804.0,497681485,13935081580.0,14138000.0,
2020-01-10,PK0008901016,SNGP,Sui Northern Gas Pipe Line Ltd. ,82.88,1.72,285397499,23653744717.12,634216666,52563877278.08,8841000.0,
2020-01-10,PK0079201015,TRG,TRG Pakistan Ltd. ,27.65,1.09,541806765,14980957052.25,545390665,15080051887.25,25771500.0,
2020-01-10,PK0081901016,UBL,United Bank Ltd. ,181.96,6.49,489671875,89100694375.0,1224179688,222751736028.48,2349300.0,
2020-01-13,PK0077901012,LOTCHEM,Lotte Chemical Pakistan Ltd. ,14.37,0.4,378551802,5439789394.74,1514207200,21759157464.0,4241000.0,
2020-01-13,PK0071501016,LUCK,Lucky Cement Limited. ,489.91,4.62,129350000,63369858500.0,323375000,158424646250.0,261100.0,
2020-01-13,PK0066301018,MARI,Mari Petroleum Company Ltd. ,1366.83,2.66,26680500,36467707815.0,133402500,182338539075.0,31080.0,
2020-01-13,PK0055601014,MCB,MCB Bank Limited. ,221.79,6.7,414771002,91992060533.58,1185060006,262834458730.74,683800.0,
2020-01-13,PK0077401013,MEBL,Meezan Bank Limited. ,102.99,2.41,321527906,33114159038.94,1286111589,132456632551.11,1109500.0,
2020-01-13,PK0066201010,MLCF,Maple Leaf Cement Factory Ltd. ,23.09,0.45,267165300,6168846777.0,1098346232,25360814496.88,11201500.0,
2020-01-13,PK0009801017,MTL,Millat Tractors Limited. ,728.11,1.19,22423101,16326484069.11,49829112,36281074738.32,28200.0,
2020-01-13,PK0078001010,NBP,National Bank Of Pakistan. ,44.59,1.65,506885758,22602035949.22,2127512862,94865798516.58,1511000.0,
2020-01-13,PK0005501017,NML,Nishat Mills Ltd. ,112.62,1.3,158219932,17818728741.84,351599848,39597174881.76,1634500.0,
2020-01-13,PK0080201012,OGDC,Oil & Gas Development Company Ltd. ,153.07,7.2,645139260,98751466528.2,4300928400,658343110188.0,2349000.0,
2020-01-13,PK0034601010,PAEL,Pak Elektron Ltd. ,27.69,0.5,248840743,6890400173.67,497681485,13780800319.65,5434000.0,
2020-01-13,PK0023901017,POL,Pakistan Oilfields Limited. ,467.4,4.43,130069270,60794376798.0,283855104,132673875609.6,126100.0,
2020-01-13,PK0081801018,PPL,Pakistan Petroleum Limited. ,151.82,7.37,666090089,101125797311.98,2720967548,413097293137.36,6835000.0,
2020-01-13,PK0022501016,PSO,Pakistan State Oil Co Ltd. ,216.54,3.33,211262985,45746886771.9,469473300,101659748382.0,4659500.0,
2020-01-13,PK0061701014,SEARL,The Searle Company Ltd. ,192.5,1.34,95591360,18401336800.0,212425272,40891864860.0,467300.0,
2020-01-13,PK0078701015,BAFL,Bank Alfalah Ltd. ,52.99,2.74,710866048,37668791883.52,1777165119,94171979655.81,2466500.0,
2020-01-13,PK0051601018,BAHL,Bank Al-Habib Ltd. ,81.98,4.32,722426520,59224526109.6,1111425419,91114655849.62,397500.0,
2020-01-13,PK0045001010,BOP,Bank Of Punjab. ,13.28,1.08,1115934411,14819608978.08,2643692380,35108234806.4,34974000.0,
2020-01-13,PK0052401012,DGKC,D. G. Khan Cement Co. Ltd. ,76.69,1.22,219059559,16799677579.71,438119097,33599353548.93,3269500.0,
2020-01-13,PK0099701010,EFERT,Engro Fertilizers Limited. ,75.05,3.29,600884719,45096398160.95,1335299375,100214218093.75,2324000.0,
2020-01-13,PK0012101017,ENGRO,Engro Corporation Limited. ,356.46,8.23,316889777,112958529909.42,576163230,205379144965.8,522700.0,
2020-01-13,PK0092201018,EPCL,Engro Polymer & Chemicals Ltd. ,34.9,0.81,318123167,11102498528.3,908923333,31721424321.7,2031500.0,
2020-01-13,PK0074501013,FCCL,Fauji Cement Co Ltd. ,17.1,0.95,758898264,12977160314.4,1379815025,23594836927.5,13578000.0,
2020-01-13,PK0053401011,FFC,Fauji Fertilizer Co. Ltd. ,102.48,5.23,699731036,71708436569.28,1272238147,130378965304.56,415500.0,
2020-01-13,PK0085101019,HBL,Habib Bank Limited. ,170.98,9.14,733426254,125401220908.92,1466852508,250802441817.84,2117500.0,
2020-01-13,PK0065001015,HUBC,Hub Power Company Limited. ,101.88,7.22,972865790,99115566685.2,1297154400,132154090272.0,2451500.0,
2020-01-13,PK0083101011,KAPCO,Kot Addu Power Company. ,29.98,1.0,455655113,13660540287.74,880253228,26389991775.44,1403500.0,
2020-01-13,PK0008901016,SNGP,Sui Northern Gas Pipe Line Ltd. ,83.21,1.73,285397499,23747925891.79,634216666,52773168777.86,4550500.0,
2020-01-13,PK0079201015,TRG,TRG Pakistan Ltd. ,28.65,1.13,541806765,15522763817.25,545390665,15625442552.25,16973500.0,
2020-01-13,PK0081901016,UBL,United Bank Ltd. ,178.74,6.38,489671875,87523950937.5,1224179688,218809877433.12,2305000.0,
2020-01-14,PK0052401012,DGKC,D. G. Khan Cement Co. Ltd. ,75.45,1.2,219059559,16528043726.55,438119097,33056085868.65,1955500.0,
2020-01-14,PK0099701010,EFERT,Engro Fertilizers Limited. ,75.56,3.31,600884719,45402849367.64,1335299375,100895220775.0,1521000.0,
2020-01-14,PK0012101017,ENGRO,Engro Corporation Limited. ,362.89,8.38,316889777,114996131175.53,576163230,209083874534.7,874800.0,
2020-01-14,PK0092201018,EPCL,Engro Polymer & Chemicals Ltd. ,33.58,0.78,318123167,10682575947.86,908923333,30521645522.14,12040000.0,
2020-01-14,PK0074501013,FCCL,Fauji Cement Co Ltd. ,16.76,0.93,758898264,12719134904.64,1379815025,23125699819.0,3069500.0,
2020-01-14,PK0053401011,FFC,Fauji Fertilizer Co. Ltd. ,102.57,5.23,699731036,71771412362.52,1272238147,130493466737.79,458400.0,
2020-01-14,PK0085101019,HBL,Habib Bank Limited. ,171.24,9.15,733426254,125591911734.96,1466852508,251183823469.92,848900.0,
2020-01-14,PK0065001015,HUBC,Hub Power Company Limited. ,102.95,7.3,972865790,100156533080.5,1297154400,133542045480.0,1667500.0,
2020-01-14,PK0083101011,KAPCO,Kot Addu Power Company. ,29.86,0.99,455655113,13605861674.18,880253228,26284361388.08,1141500.0,
2020-01-14,PK0023901017,POL,Pakistan Oilfields Limited. ,465.02,4.41,130069270,60484811935.4,283855104,131998300462.08,252800.0,
2020-01-14,PK0081801018,PPL,Pakistan Petroleum Limited. ,149.99,7.28,666090089,99906852449.11,2720967548,408117922524.52,1685700.0,
2020-01-14,PK0022501016,PSO,Pakistan State Oil Co Ltd. ,215.93,3.32,211262985,45618016351.05,469473300,101373369669.0,1963700.0,
2020-01-14,PK0061701014,SEARL,The Searle Company Ltd. ,191.62,1.33,95591360,18317216403.2,212425272,40704930620.64,424800.0,
2020-01-14,PK0077901012,LOTCHEM,Lotte Chemical Pakistan Ltd. ,14.31,0.39,378551802,5417076286.62,1514207200,21668305032.0,3021500.0,
2020-01-14,PK0071501016,LUCK,Lucky Cement Limited. ,487.75,4.6,129350000,63090462500.0,323375000,157726156250.0,248400.0,
