Model,Target,RMSE,MAE,R2,DirAcc,Note
Naive (RW),KSE30_3fund_composite,83.35,51.36,-1.4196,37.5,Benchmark
"ARIMAX(1,0,1)",KSE30_3fund_composite,58.0,36.52,-0.1716,70.8,Primary
VAR(1),KSE30_3fund_composite,62.54,38.8,-0.3622,75.0,System model
