symbol,first_date,last_date,observations,avg_price,avg_weight_pct,avg_volume,avg_daily_return,daily_volatility,avg_rolling_vol_30d
FFC,2020-01-01,2026-04-30,1552,194.45934278350518,7.902380831945187,1131146.27253886,0.0010281840920735763,0.01680190053359318,0.232835120283331
ENGRO,2020-01-01,2025-01-03,1224,294.72225490196075,7.189729537313208,607924.743902439,0.00025743624560164475,0.016877493820240546,0.23961043591658834
ENGROH,2025-01-06,2026-04-30,328,222.2546951219512,6.8026605598817955,2654328.1793103446,0.0004320079930064771,0.028616245168728387,0.4355585729050245
UBL,2020-01-01,2026-04-30,1552,206.84356314432992,6.513722228608675,1440604.041450777,0.0005160134018391099,0.02707729942943817,0.33024877238282013
HUBC,2020-01-01,2026-04-30,1552,107.44518041237114,6.445369869514989,3213664.994818653,0.0005570637142587542,0.021989955217733212,0.32509833780757946
HBL,2020-01-01,2026-04-30,1552,139.44337628865978,5.8489596768940215,1749062.296373057,0.0003557241427243627,0.020660005912889093,0.3008796910279747
LUCK,2020-01-01,2026-04-30,1552,653.5317783505154,5.643156099010873,874603.1544041451,-4.4258390172794846e-05,0.04568943657669697,0.3943554329538243
OGDC,2020-01-01,2026-04-30,1552,136.39730025773196,5.314673423748387,3639349.426943005,0.00048485407551685395,0.022707711007783418,0.3378072510625606
MCB,2020-01-01,2026-04-30,1552,202.8137048969072,5.230945168434584,561645.2041450777,0.00040985823696657514,0.017489856891890563,0.2574745865793704
SYS,2021-03-15,2026-04-30,1251,428.9617585931255,5.093964461862792,928180.7304216868,-0.0009618781646741243,0.05487266168932561,0.4716163854773888
PPL,2020-01-01,2026-04-30,1552,113.05703608247423,4.637806738292358,3836384.495336788,0.00025903923493685775,0.024473420970215595,0.3638942376799991
MEBL,2020-01-01,2026-04-30,1552,183.660206185567,4.440400613158856,1121597.2787564767,0.0010518309077778667,0.019979815121115758,0.2944524077005794
EFERT,2020-01-01,2026-04-30,1552,118.72286726804124,4.302834830894927,1812875.4922279792,0.0006384776136979836,0.017033446939298695,0.25350538233467784
MARI,2020-01-01,2026-04-30,1552,1417.68831185567,4.107830732540309,214562.0207253886,-0.000473183606698632,0.05815347146074652,0.39715183957257
BAHL,2020-01-01,2026-03-13,1519,89.3047004608295,4.056836410870515,547732.7178111587,0.0004509721340644334,0.019840300653286493,0.28851620098989267
POL,2020-01-01,2026-04-30,1552,459.14463917525774,3.9667551543627595,272705.59481865284,0.00023425750100582865,0.016989678354788526,0.2471813253481494
TRG,2020-01-01,2024-09-13,1146,89.49075916230366,3.2380520364278302,12534095.762195121,0.0006307531214369642,0.034361572562920134,0.5156378885010225
PSO,2020-01-01,2026-04-30,1552,226.55105670103092,3.0053196478011412,1613126.5896373056,0.0003895127445774043,0.0235521358245849,0.34849524356071804
DAWH,2021-03-15,2021-09-14,116,113.60301724137932,2.9075862068965517,38131.974137931036,-0.0007741312181981779,0.012071282136511527,0.19848435110243062
MTL,2020-01-01,2025-09-12,1031,628.8858583899126,2.688817476030333,43912.93873085339,-0.00020399423539886304,0.023640213173956308,0.3346252371581306
BAFL,2020-01-01,2025-03-14,671,49.98994038748137,2.365325370650176,1786075.196013289,0.0007180902527642907,0.025120960473152536,0.3674182738775653
NBP,2020-01-01,2026-04-30,580,102.94187931034483,2.105278685117185,4538753.343049327,0.002374360045106117,0.04362351245851258,0.5095606801052347
COLG,2024-03-15,2024-09-13,118,1243.0440677966103,1.8362223799738255,,-0.0006581156634088789,0.013029242219290386,0.16185761837042975
FFBL,2024-09-16,2024-12-20,69,65.28884057971015,1.4547587095122452,,0.009699088287216436,0.033954089339318545,0.46591123692923625
SEARL,2020-01-01,2026-04-30,1180,147.3627881355932,1.374003229101007,1707599.7802746566,-0.0006824800787574527,0.034107761962584,0.45150380199448054
DGKC,2020-01-01,2026-04-30,1552,100.38447164948454,1.3469487163706628,3301779.014507772,0.0005471111157345127,0.026786951510954206,0.40003028379134564
MLCF,2020-01-01,2026-04-30,1431,46.21125087351503,1.302204919670979,8196759.194174757,0.0008476130733774781,0.02796217580077002,0.4177522691756956
EPCL,2020-01-01,2024-03-14,786,48.343346055979644,1.296453109183911,2221099.4065743946,0.0003260784059016893,0.025809960665084078,0.37448882098085984
CHCC,2020-09-15,2024-09-13,485,156.74686597938143,1.2959915498819001,670031.8181818182,0.0005670245787295473,0.023355526341852225,0.35510234309939903
FCCL,2020-01-01,2026-04-30,832,31.78780048076923,1.274698187923622,7092735.311659193,0.001306918543161741,0.03874345113070091,0.49493498015894277
NML,2020-01-01,2021-09-14,417,95.36227817745804,1.2462589928057553,1355951.5587529975,-0.000305089992617402,0.025441402942416126,0.378756509645256
SNGP,2020-01-01,2026-04-30,950,70.26642105263159,1.1999804196894737,2990677.0702479337,0.00022494661510314462,0.02784259748896473,0.4131733164464752
KAPCO,2020-01-01,2024-03-14,778,29.900745501285346,1.1580813266192609,1994495.7736842106,-0.00018997055451570915,0.032906361442822045,0.38285378103575457
BOP,2020-01-01,2026-04-30,335,21.3824776119403,1.1004577179620705,26750917.51242236,0.0031677102935952577,0.050570326673774,0.5562077419002469
SAZEW,2024-09-16,2026-04-30,406,1445.8168226600985,1.0447997183021194,297549.78620689653,0.001769760335528056,0.02758437299864917,0.4082025243112381
UNITY,2020-09-15,2023-09-14,728,24.962307692307693,1.0310957370766212,12360545.158139534,0.00048246651490498093,0.029268052349709684,0.44797675733057013
PIOC,2021-03-15,2025-03-14,489,129.41014314928424,0.9178577344025278,1291725.4978902955,0.0009680237339588968,0.03300658813784801,0.4890278548739081
ISL,2020-03-13,2022-03-14,487,75.08365503080081,0.9069609856262834,2051828.4271047227,0.00017987233968609834,0.027465181217690975,0.4081952739490964
INIL,2021-09-15,2022-03-14,121,144.04876033057852,0.8709090909090909,350951.5619834711,-0.004106764198592937,0.025563590822586527,0.4024637291322536
APL,2023-09-15,2024-03-14,125,362.35648,0.8376475093882697,,0.002382820584084776,0.02157216385063903,0.3290419529318495
ATRL,2020-03-13,2026-04-30,1375,340.1624872727273,0.7895538585624573,1677998.6535532996,0.0016463729273612498,0.029498516429138574,0.4411326285965996
CNERGY,2022-03-15,2022-09-14,118,5.424915254237288,0.7772881355932203,14703616.279661017,-0.00011719881935027424,0.03472735494691795,0.5669210045287166
HASCOL,2020-09-15,2021-03-12,126,14.761031746031748,0.7212698412698413,22515465.015873015,-0.007165012740569688,0.032484273910189564,0.49756057577166757
AIRLINK,2024-12-23,2026-04-30,212,163.9918396226415,0.7002929758969583,1397274.696969697,-0.00236262398748218,0.03327132813749809,0.5059397963708739
AVN,2021-09-15,2024-03-14,611,73.24451718494272,0.6565135607587411,2082995.2158808934,-0.0015312147964097376,0.02862969080761596,0.433949500972693
PAEL,2020-01-01,2026-04-30,944,33.967425847457626,0.6490956248303055,8232202.093333334,0.0003033793761611068,0.056185764072440025,0.6129387487313088
SHEL,2024-03-15,2024-09-13,118,144.30796610169492,0.46941401550074574,,-0.0009710999403173846,0.015554459556843873,0.24660700694585
NRL,2021-09-15,2026-04-30,764,236.623835078534,0.45735857049561096,697231.1467889908,-8.871932431652492e-05,0.0371958816934401,0.5068217152983281
LOTCHEM,2020-01-01,2020-09-14,175,11.7776,0.3978285714285715,4600214.285714285,-0.0002781745352406453,0.028274718383689897,0.43308006270388183
GAL,2025-03-17,2026-04-30,279,495.09673835125443,0.3553662978603697,390941.3103448276,-0.00030986856369387953,0.030877977771134643,0.4205599487839438
GHNI,2021-03-15,2026-04-30,395,632.9209113924051,0.3361600297667986,461143.0574712644,0.0029274177964494427,0.06191550266066314,0.6384851437138633
SSGC,2025-09-15,2026-04-30,158,33.42601265822785,0.29895302966273746,7975943.503448276,-0.003713707820509582,0.036402489252796544,0.514465931945708
PRL,2021-09-15,2026-03-13,612,24.460261437908496,0.2949104838682353,5836053.081180812,0.0005467121392952524,0.040333025712376076,0.5291330509114964
TPLP,2022-09-15,2024-09-13,365,13.719452054794521,0.27280085818825794,6113817.603658536,-0.002100834531129258,0.026697556433625234,0.40023484319233243
TELE,2022-09-15,2023-03-14,126,8.337777777777777,0.25952380952380955,4181817.4603174604,-0.002376620035995387,0.03390117725924837,0.46686641082829733
GGL,2022-03-15,2023-03-14,244,15.064016393442623,0.23102459016393442,5582000.5,-0.0010893510115628233,0.03141695138315219,0.47701068750695996
NETSOL,2022-03-15,2025-09-12,360,104.78883333333334,0.2036014974181016,1007748.2051282051,0.0014938073944293477,0.040820965943420516,0.5748204010047149
TREET,2022-09-15,2023-03-14,126,19.694126984126985,0.16698412698412698,724079.3650793651,-0.0031234178459489787,0.022015071847395876,0.3470944842036542
DFML,2025-03-17,2025-09-12,121,37.042975206611565,0.07540503986086766,,-0.002223161489170474,0.034385508759593945,0.5308562536538884
