Fund,N (daily),Runs Z,Runs p,Runs,VR(2),VR(2) p,VR(4),VR verdict,ACF lag-1,Overall
AKD,1591,-9.2343,0.0,Inefficient,0.57,0.2855,0.4187,Efficient,-0.4303,MIXED
NBP,1591,-8.2809,0.0,Inefficient,0.5251,0.3296,0.3037,Efficient,-0.4752,MIXED
NIT,1591,-6.093,0.0,Inefficient,0.675,0.4036,0.6946,Efficient,-0.325,MIXED
