Fund,Model,ω (omega),α (alpha),β (beta),α+β (persist),AIC,Note
AKD,"GARCH(1,1)",0.443265,0.3121,0.6868,0.9989,6009.05,near unit-root
NBP,"GARCH(1,1)",6.811198,0.2659,0.7337,0.9996,10188.6,near unit-root
NIT,"GARCH(1,1)",0.84771,0.7954,0.1462,0.9416,5609.3,
