,count,mean,std,min,1%,5%,50%,95%,99%,max,skew,kurtosis
oil_price_end,59.0,80.97355932203389,13.39103878985571,60.85,62.1666,63.506,78.8,108.11999999999999,118.18260000000002,122.84,1.059126046398945,1.1610369968902572
oil_return_monthly,59.0,-0.0015897203857460122,0.07231031523530995,-0.1632420865300384,-0.14800658839771633,-0.1213237740254884,0.0033713200294981,0.10206698785272478,0.1880625279799542,0.2251700812105821,0.37846146056914304,0.7991627132411394
usdpkr_end,59.0,241.86932203389833,50.528846723990995,153.88,154.1816,157.425,277.94,284.477,296.8224,307.1,-0.6655246220475205,-1.2932422646160167
usdpkr_return_monthly,59.0,0.007722110645094783,0.033640022691304595,-0.0830608585812335,-0.08177436882945381,-0.02434591038855669,0.0014035283043178,0.06302304382760619,0.10807516621952923,0.1546689758077704,1.209847476659064,6.635882264090949
interest_rate_end,59.0,14.677966101694915,5.260672822990918,7.25,7.25,7.25,13.75,22.0,22.0,22.0,0.16006512646932253,-1.3891299239348704
cpi_yoy_end,59.0,15.528813559322035,10.685182309248725,0.3,0.3,1.5,11.8,35.4,38.0,38.0,0.5022873810952807,-0.9560076479355537
idx_return_monthly,59.0,0.018752103328802148,0.05604551034100915,-0.0936176613956454,-0.08492217769362559,-0.06288390255735299,0.0100791769456939,0.12393146559453416,0.14823466406459912,0.1531474955084127,0.4256933285656308,-0.09844497167608202
idx_vol_monthly,59.0,0.18376613744404185,0.0636030874174483,0.0886225342903552,0.08919071188175696,0.1022486240332171,0.1862734894737324,0.25868255619075925,0.38351870928267706,0.4065175527159101,1.0552001209272859,2.0471346938492796
sector_aum_mn,59.0,858.47,526.0456865205689,456.2000000000001,457.4818000000001,461.002,546.51,2008.0719999999997,2380.5412,2414.1,1.5094839161017408,1.396218438265239
sector_aum_prev,59.0,826.6203389830508,485.56425813958106,456.2000000000001,457.4818000000001,461.002,545.54,1985.732,2178.2728000000006,2356.24,1.5312224687999674,1.508178674275746
composite_return_monthly,59.0,0.01511122340937345,0.05137310404074666,-0.0632099043114828,-0.06190477931719782,-0.05602321741086226,0.0029702122938081,0.10969776793137098,0.13857683423620246,0.1506090285516929,0.658072062099428,-0.18363212288415243
composite_net_flow,59.0,13.412241952171856,38.05293496760214,-47.27685862789485,-45.44882515756884,-9.169918544993253,1.816293198456037,76.49224620471621,153.0395676992515,233.6743579298486,3.6984498456326587,19.377775317513805
total_fund_flow,59.0,13.412241952171856,38.05293496760214,-47.27685862789485,-45.44882515756884,-9.169918544993253,1.816293198456037,76.49224620471621,153.0395676992515,233.6743579298486,3.6984498456326587,19.377775317513805
flow_pct_sector,59.0,0.012418930201504308,0.028421188909281553,-0.037397619085258,-0.027545740410209654,-0.01727197395865406,0.0033285601979689,0.05749056588260466,0.11298349120555386,0.1140208636331846,1.8490411238799311,4.422491198346396
gold_price_end,41.0,2276.2926829268295,700.14087524949,1640.7,1649.86,1714.4,1973.1,3873.2,4238.14,4386.3,1.5619148814917043,1.6776274755179528
gold_return_monthly,41.0,0.014531760130640373,0.03731091559703258,-0.06939118558596424,-0.06181772329388322,-0.03329012491161909,0.013580203703055682,0.07754416386691232,0.08224203553836908,0.08492003046458496,0.04628282934538305,-0.5918944750430679
gold_volume_end,41.0,175431.9512195122,80082.81667185266,390.0,698.0,1370.0,182580.0,290470.0,314614.00000000006,330590.0,-0.9231439117084983,0.790640671632628
gdp_usd,59.0,349809496433.02936,25610767383.177513,300425609817.9812,300425609817.9812,300425609817.9812,348516647445.14844,374890295666.69366,374890295666.69366,374890295666.69366,-0.8235926715600481,-0.4175329456244121
gdp_yoy,59.0,0.04651101961017655,0.09960218847916562,-0.10190700452644952,-0.10190700452644952,-0.10190700452644952,0.07567399840116984,0.1600763585245084,0.1600763585245084,0.1600763585245084,-0.4715627390119727,-1.4147525810325319
