Date,ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume,VOLUME
2020-01-06,PK0030501016,PSMC,Pak Suzuki Motors Co Ltd. ,220.06,0.26,21753832,4787148269.92,82299851,18110905211.06,254700.0,
2020-01-06,PK0022501016,PSO,Pakistan State Oil Co Ltd. ,200.31,2.28,211262985,42318088525.35,469473300,94040196723.0,5488000.0,
2020-01-06,PK0104801011,PSX,Pakistan Stock Exchange Limited. ,12.76,0.33,480885960,6136104849.6,801476600,10226841416.0,1824000.0,
2020-01-06,PK0067901022,PTC,Pakistan Telecommunication Co. ,9.89,0.32,592067069,5855543312.41,3774000000,37324860000.0,1657000.0,
2020-01-06,PK0087901010,SCBPL,Standard Chartered Bank Pak Ltd. ,23.65,0.25,193579251,4578149286.15,3871585021,91562985746.65,5000.0,
2020-01-06,PK0061701014,SEARL,The Searle Company Ltd. ,184.99,0.95,95591360,17683445686.4,212425272,39296551067.28,967900.0,
2020-01-06,PK0016701010,SHEL,Shell Pakistan Ltd. ,235.8,0.28,22272532,5251863045.6,107012330,25233507414.0,266500.0,
2020-01-06,PK0072901017,SHFA,Shifa Int. Hospital Ltd. ,344.95,0.52,27888699,9620206720.05,61974886,21378236925.7,1500.0,
2020-01-06,PK0083501012,ABL,Allied Bank Ltd. ,97.63,0.9,171761075,16769033752.25,1145073830,111793558022.9,63000.0,
2020-01-06,PK0025701019,ABOT,Abbott Laboratories Pak Ltd. ,438.57,0.5,21021373,9219343556.61,97900302,42936135448.14,10700.0,
2020-01-06,PK0027701017,AGIL,Agriautos Industries Co. Ltd. ,200.52,0.2,18720000,3753734400.0,28800000,5774976000.0,1800.0,
2020-01-06,PK0113801010,AGP,AGP Limited. ,99.91,0.45,84000000,8392440000.0,280000000,27974800000.0,196500.0,
2020-01-06,PK0004901010,AICL,Adamjee Insurance Co. Ltd. ,41.95,0.55,245000000,10277750000.0,350000000,14682500000.0,606000.0,
2020-01-06,PK0051301015,AKBL,Askari Bank Limited. ,18.63,0.38,378078054,7043594146.02,1260260180,23478647153.4,321500.0,
2020-01-06,PK0075101011,ANL,Azgard Nine Limited ,13.89,0.27,359479551,4993170963.39,449349439,6241463707.71,6478000.0,
2020-01-06,PK0082901015,APL,Attock Petroleum Limited. ,365.34,0.49,24883200,9090828288.0,99532800,36363313152.0,27700.0,
2020-01-06,PK0076701017,ARPL,Archroma Pakistan Limited.(XD) ,641.92,0.3,8529470,5475237382.4,34118229,21901173559.68,8800.0,
2020-01-06,PK0009201010,ATLH,Atlas Honda Limited. ,375.0,0.25,12408794,4653297750.0,124087935,46532975625.0,200.0,
2020-01-06,PK0024501014,ATRL,Attock Refinery Limited. ,113.81,0.26,42646500,4853598165.0,106616250,12133995412.5,1003900.0,
2020-01-06,PK0078701015,BAFL,Bank Alfalah Ltd. ,47.18,1.81,710866048,33538660144.64,1777165119,83846650314.42,1740500.0,
2020-01-06,PK0051601018,BAHL,Bank Al-Habib Ltd. ,79.62,3.1,722426520,57519599522.4,1111425419,88491691860.78,406000.0,
2020-01-06,PK0051701016,BNWM,Bannu Woollen Mills Limited. ,33.0,0.01,4277813,141167829.0,9506250,313706250.0,1500.0,
2020-01-06,PK0045001010,BOP,Bank Of Punjab. ,11.48,0.69,1115934411,12810927038.28,2643692380,30349588522.4,16874500.0,
2020-01-06,PK0077601018,BWCL,Bestway Cement Limited. ,111.0,0.18,29812639,3309202929.0,596252783,66184058913.0,19600.0,
2020-01-06,PK0078401012,BYCO,BYCO Petroleum Pak Ltd. ,6.74,0.19,532988471,3592342294.54,5329884706,35923422918.44,1014500.0,
2020-01-06,PK0029801013,CHCC,Cherat Cement Co. Ltd. ,51.58,0.3,106862271,5511955938.18,194295038,10021738060.04,547500.0,
2020-01-06,PK0028001011,COLG,Colgate Palmolive (Pak) Ltd. ,2519.95,0.78,5754592,14501284110.4,57545920,145012841104.0,0.0,
2020-01-06,PK0017501013,DAWH,Dawood Hercules Corporation Ltd. ,162.16,2.74,312836625,50729587110.0,481287116,78045518730.56,263400.0,
2020-01-06,PK0099001023,DCR,Dolmen City REIT. ,12.74,0.38,555925000,7082484500.0,2223700000,28329938000.0,86000.0,
2020-01-06,PK0052401012,DGKC,D. G. Khan Cement Co. Ltd. ,73.75,0.87,219059559,16155642476.25,438119097,32311283403.75,3836000.0,
2020-01-06,PK0099701010,EFERT,Engro Fertilizers Limited. ,72.64,2.35,600884719,43648265988.16,1335299375,96996146600.0,1577500.0,
2020-01-06,PK0000201019,EFUG,E. F. U. Gen Insurance Ltd. ,109.0,0.41,70000000,7630000000.0,200000000,21800000000.0,1500.0,
2020-01-06,PK0012101017,ENGRO,Engro Corporation Limited. ,341.76,5.84,316889777,108300250187.52,576163230,196909545484.8,2078800.0,
2020-01-06,PK0092201018,EPCL,Engro Polymer & Chemicals Ltd. ,32.22,0.55,318123167,10249928440.74,908923333,29285509789.26,6372500.0,
2020-01-06,PK0070501017,FABL,Faysal Bank Limited. ,19.68,0.48,455308958,8960480293.44,1517696526,29868267631.68,1048500.0,
2020-01-06,PK0091601010,FATIMA,Fatima Fertilizer Co Ltd. ,26.74,0.45,315000000,8423100000.0,2100000000,56154000000.0,293000.0,
