symbol,cur_weight,mom_30,mom_60,mom_90,vol_30,vol_60,avg_volume,mkt_cap_proxy,price_to_ma20,price_to_ma50,wt_drift,wt_range,pred_weight_ridge,pred_weight_rf,pred_retention_prob_logit,pred_retention_prob_rf,pred_retained_logit,pred_retained_rf,avg_retention_prob,risk_of_exclusion
DFML,0.101261656342606,0.028162780816820294,0.001701645334032718,-0.07346006769696091,0.2988919291358107,0.2385701217889303,3035046.1,107106776.869,0.02353640674623314,0.009069905755329843,-0.0004808717245627023,0.005717888083792609,0.13545874394909863,0.35963584776828483,0.47274511192637225,0.6134329484484659,0,1,0.543089030187419,0.45691096981258095
NETSOL,0.148036791610741,0.004527003270838999,0.020195929471587694,0.1319479811330192,0.21397995774779155,0.2512036062435036,1219056.5,183528956.07500002,0.043533109908886036,0.031651945097340484,-0.00312452949642901,0.010768001390092999,0.24916726552424961,0.38783283012550174,0.687894830677174,0.6424032279610538,1,1,0.6651490293191139,0.3348509706808861
GHNI,0.419895748099791,0.005476049914054301,0.07232888980876051,0.2384208691972243,0.23975841628893968,0.29430961465717276,442338.55,362872429.4925,0.0023637137859682245,0.027376673471176893,-0.019649828433894012,0.03967011501373402,0.5052390178686514,0.35842205036169866,0.8363412581450999,0.6671837651855816,1,1,0.7517625116653408,0.2482374883346592
GAL,0.41405189066411,0.01213862140453701,0.16966700288288772,0.35078668067664737,0.21945223169408554,0.36932626844917105,894312.5,518119946.875,0.021042984790539343,0.0922147063924772,-0.010956836172436979,0.02371483613478398,0.27241063501270846,0.39266439229524713,0.8743861431252011,0.6484283029106956,1,1,0.7614072230179484,0.2385927769820516
AIRLINK,0.849263690200357,-0.08381379405557705,0.07649522070148056,0.01848336589111875,0.29961329199815956,0.3894696212551931,3853699.15,595512129.6495,-0.022092000430322667,0.031667719275289,-0.08138325206915498,0.08859744363903,0.3111782372996532,0.6566990032867496,0.81219237004378,0.8164710211683034,1,1,0.8143316956060417,0.18566830439395832
SAZEW,0.90772445455092,0.09696455738027492,0.22567191956314706,0.3533274631249683,0.3781091316192802,0.35920864166326333,210714.2,341500289.656,0.035979758289714336,0.1457368054481385,0.04865675044804607,0.14090283920676894,0.7794686523721932,0.461516508433168,0.8434423087416502,0.8415528059277217,1,1,0.842497557334686,0.157502442665314
ATRL,1.10945090718791,0.006619970759913598,-0.05468971634632928,-0.010606697255279851,0.13578959268272872,0.19770179805554675,968211.85,638322708.4679999,-0.0008115905128023293,-0.009485668131424485,-0.04295039459542205,0.059572755960135004,1.0006961448041523,0.6657497188425413,0.9258817828059078,0.8345746797873239,1,1,0.8802282312966159,0.11977176870338413
PAEL,0.771842574091611,0.24741782698827008,0.26758697669575926,0.2743210088771038,0.5481811720737731,0.4206616487269093,22904919.7,1248776222.0440001,0.10649956872494815,0.21811170343493202,0.15276094727869205,0.19973081540858106,1.1855845180456681,0.7164453609874678,0.9349988682327948,0.8393568800596587,1,1,0.8871778741462267,0.11282212585377327
SEARL,1.02519366144487,0.1901560337229423,0.18734103942283978,0.25373448132027704,0.6670263648511758,0.49390998237797856,12338617.15,1429305410.6560001,0.028646527074786432,0.11785970011560742,0.10506616658474399,0.19019458332082395,0.994663139370807,0.7439913202950292,0.9669038099919759,0.8308879535813716,1,1,0.8988958817866737,0.10110411821332632
MLCF,1.104535907936,0.17463258027843942,0.1872776381257122,0.21511528778286182,0.38414955497970227,0.32215502762621995,9324763.35,954389528.8725,0.01990991709183665,0.13160443487221207,0.13050558690529002,0.23202613687723006,1.2485794514582897,0.7769505572042114,0.9543019604285001,0.8575343015254799,1,1,0.90591813097699,0.09408186902300997
MTL,2.00329189415785,0.014405167847573305,0.017258034608087003,0.026170114127860102,0.21301221814947205,0.16157546899851052,127681.1,73205958.685,0.0008850592570739391,0.007379779453493551,-0.052863360555649885,0.14683697527222983,2.1072716440393133,1.582400680529514,0.8680209249711607,0.9638544136813191,1,1,0.9159376693262399,0.08406233067376012
DGKC,1.04607512000098,0.23015171289246197,0.2995206357284218,0.3562377908450685,0.513862244650052,0.4034139824453167,6157520.15,1428359949.1955001,0.11242455994801626,0.23482354644601644,0.23079644037665004,0.2875944138937201,0.7833590556124728,0.7588552852991871,0.9755783896365509,0.8564307136334922,1,1,0.9160045516350215,0.08399544836497852
FCCL,1.56618306029328,0.1312036856153448,0.21306471209566474,0.20549629019719892,0.48767444452576464,0.3763427159383898,15820372.85,901919456.1784999,0.029042797061424874,0.1302806569545667,0.11561548312467984,0.22890655048721986,1.7845127981897662,1.168567921176023,0.9398051779610058,0.9277935338814634,1,1,0.9337993559212345,0.06620064407876547
UBL,7.50706526467859,-0.0310770962084027,0.0004959087629525932,-0.35242973136155864,0.1589543267719921,0.17047746888309948,826879.0,300206689.74,-0.04427714014952089,-0.01824093523732473,-0.8033112326850205,1.0033021640715205,7.642431057977046,6.79710512863355,0.9988252663361087,0.9117477971971,1,1,0.9552865317666044,0.044713468233395615
