date,idx_return,idx_log_return,idx_total_volume,idx_avg_wt_change,idx_num_companies,idx_rolling_vol_30d,oil_price,oil_log_return,usdpkr,usdpkr_log_return,interest_rate,cpi_yoy,nav_akd,nav_return_akd,nav_vol_akd,nav_nbp,nav_return_nbp,nav_vol_nbp,nav_nti,nav_return_nti,nav_vol_nti
2021-01-04,2.546289609823028,0.3231484845524242,217163729.0,0.028951724137931,30.0,0.24389561497768672,51.09,,,,7.25,5.7,14.2087,0.005554256357767319,,11.1403,-4.4881087566079224e-05,0.12963789856781863,12.2877,-1.6276306580946287e-05,0.12306046029196928
2021-01-05,2.4903530966166407,0.3142248204906065,158944679.0,0.0286931034482758,30.0,0.2289034167816698,53.6,0.047960284734049584,,,7.25,5.7,14.1979,-0.0007603867073404195,,11.3598,0.01951164338564236,0.13954427278111808,12.4898,0.016313549154243646,0.13034758212277145
2021-01-06,2.510397134738018,0.3140172622202206,152837437.0,0.0288275862068965,30.0,0.21134906564886385,54.3,0.01297515886313346,,,7.25,5.7,14.3535,0.010899748558427248,,11.2538,-0.009374958110085268,0.14342330805297837,12.4,-0.0072158385880405785,0.13291396574535314
2021-01-07,2.530834081206788,0.3150135365364629,170592314.0,0.0289275862068965,30.0,0.20002381048033901,54.38,0.001472212264435074,,,7.25,5.7,14.4127,0.004115947436622743,,11.389,0.011942127898077684,0.14463961190902025,12.5379,0.011059584455270388,0.13446787091345508
2021-01-08,2.4786682986316277,0.3094635065375727,129618109.0,0.0290310344827586,30.0,0.1910024106998455,55.99,0.029176664156477326,,,7.25,5.7,14.5092,0.006673168644151259,,11.423,0.0029808894595960995,0.1441900599744677,12.6196,0.006495103823407938,0.13460326352774474
2021-01-11,2.534037859876749,0.315354277611882,114031972.0,0.0288896551724137,30.0,0.18285217543382798,55.66,-0.005911347263057349,,,7.25,5.7,14.4941,-0.0010963968261566298,,11.4893,-4.351780531691293e-05,0.14446415499188933,12.7113,-2.3600769386307788e-05,0.1353038196141113
2021-01-12,2.480902348554755,0.3126734460990699,141694033.0,0.0290413793103448,30.0,0.1750299085887713,56.58,0.016393809775676352,,,7.25,5.7,14.5914,0.006690643995597558,,11.4605,-0.002509827111186721,0.14501526013846347,12.6977,-0.0010704869375996724,0.135494641200311
2021-01-13,2.4593388336410054,0.310405162012795,145913079.0,0.0289379310344827,30.0,0.16789171840557784,56.06,-0.009233020136778788,,,7.25,5.7,14.6438,0.003584723628551845,,11.5199,0.0051696343222293615,0.1450361299773671,12.7494,0.004063336972276794,0.13538899877975769
2021-01-14,2.4684082111916226,0.3113000016780217,85598041.0,0.0289379310344827,30.0,0.1544366430157141,56.42,0.006401159837207952,,,7.25,5.7,14.6146,-0.0019960086467150384,,11.5336,0.0011885398410436921,0.13682257692053656,12.7627,0.001042642605263798,0.12656707678890822
2021-01-15,2.4840782542295368,0.3151218841564827,89676486.0,0.0290586206896551,30.0,0.14316669006016786,55.1,-0.023673989414981392,,,7.25,5.7,14.5985,-0.0011022453371980344,,11.4755,-0.005050186533473524,0.13749433535988373,12.7001,-0.004916986829574414,0.12718797459523387
2021-01-18,2.4862340517632457,0.3170247310067654,125076834.0,0.029103448275862,30.0,0.1238529150678581,54.75,-0.006372347462258579,,,7.25,5.7,14.5324,-0.004640889273102278,,11.4444,-4.3688535698368205e-05,0.13564835425519664,12.6726,-3.9454424227073086e-05,0.1257740067835699
2021-01-19,2.606625401829023,0.3266247489766664,119822458.0,0.0291172413793103,30.0,0.11595731010862315,55.9,0.02078701146444315,,,7.25,5.7,14.5849,0.003606107495718085,0.06617037983280184,11.341,-0.009076049557536593,0.1389230057374247,12.5725,-0.007930293372031527,0.1285779587964778
2021-01-20,2.6322857121421595,0.3276643811712824,127427694.0,0.0289862068965517,30.0,0.10744871597006407,56.08,0.003214862565281174,,,7.25,5.7,14.5134,-0.004914386331902475,0.06974673489534548,11.3829,0.003687751440989165,0.1390959980849245,12.0,-0.04660523927598242,0.18882215630372315
2021-01-21,2.617610065741549,0.3288667182495722,85321833.0,0.0291620689655172,30.0,0.11014165381986263,56.1,0.0003565698023159604,,,7.25,5.7,14.6093,0.0065859516209939946,0.07012941506808341,11.2954,-0.0077166660813174906,0.1342437603983528,12.5234,0.04269224451192513,0.2224100818107906
2021-01-22,2.5827334381893743,0.329624740442935,73287130.0,0.0289413793103448,30.0,0.10747738584498921,55.41,-0.012375729649392486,,,7.25,5.7,14.5731,-0.0024809486929040507,0.07003838538406125,11.2954,-0.0077166660813174906,0.1342437603983528,12.6095,0.006851603820199427,0.22186642111784632
