date,idx_return_monthly,idx_vol_monthly,idx_total_vol,oil_price_end,oil_return_monthly,usdpkr_end,usdpkr_return_monthly,interest_rate_end,cpi_yoy_end,nav_akd_end,nav_return_akd_monthly,aum_akd,flow_akd,flow_pct_akd,flow_spike_akd,nav_nbp_end,nav_return_nbp_monthly,aum_nbp,flow_nbp,flow_pct_nbp,flow_spike_nbp,nav_nti_end,nav_return_nti_monthly,aum_nti,flow_nti,flow_pct_nti,flow_spike_nti,total_fund_flow
2021-03-31,5.111721436078421,2.5372916149467843,2564601511.0,63.54,0.021145785790520236,160.16,-0.0023095535632052192,7.25,9.0,14.1281,-0.023135375828856275,460.04,-2.1928028653017577,-0.004634183324108706,False,11.2139,-0.019017959462178324,7.93,-0.7320714179489656,-0.08290729535095873,False,11.8943,-0.03640723607994367,50.62,-0.41187277720618454,-0.007777053950267835,False,-3.336747060456908
2021-04-30,1.5931371482733987,0.2716769638930943,1544332690.0,67.25,0.0527823874525316,158.1,-0.01409097021891186,7.25,11.1,14.0265,-0.004315944148275408,455.99,-2.0644930540273663,-0.004487638148916107,False,11.4342,0.021740878749698433,8.1,-0.002405168485108078,-0.00030329993507037555,False,11.9829,0.0060195446302639954,50.61,-0.3147093491839641,-0.006217095005609722,False,-2.3816075716964384
2021-05-31,1.0974771990842127,0.15636542800432354,1483879478.0,69.32,0.021252056817347875,154.59,-0.012889649235473439,7.25,10.8,15.1265,0.07846142877513196,491.63,-0.1376269071724323,-0.0003018200117819082,False,11.9622,0.06078906062943945,8.15,-0.44239139109845915,-0.05461622112326656,False,12.5987,0.0579319494827355,54.1,0.5580640366787577,0.011026754330740124,False,-0.02195426159213376
2021-06-30,0.9249126151401529,0.23853710121867996,1830472979.0,75.13,0.08048648153366393,153.88,-0.013003437851348772,7.25,9.7,14.3166,-0.059158298722464586,478.97,16.423994400925324,0.033407225761091314,False,10.9119,-0.09850299895903913,7.44,0.09279944151616881,0.011386434541861204,False,12.3531,-0.02956911111983973,52.58,0.07968891158332525,0.001472992820394182,False,16.59648275402482
2021-08-31,0.915342299696808,0.11412159172747938,790705156.0,72.99,-0.0066521927907077704,157.74,0.018786436067394163,7.25,8.4,14.44,0.008267232711428818,483.77,5.18587532119318,0.010925452579094889,False,10.9811,0.009700614218985493,12.6,4.411328018684028,0.5439368703679442,False,11.6068,0.012332757688349183,49.17,0.07186125211506322,0.0014816753013415097,False,9.66906459199227
2021-09-30,1.8662815112293152,0.5479165506159683,1189425792.0,78.52,0.08899794139959348,163.47,0.036216149778699414,7.25,9.0,13.6729,-0.053024898708314505,457.9,-0.21814475187869675,-0.0004509265805624507,False,10.3444,-0.057449270608388225,6.78,-5.096139190334308,-0.4044554912963737,False,10.9525,-0.05556657382576369,46.94,0.5022084350127969,0.010213716392369267,False,-4.812075507200208
2021-11-30,3.7138717775071277,1.1285204308344472,1326728643.0,70.57,-0.08289235569290197,170.79,0.030338666873323594,8.75,11.5,13.6916,-0.040646874583966874,457.03,7.534686617571765,0.016081202496204733,False,10.4332,-0.02282497728741495,9.35,0.16455478650170008,0.017505828351244687,False,11.2739,-0.011009351369370424,53.04,-0.3951647455129148,-0.007313802434072086,False,7.30407665856055
2021-12-31,4.61171543185836,0.24816430232498823,1254134269.0,77.78,0.09727920371486287,169.97,-0.005556096800169754,9.75,12.3,13.5314,-0.018040638606676374,459.63,10.845113062409325,0.023729543054962093,False,10.3169,-0.0017803063287954446,12.07,2.7366458641742373,0.29268939723788634,False,11.0233,-0.014809187594959305,52.4,0.1454793100366416,0.002742822587417828,False,13.727238236620204
2022-01-31,3.774148373528898,0.1423067125631907,1153450861.0,91.21,0.1592802114644657,176.77,0.024393272298439947,9.75,13.0,13.7543,0.016502845318158377,467.52,0.30479720641483254,0.0006631360146527262,False,10.4375,0.00951726939482156,11.55,-0.6348734415954951,-0.05259929093583223,False,11.1918,0.01246607562873181,53.72,0.6667776370544516,0.012724764065924649,False,0.33670140187378905
2022-02-28,3.7423744241097423,0.16431137557588377,840632635.0,100.99,0.10185696184639843,176.75,0.005717204603530737,9.75,12.2,13.4763,-0.026518051923660413,457.98,2.8577196353497243,0.006112507775816488,False,10.1176,-0.03714348252267341,10.0,-1.1209927768631225,-0.09705565167646081,False,10.8342,-0.037994690155477295,51.78,0.10107475515223996,0.001881510706482501,False,1.8378016136388418
