symbol,cur_weight,mom_30,mom_60,mom_90,vol_30,vol_60,avg_volume,mkt_cap_proxy,price_to_ma20,price_to_ma50,wt_drift,wt_range,pred_wt_ridge,pred_wt_rf,pred_wt_avg,ret_prob_logit,ret_prob_rf,avg_ret_prob,exclusion_risk
SEARL,0.7752502555447092,-0.31484591849397325,-0.431646537421765,-0.224106999121696,0.7848998032054921,0.590864536200089,4073077.6666666665,346496717.1033333,-0.08679573401463136,-0.2437993681586822,-0.12831726378690156,0.20156729126264195,0.35402720873455307,0.6361367037403645,0.49508195623745876,0.7606087158030534,0.7999637142089497,0.7802862150060016,0.2197137849939984
SAZEW,1.223498490404231,-0.2339707257265979,0.010765729277029481,0.09894381207229608,0.650952268593864,0.6705961887366482,220733.04761904763,406711676.8904762,-0.12220420096666873,-0.10976672220991801,-0.11397616706460711,0.15320034262720905,1.0152493983115334,0.859580677254186,0.9374150377828596,0.8233178211612351,0.7713742239341667,0.7973460225477009,0.20265397745229907
MLCF,1.198091486281104,-0.3430876744813625,-0.3995821157943656,-0.44562350738701934,0.7881115295520308,0.5980422314466652,8283172.380952381,654287786.3714285,-0.1366599813101479,-0.2584059530314382,-0.2538360542394389,0.27977896674914793,0.6783004004045878,1.193814294903295,0.9360573476539414,0.7941057477542081,0.8348215775558497,0.8144636626550289,0.1855363373449711
DGKC,1.098133673423053,-0.26247525841843483,-0.33010451716983347,-0.3751893582043635,0.7254546467505438,0.5383813791559627,2951469.9523809524,490888482.47999996,-0.14530617278875213,-0.223340141715208,-0.12282532090612097,0.2102258791276781,0.5274111671743116,1.021368238195033,0.7743897026846723,0.821996651383437,0.8209741939485328,0.8214854226659849,0.1785145773340151
ATRL,1.10951844334617,-0.031974772323814696,0.1132727509787538,0.21969303782521185,0.7241600366942368,0.5841439114395263,859297.5714285715,706660543.8157144,0.07212046150837637,0.03415033855071825,0.13521793359457113,0.20249386715303364,0.9171312650596577,1.0150205208917777,0.9660758929757177,0.9406492173384087,0.9023717817643182,0.9215104995513634,0.07848950044863656
SYS,3.571145260352919,-0.20375590449212913,-0.28297290546001747,-0.2978233021234933,0.7439764186893104,0.5619104805142556,3690498.904761905,451680160.95380956,-0.041555563386623806,-0.16739004432785742,-0.09957365563537923,0.49008052272969804,3.1386024283329514,3.993572149832013,3.566087289082482,0.9648149539494507,0.90243637294619,0.9336256634478204,0.06637433655217961
PSO,2.624009052140239,-0.2434798725544983,-0.26568646273732294,-0.2674350504522889,0.6789628904063637,0.5151514174734987,2566679.714285714,922002686.9657143,-0.058660132859894354,-0.18163874551657755,-0.21657125320454318,0.3559063559275124,2.2351651539337123,2.4708278066401776,2.352996480286945,0.9797165121054505,0.9138830741194162,0.9467997931124333,0.05320020688756666
LUCK,4.871337656607755,-0.275937182640033,-0.3318836083480542,-0.30908984967452424,0.7351895473735125,0.5509424738379154,2949821.380952381,1058543402.554762,-0.11320943554056906,-0.20772925955085297,-0.4834715952798314,0.6711880268983661,4.40565270119283,4.733860354965866,4.569756528079348,0.9969129518764605,0.9239958220301372,0.9604543869532989,0.03954561304670112
PPL,4.37596683572425,-0.12405344421461084,-0.1361651527350063,-0.05013032723387379,0.6423715475375418,0.5358601270680605,9968265.523809524,2088351627.2380953,-0.03429964829147114,-0.1332158313266969,0.13926984617003768,0.4336954202730734,4.380981097661171,4.184717494791764,4.282849296226468,0.9997628138050481,0.9236641262421526,0.9617134700236003,0.0382865299763997
HBL,5.028602123236016,-0.14827765768508303,-0.2574097170556877,-0.11114061997275533,0.7302672841731284,0.5261561333762272,2173479.0,605531249.4000001,-0.05734432308795856,-0.14544176305241074,0.025529975329043886,0.423691787563377,4.560298709283829,4.726640036362664,4.643469372823247,0.9946494664787608,0.9336551038984277,0.9641522851885942,0.035847714811405806
POL,2.579931067628608,-0.03433209587034775,-0.028000591966851566,0.00328746227037537,0.39191436482202957,0.34426843860036843,540849.1428571428,336170193.23428565,-0.023579496363322128,-0.029844200058500414,0.28942428203494597,0.4650233199354159,2.461592132893647,3.1119197673856975,2.786755950139672,0.9579619874485329,0.9708197516930658,0.9643908695707993,0.035609130429200664
FFC,13.27362139716378,-0.1473126844316899,-0.16625232135541215,-0.1548632574214782,0.6782757858977334,0.5952383849617096,2287510.6666666665,1146088594.2133331,-0.05798872639895314,-0.12505060009353397,0.10287486758369901,0.7025586560737906,12.616418450385355,11.814237857241556,12.215328153813456,0.9999935354911094,0.9310375130367545,0.965515524263932,0.034484475736068054
HUBC,5.923752822943383,-0.12106641162753104,-0.14817264895375037,-0.1260214470987893,0.7445056591920958,0.5529508303075382,5413418.142857143,1071748523.922857,-0.05934113969007393,-0.11344325956256995,0.2222643178043473,0.4845972922434889,5.4546987981435375,5.680010235943614,5.567354517043576,0.9986596918459487,0.9334115150137872,0.9660356034298679,0.03396439657013206
ENGROH,8.136397190467548,-0.08251481271551675,0.07881959374381481,0.2249440642541699,0.7931924453266552,0.6401605118639996,3198065.0476190476,866675627.9047619,0.01942167568848574,0.01817307439426208,0.5940499098553662,1.1976849966691603,7.888649526602938,7.756226296060543,7.822437911331741,0.9996399210321251,0.9355492104502422,0.9675945657411836,0.03240543425881637
NBP,3.76454385053729,-0.06381375492004308,-0.11800681315854449,0.11109990521173099,0.7754735952334673,0.5977766392394825,12244864.857142856,2978808273.797143,-0.029373743177247946,-0.06670523584232468,0.2632937515390288,0.3163443908418939,3.594232847410493,4.034487662496552,3.814360254953523,0.999971298930526,0.9366908043700123,0.9683310516502692,0.031668948349730774
MCB,4.769520352095133,-0.13321462530124326,-0.2080592710971202,-0.013323134686432637,0.5323635307129712,0.39924535262511696,733481.3333333334,266327072.13333336,-0.05069413579439985,-0.10551520944394621,0.11371241950105304,0.31339917134760054,4.342775077562678,4.629594332204955,4.486184704883817,0.985714948912795,0.9510490196980195,0.9683819843054072,0.03161801569459277
EFERT,3.964477189511391,-0.06303833559237454,-0.1575506769207728,-0.055275625525897036,0.5085911934439532,0.4165145910940169,2031485.0,421797230.55,-0.015355577897073092,-0.09502676607729854,0.3871348367389058,0.4150502587571787,3.789589445692934,4.103533494670193,3.946561470181564,0.9876039473566078,0.9567903702779464,0.9721971588172771,0.027802841182722915
