Symbol,Equal_Weight,MarketCap_Weight,MaxSharpe_Weight
AIRLINK,0.017241379310344827,0.005570384244904667,0.017241379310344827
APL,0.017241379310344827,0.006321470961629561,0.017241379310344827
ATRL,0.017241379310344827,0.0061494924846345455,0.017241379310344827
AVN,0.017241379310344827,0.004954508147804592,0.017241379310344827
BAFL,0.017241379310344827,0.018015769884503898,0.017241379310344827
BAHL,0.017241379310344827,0.030552043632898082,0.017241379310344827
BOP,0.017241379310344827,0.006335871989376102,0.017241379310344827
CHCC,0.017241379310344827,0.009945655431951684,0.017241379310344827
CNERGY,0.017241379310344827,0.005865957127431927,0.017241379310344827
COLG,0.017241379310344827,0.013857411768078745,0.017241379310344827
DAWH,0.017241379310344827,0.021942668687398338,0.017241379310344827
DFML,0.017241379310344827,0.0005690588994756338,0.017241379310344827
DGKC,0.017241379310344827,0.009496034496134209,0.017241379310344827
EFERT,0.017241379310344827,0.034644673831537645,0.017241379310344827
ENGRO,0.017241379310344827,0.05160634764502545,0.017241379310344827
ENGROH,0.017241379310344827,0.05139082708391541,0.017241379310344827
EPCL,0.017241379310344827,0.010740172721884775,0.017241379310344827
FCCL,0.017241379310344827,0.009807388606675403,0.017241379310344827
FFBL,0.017241379310344827,0.010978621478950384,0.017241379310344827
FFC,0.017241379310344827,0.05714913257788757,0.017241379310344827
GAL,0.017241379310344827,0.0029851449045450776,0.017241379310344827
GGL,0.017241379310344827,0.0017434723099818163,0.017241379310344827
GHNI,0.017241379310344827,0.002511876570797707,0.017241379310344827
HASCOL,0.017241379310344827,0.004344740596191793,0.017241379310344827
HBL,0.017241379310344827,0.04108694017560521,0.017241379310344827
HUBC,0.017241379310344827,0.04840235933552293,0.017241379310344827
INIL,0.017241379310344827,0.006572486000014022,0.017241379310344827
ISL,0.017241379310344827,0.007439300537915343,0.017241379310344827
KAPCO,0.017241379310344827,0.008844969084941505,0.017241379310344827
LUCK,0.017241379310344827,0.04186175870305842,0.017241379310344827
MARI,0.017241379310344827,0.03234354815925385,0.017241379310344827
MCB,0.017241379310344827,0.03826404458257207,0.017241379310344827
MEBL,0.017241379310344827,0.035555793070741235,0.017241379310344827
MLCF,0.017241379310344827,0.009756249354659534,0.017241379310344827
MTL,0.017241379310344827,0.022190731265318335,0.017241379310344827
NBP,0.017241379310344827,0.014692905615469416,0.017241379310344827
NETSOL,0.017241379310344827,0.0015365185704578291,0.017241379310344827
NML,0.017241379310344827,0.009148424841494814,0.017241379310344827
NRL,0.017241379310344827,0.003512760158741537,0.017241379310344827
OGDC,0.017241379310344827,0.038734577747621166,0.017241379310344827
PAEL,0.017241379310344827,0.00482544828740545,0.017241379310344827
PIOC,0.017241379310344827,0.00692679313183896,0.017241379310344827
POL,0.017241379310344827,0.031031807147283177,0.017241379310344827
PPL,0.017241379310344827,0.033609459524626406,0.017241379310344827
PRL,0.017241379310344827,0.002350413415442023,0.017241379310344827
PSO,0.017241379310344827,0.02229304115307292,0.017241379310344827
SAZEW,0.017241379310344827,0.0075370036900537585,0.017241379310344827
SEARL,0.017241379310344827,0.010073111739165827,0.017241379310344827
SHEL,0.017241379310344827,0.0035425247908120235,0.017241379310344827
SNGP,0.017241379310344827,0.008803019515538864,0.017241379310344827
SSGC,0.017241379310344827,0.002980829156564641,0.017241379310344827
SYS,0.017241379310344827,0.039769513606789396,0.017241379310344827
TELE,0.017241379310344827,0.0019585472497307918,0.017241379310344827
TPLP,0.017241379310344827,0.0020587450974504694,0.017241379310344827
TREET,0.017241379310344827,0.001260178413894063,0.017241379310344827
TRG,0.017241379310344827,0.027972221732567405,0.017241379310344827
UBL,0.017241379310344827,0.0476986888145169,0.017241379310344827
UNITY,0.017241379310344827,0.00788656024624456,0.017241379310344827
