Model,RMSE,MAE,R²
Naïve,229.18924696962222,86.22357902933899,-0.03436103383546296
AR(1),229.7632642534756,84.90477307041223,-0.039548752264071174
"ARIMAX(1,0,1)",229.36239180844817,85.94208922882282,-0.03592447476245586
