Asset,Test,Statistic,P_Value,Result
AKD NAV,Runs,-2.12733684803193,0.03339210521260472,Non-random
NBP NAV,Runs,0.16926654571149288,0.8655869889057186,Random
NTI NAV,Runs,12.148146416898662,0.0,Non-random
AIRLINK,Runs,-1.0015436435043534,0.3165640513647663,Random
APL,Runs,-0.10833252183858551,0.9137319257188432,Random
ATRL,Runs,0.4657914888194228,0.6413647578876294,Random
AVN,Runs,-2.103627811161115,0.03541092600397788,Non-random
BAFL,Runs,-0.47428565209336726,0.6352962216414493,Random
