Fund,Model,omega,alpha,beta,Persistence,LL
AKD,"GARCH(1,1)",0.12705383524597685,0.20252182423460535,0.7974781718685731,0.9999999961031785,-1319.5134158851972
NBP,"GARCH(1,1)",24.509278416746014,0.5984371931097736,0.4015628068537199,0.9999999999634935,-2796.4866116542894
NTI,"GARCH(1,1)",0.8107301776336902,0.705232578206946,0.18735150939663908,0.8925840876035851,-862.6877918947621
