DATE,NAV_AKD,AUM_AKD,FLOW_AKD,RET_AKD,NAV_NBP,AUM_NBP,FLOW_NBP,RET_NBP,NAV_NTI,AUM_NTI,FLOW_NTI,RET_NTI,FLOW_TOTAL,mkt_ret_mean,mkt_vol_mean,mkt_vol_std,mkt_turnover_mean,oil,ir,usd,cpi_yoy,oil_ret,usd_ret,ir_chg,mkt_ret_mean_lag1,mkt_ret_mean_lag2,mkt_ret_mean_lag3,mkt_vol_mean_lag1,mkt_vol_mean_lag2,mkt_vol_mean_lag3,mkt_vol_std_lag1,mkt_vol_std_lag2,mkt_vol_std_lag3,mkt_turnover_mean_lag1,mkt_turnover_mean_lag2,mkt_turnover_mean_lag3,oil_ret_lag1,oil_ret_lag2,oil_ret_lag3,usd_ret_lag1,usd_ret_lag2,usd_ret_lag3,ir_chg_lag1,ir_chg_lag2,ir_chg_lag3,cpi_yoy_lag1,cpi_yoy_lag2,cpi_yoy_lag3,FLOW_TOTAL_lag1,FLOW_TOTAL_lag2,FLOW_TOTAL_lag3,FLOW_AKD_lag1,FLOW_AKD_lag2,FLOW_AKD_lag3,FLOW_NBP_lag1,FLOW_NBP_lag2,FLOW_NBP_lag3,FLOW_NTI_lag1,FLOW_NTI_lag2,FLOW_NTI_lag3,target_flow_AKD,target_ret_AKD,target_flow_NBP,target_ret_NBP,target_flow_NTI,target_ret_NTI
2022-01-31,13.7543,467.52,-3.007010478253335,0.016472796606411766,10.4375,11.55,0.0004426177679430765,0.011689557909837278,11.1918,53.72,0.004319601168617737,0.015285803706694079,-3.002248259316774,0.001113989501058283,0.015267970137546579,0.006010537828459762,1830874.3825396826,91.21,9.75,176.77,13.0,0.17266649524299305,0.040007060069424005,0.0,-4.525281817781046e-06,-0.0010474116878999569,0.0011329865635743073,0.018781097293492734,0.019812969757714148,0.02282836407764892,0.013888916217819038,0.013990506418877344,0.011783871453071913,1817585.8971014493,2211214.4050000003,1947278.3192982457,0.10216806008218793,-0.16366437544441814,0.07463066734589918,-0.004801217869898622,0.023246060751302977,0.021043616565730616,1.0,1.5,0.0,12.3,11.5,9.2,-2.018266721214566,0.7592568814568654,0.03713556531065443,-1.8005181547044913,2.6021170660856683,0.03337797597845338,-0.02356139771579535,-0.28042430943589913,0.0004401614549660593,-0.19418716879427933,-1.5624358751929037,0.0033174278772349908,-4.838953612190153,-0.02021186101800898,0.0002965042153029174,-0.03064910179640723,0.0,-0.03195196483139451
2022-02-28,13.4763,457.98,-4.838953612190153,-0.02021186101800898,10.1176,10.0,0.0002965042153029174,-0.03064910179640723,10.8342,51.78,0.0,-0.03195196483139451,-4.83865710797485,-0.0012719027765433024,0.013714087785366943,0.009570491242391062,1401054.3916666666,100.99,9.75,176.75,12.2,0.10722508496875349,-0.00011314137014206693,0.0,0.001113989501058283,-4.525281817781046e-06,-0.0010474116878999569,0.015267970137546579,0.018781097293492734,0.019812969757714148,0.006010537828459762,0.013888916217819038,0.013990506418877344,1830874.3825396826,1817585.8971014493,2211214.4050000003,0.17266649524299305,0.10216806008218793,-0.16366437544441814,0.040007060069424005,-0.004801217869898622,0.023246060751302977,0.0,1.0,1.5,13.0,12.3,11.5,-3.002248259316774,-2.018266721214566,0.7592568814568654,-3.007010478253335,-1.8005181547044913,2.6021170660856683,0.0004426177679430765,-0.02356139771579535,-0.28042430943589913,0.004319601168617737,-0.19418716879427933,-1.5624358751929037,-5.954794347058339,0.008904521270675092,0.04264022129362566,0.001927334545742232,0.16369127701555186,0.0018183160731757297
2022-03-31,13.5963,461.5,-5.954794347058339,0.008904521270675092,10.1371,7.56,0.04264022129362566,0.001927334545742232,10.8539,41.87,0.16369127701555186,0.0018183160731757297,-5.748462848749162,-0.0016453524262667369,0.020564603832616594,0.013474096569420101,1711326.6095238093,107.91,9.75,175.52,12.7,0.0685216358055254,-0.006958981612446902,0.0,-0.0012719027765433024,0.001113989501058283,-4.525281817781046e-06,0.013714087785366943,0.015267970137546579,0.018781097293492734,0.009570491242391062,0.006010537828459762,0.013888916217819038,1401054.3916666666,1830874.3825396826,1817585.8971014493,0.10722508496875349,0.17266649524299305,0.10216806008218793,-0.00011314137014206693,0.040007060069424005,-0.004801217869898622,0.0,0.0,1.0,12.2,13.0,12.3,-4.83865710797485,-3.002248259316774,-2.018266721214566,-4.838953612190153,-3.007010478253335,-1.8005181547044913,0.0002965042153029174,0.0004426177679430765,-0.02356139771579535,0.0,0.004319601168617737,-0.19418716879427933,0.030547786058718884,0.006531188632201479,0.00014711986793880527,0.02186029535074141,0.0011339696132850463,0.024184855213333467
2022-04-30,13.6851,464.53,0.030547786058718884,0.006531188632201479,10.3587,7.62,0.00014711986793880527,0.02186029535074141,11.1164,42.02,0.0011339696132850463,0.024184855213333467,0.031828875539942736,0.0008667156288253295,0.0214347476449231,0.014126226896483667,2946363.791666667,109.34,12.25,178.13,13.4,0.013251783893985847,0.01487010027347302,2.5,-0.0016453524262667369,-0.0012719027765433024,0.001113989501058283,0.020564603832616594,0.013714087785366943,0.015267970137546579,0.013474096569420101,0.009570491242391062,0.006010537828459762,1711326.6095238093,1401054.3916666666,1830874.3825396826,0.0685216358055254,0.10722508496875349,0.17266649524299305,-0.006958981612446902,-0.00011314137014206693,0.040007060069424005,0.0,0.0,0.0,12.7,12.2,13.0,-5.748462848749162,-4.83865710797485,-3.002248259316774,-5.954794347058339,-4.838953612190153,-3.007010478253335,0.04264022129362566,0.0002965042153029174,0.0004426177679430765,0.16369127701555186,0.0,0.004319601168617737,-0.42861052243614495,-0.047416533309950326,-0.058892792049771714,-0.04481257300626529,-0.30059393974274684,-0.05509877298405963
2022-05-31,13.0362,443.02,-0.42861052243614495,-0.047416533309950326,9.8945,7.88,-0.058892792049771714,-0.04481257300626529,10.5039,39.87,-0.30059393974274684,-0.05509877298405963,-0.7880972542286635,-0.0030505710558143503,0.018282516554439562,0.012815325975603883,2437614.850980392,122.84,13.75,185.23,13.8,0.1234680812145601,0.03985853028686903,1.5,0.0008667156288253295,-0.0016453524262667369,-0.0012719027765433024,0.0214347476449231,0.020564603832616594,0.013714087785366943,0.014126226896483667,0.013474096569420101,0.009570491242391062,2946363.791666667,1711326.6095238093,1401054.3916666666,0.013251783893985847,0.0685216358055254,0.10722508496875349,0.01487010027347302,-0.006958981612446902,-0.00011314137014206693,2.5,0.0,0.0,13.4,12.7,12.2,0.031828875539942736,-5.748462848749162,-4.83865710797485,0.030547786058718884,-5.954794347058339,-4.838953612190153,0.00014711986793880527,0.04264022129362566,0.0002965042153029174,0.0011339696132850463,0.16369127701555186,0.0,-5.285005716862372,-0.03553949770638676,0.07221106956659096,-0.05221082419526002,0.578150905293171,-0.05311360542274779
2022-06-30,12.5729,427.6,-5.285005716862372,-0.03553949770638676,9.3779,5.88,0.07221106956659096,-0.05221082419526002,9.946,37.51,0.578150905293171,-0.05311360542274779,-4.63464374200261,-0.0015351698152933294,0.013773634282285868,0.01563058124679189,2112195.098484848,114.81,13.75,185.69,21.3,-0.06536958645392377,0.0024833990174377707,0.0,-0.0030505710558143503,0.0008667156288253295,-0.0016453524262667369,0.018282516554439562,0.0214347476449231,0.020564603832616594,0.012815325975603883,0.014126226896483667,0.013474096569420101,2437614.850980392,2946363.791666667,1711326.6095238093,0.1234680812145601,0.013251783893985847,0.0685216358055254,0.03985853028686903,0.01487010027347302,-0.006958981612446902,1.5,2.5,0.0,13.8,13.4,12.7,-0.7880972542286635,0.031828875539942736,-5.748462848749162,-0.42861052243614495,0.030547786058718884,-5.954794347058339,-0.058892792049771714,0.00014711986793880527,0.04264022129362566,-0.30059393974274684,0.0011339696132850463,0.16369127701555186,0.013621037547011383,-0.03429598581075177,0.00038443788569964,-0.006504654560189338,0.0,-0.016981701186406517
2022-07-31,12.1417,413.47,0.013621037547011383,-0.03429598581075177,9.3169,5.97,0.00038443788569964,-0.006504654560189338,9.7771,36.76,0.0,-0.016981701186406517,0.014005475432711023,-0.0018275615578641263,0.014473314226275772,0.01100399079861693,1444129.248148148,110.01,15.0,198.46,24.9,-0.04180820486020376,0.06877053153104651,1.25,-0.0015351698152933294,-0.0030505710558143503,0.0008667156288253295,0.013773634282285868,0.018282516554439562,0.0214347476449231,0.01563058124679189,0.012815325975603883,0.014126226896483667,2112195.098484848,2437614.850980392,2946363.791666667,-0.06536958645392377,0.1234680812145601,0.013251783893985847,0.0024833990174377707,0.03985853028686903,0.01487010027347302,0.0,1.5,2.5,21.3,13.8,13.4,-4.63464374200261,-0.7880972542286635,0.031828875539942736,-5.285005716862372,-0.42861052243614495,0.030547786058718884,0.07221106956659096,-0.058892792049771714,0.00014711986793880527,0.578150905293171,-0.30059393974274684,0.0011339696132850463,-1.5549160042997983,0.0533944999464655,0.05204651588682374,0.044435380867026586,0.3235775580097737,0.05436172280123963
2022-08-31,12.79,437.46,-1.5549160042997983,0.0533944999464655,9.7309,5.22,0.05204651588682374,0.044435380867026586,10.3086,39.02,0.3235775580097737,0.05436172280123963,-1.1792919304032008,0.0025007741990473015,0.01607931805472746,0.011168654717982514,2716342.2649999997,96.49,15.0,206.87,27.3,-0.12289791837105724,0.04237629749067828,0.0,-0.0018275615578641263,-0.0015351698152933294,-0.0030505710558143503,0.014473314226275772,0.013773634282285868,0.018282516554439562,0.01100399079861693,0.01563058124679189,0.012815325975603883,1444129.248148148,2112195.098484848,2437614.850980392,-0.04180820486020376,-0.06536958645392377,0.1234680812145601,0.06877053153104651,0.0024833990174377707,0.03985853028686903,1.25,0.0,1.5,24.9,21.3,13.8,0.014005475432711023,-4.63464374200261,-0.7880972542286635,0.013621037547011383,-5.285005716862372,-0.42861052243614495,0.00038443788569964,0.07221106956659096,-0.058892792049771714,0.0,0.578150905293171,-0.30059393974274684,-1.1686793031876164,-0.02921813917122751,0.053495816997498835,-0.013965820222178738,0.48473752917441004,-0.031682284694332985
2022-09-30,12.4163,423.12,-1.1686793031876164,-0.02921813917122751,9.595,4.23,0.053495816997498835,-0.013965820222178738,9.982,37.82,0.48473752917441004,-0.031682284694332985,-0.6304459570157075,-0.001704255873961942,0.013845641273070208,0.006501534893977311,2122832.4227272724,87.96,15.0,238.84,23.2,-0.08840294331018761,0.1545414994924348,0.0,0.0025007741990473015,-0.0018275615578641263,-0.0015351698152933294,0.01607931805472746,0.014473314226275772,0.013773634282285868,0.011168654717982514,0.01100399079861693,0.01563058124679189,2716342.2649999997,1444129.248148148,2112195.098484848,-0.12289791837105724,-0.04180820486020376,-0.06536958645392377,0.04237629749067828,0.06877053153104651,0.0024833990174377707,0.0,1.25,0.0,27.3,24.9,21.3,-1.1792919304032008,0.014005475432711023,-4.63464374200261,-1.5549160042997983,0.013621037547011383,-5.285005716862372,0.05204651588682374,0.00038443788569964,0.07221106956659096,0.3235775580097737,0.0,0.578150905293171,-1.2346479213663883,0.002561149456762557,0.00027990898989394,-0.01521625846795216,0.0,0.011831296333400187
2022-10-31,12.4481,424.5,-1.2346479213663883,0.002561149456762557,9.449,5.29,0.00027990898989394,-0.01521625846795216,10.1001,38.31,0.0,0.011831296333400187,-1.2343680123764944,-0.0008257091459493574,0.018517827268582747,0.00840515573829173,2381776.0883333334,94.83,15.0,219.86,26.6,0.07810368349249663,-0.07946742589181033,0.0,-0.001704255873961942,0.0025007741990473015,-0.0018275615578641263,0.013845641273070208,0.01607931805472746,0.014473314226275772,0.006501534893977311,0.011168654717982514,0.01100399079861693,2122832.4227272724,2716342.2649999997,1444129.248148148,-0.08840294331018761,-0.12289791837105724,-0.04180820486020376,0.1545414994924348,0.04237629749067828,0.06877053153104651,0.0,0.0,1.25,23.2,27.3,24.9,-0.6304459570157075,-1.1792919304032008,0.014005475432711023,-1.1686793031876164,-1.5549160042997983,0.013621037547011383,0.053495816997498835,0.05204651588682374,0.00038443788569964,0.48473752917441004,0.3235775580097737,0.0,0.27263952868918295,0.024766831885990603,-0.050738936093103426,0.06013334744417409,-0.4254715557567508,0.060900387124879884
