Date,SYMBOL,IDX WT %,pred_stay_next,pred_stay_prob,pred_weight_change_next,pred_next_weight
2026-03-31,MCB,4.971781180069383,1.0,0.9405243362430864,-0.31786327106813755,4.653917909001246
2026-03-31,ENGROH,8.327600123595802,1.0,0.9399975449559193,0.12816097234458595,8.455761095940389
2026-03-31,FFC,13.54153811501346,1.0,0.937005263012289,-0.8251306235766468,12.716407491436813
2026-03-31,MEBL,6.649825572931338,1.0,0.9354751498909528,-0.40406929699990074,6.245756275931437
2026-03-31,SYS,4.005768867714641,1.0,0.9274555492713046,0.12342087111319648,4.129189738827837
2026-03-31,OGDC,5.700713331503336,1.0,0.9118491800910064,-0.2751312915906752,5.425582039912661
2026-03-31,PPL,4.331315879237108,1.0,0.9079848314503225,-0.26983588123968605,4.061479997997422
2026-03-31,UBL,9.499522063195204,1.0,0.9045308964321915,-0.6384528057365604,8.861069257458643
2026-03-31,EFERT,3.731909324120613,1.0,0.8927971312623008,-0.1013022046377385,3.6306071194828746
2026-03-31,HBL,4.762268079027732,1.0,0.8902150504446842,-0.30349891747157726,4.458769161556154
2026-03-31,POL,2.632355561613457,1.0,0.8765889867535474,-0.3355681773448661,2.296787384268591
2026-03-31,NBP,2.806459792032129,1.0,0.8685042571067252,0.7003198836383143,3.5067796756704435
2026-03-31,MARI,4.923645525981462,1.0,0.8683487743347638,-0.3139527603062712,4.609692765675192
2026-03-31,LUCK,5.120831627339508,1.0,0.8547512326606359,0.011726116919442215,5.132557744258951
2026-03-31,ATRL,1.049278419880494,1.0,0.8523107675618565,-0.0832333159478898,0.9660451039326043
2026-03-31,BAHL,3.607875976656556,1.0,0.8489902615061589,-0.11551527903337501,3.492360697623181
2026-03-31,HUBC,6.240694500180466,1.0,0.845007615924264,-0.4438399783716581,5.796854521808808
2026-03-31,BOP,1.115855883792492,1.0,0.7987615640071728,0.8871662272284073,2.003022111020899
2026-03-31,NRL,0.2501035168259622,1.0,0.7820665695914213,-0.012062796554552231,0.23804072027141
2026-03-31,MLCF,1.131724751433359,1.0,0.7732759785162138,-0.04519872603010018,1.086526025403259
2026-03-31,PSO,2.519133246956974,1.0,0.770139481230002,-0.12516319339666668,2.3939700535603072
2026-03-31,SAZEW,1.124260031626858,1.0,0.7683903916800778,0.29724189267897383,1.421501924305832
2026-03-31,DGKC,1.085076013923707,1.0,0.7259959392753684,-0.11198462471141063,0.9730913892122963
2026-03-31,FCCL,1.099614851035699,1.0,0.7160285397493154,-0.2804461173956891,0.8191687336400097
2026-03-31,SEARL,0.7782012551415917,1.0,0.6792075817689589,-0.12546454008365598,0.6527367150579357
2026-03-31,PAEL,0.5506703833082298,1.0,0.6697812372451685,0.23705560462229944,0.7877259879305293
2026-03-31,SNGP,0.8256892787106763,1.0,0.6636891554517242,-0.24913790725741883,0.5765513714532575
2026-03-31,AIRLINK,0.4800867207759004,1.0,0.6131205159420315,-0.14047054501257636,0.33961617576332404
2026-03-31,SSGC,0.216422182891312,1.0,0.6056082593776629,-0.04937560477852633,0.16704657811278567
2026-03-31,GAL,0.2288450398633027,1.0,0.566878804223684,-0.2082452569079012,0.02059978295540152
2026-03-31,GHNI,0.2988088802778046,1.0,0.5514017830513863,-0.3089196077770171,0.0
2026-03-31,PRL,0.2033080044808387,1.0,0.5513661245332523,-0.11347400057767737,0.08983400390316132
