Date,SYMBOL,COMPANY,PRICE,IDX WT %,VOLUME
2020-07-01,BAFL,Bank Alfalah Limited,32.52,2.25,1316660.0
2020-07-01,BAHL,Bank Al-Habib Ltd.,51.41,3.61,417674.0
2020-07-01,DGKC,D. G. Khan Cement Co. Ltd.,91.39,1.95,14526000.0
2020-07-01,EFERT,Engro Fertilizers Limited,61.31,3.58,1290374.0
2020-07-01,ENGRO,Engro Corporation Limited.,298.29,9.19,813531.0
2020-07-01,EPCL,Engro Polymer & Chemicals Ltd.,25.66,0.79,747000.0
2020-07-01,FCCL,Fauji Cement Company Limited,17.45,1.29,5084000.0
2020-07-01,FFC,Fauji Fertilizer Company Limited,111.39,7.58,1570707.0
2020-07-01,HBL,Habib Bank Limited,96.22,6.86,876566.0
2020-07-01,HUBC,The Hub Power Company Limited,75.66,7.15,2575535.0
2020-07-01,ISL,International Steels Limited.,53.38,0.68,1571000.0
2020-07-01,LOTCHEM,Lotte Chemical Pakistan Ltd.,10.13,0.37,4749000.0
2020-07-01,LUCK,Lucky Cement Limited.,494.41,6.22,1923929.0
2020-07-01,MARI,Mari Petroleum Company Ltd.,1236.49,3.21,16640.0
2020-07-01,MCB,MCB Bank Limited,160.33,6.46,179690.0
2020-07-01,MEBL,Meezan Bank Limited,68.92,2.15,75500.0
2020-07-01,MLCF,Maple Leaf Cement Factory Ltd.,27.56,1.32,22952500.0
2020-07-01,MTL,Millat Tractors Limited,703.02,1.53,4950.0
2020-07-01,NBP,National Bank Of Pakistan.,27.21,1.34,397000.0
2020-07-01,NML,Nishat Mills Ltd.,78.99,1.21,1118000.0
2020-07-01,OGDC,Oil & Gas Development Company Limited,113.03,7.09,5624562.0
2020-07-01,PAEL,Pak Elektron Limited,23.9,0.58,11330500.0
2020-07-01,POL,Pakistan Oilfields Limited,356.63,4.5,203196.0
2020-07-01,PPL,Pakistan Petroleum Limited.,89.52,5.8,4442283.0
2020-07-01,PSO,Pakistan State Oil Co Ltd.,162.21,3.33,2252597.0
2020-07-01,SEARL,The Searle Company Ltd.,201.38,1.87,813900.0
2020-07-01,SNGP,Sui Northern Gas Pipelines Limited,55.5,1.54,907000.0
2020-07-01,TRG,TRG Pakistan Ltd.,30.0,1.35,26473000.0
2020-07-01,UBL,United Bank Limited,101.36,4.82,1339826.0
2020-07-02,ATRL,Attock Refinery Limited,95.63,0.4,3275500.0
2020-07-02,BAFL,Bank Alfalah Limited,32.6,2.25,1228363.0
2020-07-02,BAHL,Bank Al-Habib Ltd.,52.51,3.68,236672.0
2020-07-02,DGKC,D. G. Khan Cement Co. Ltd.,90.9,1.93,9530500.0
2020-07-02,EFERT,Engro Fertilizers Limited,62.38,3.63,2004996.0
2020-07-02,ENGRO,Engro Corporation Limited.,299.09,9.19,694803.0
2020-07-02,EPCL,Engro Polymer & Chemicals Ltd.,26.32,0.81,3210500.0
2020-07-02,FCCL,Fauji Cement Company Limited,17.28,1.27,2878000.0
2020-07-02,FFC,Fauji Fertilizer Company Limited,110.57,7.5,278700.0
2020-07-02,HBL,Habib Bank Limited,97.02,6.9,2515270.0
2020-07-02,HUBC,The Hub Power Company Limited,74.23,7.0,2110095.0
2020-07-02,ISL,International Steels Limited.,54.33,0.69,5305500.0
2020-07-02,LOTCHEM,Lotte Chemical Pakistan Ltd.,10.21,0.37,10676500.0
2020-07-02,LUCK,Lucky Cement Limited.,495.39,6.21,1339621.0
2020-07-02,MARI,Mari Petroleum Company Ltd.,1222.65,3.16,25480.0
2020-07-02,MCB,MCB Bank Limited,162.33,6.53,265412.0
2020-07-02,MEBL,Meezan Bank Limited,67.75,2.11,755000.0
2020-07-02,MLCF,Maple Leaf Cement Factory Ltd.,27.46,1.32,21185000.0
2020-07-02,MTL,Millat Tractors Limited,701.4,1.53,4450.0
2020-07-02,NBP,National Bank Of Pakistan.,26.62,1.31,3274000.0
2020-07-02,NML,Nishat Mills Ltd.,77.96,1.2,1432000.0
2020-07-02,OGDC,Oil & Gas Development Company Limited,113.54,7.1,2625738.0
2020-07-02,PAEL,Pak Elektron Limited,24.07,0.58,18920500.0
2020-07-02,POL,Pakistan Oilfields Limited,355.33,4.47,185512.0
2020-07-02,PPL,Pakistan Petroleum Limited.,90.19,5.83,5817993.0
2020-07-02,PSO,Pakistan State Oil Co Ltd.,160.81,3.29,1212524.0
2020-07-02,SEARL,The Searle Company Ltd.,205.75,1.91,3009900.0
2020-07-02,SNGP,Sui Northern Gas Pipelines Limited,55.49,1.54,929500.0
2020-07-02,TRG,TRG Pakistan Ltd.,31.16,1.4,28672500.0
2020-07-02,UBL,United Bank Limited,103.02,4.89,7651323.0
2020-07-03,ATRL,Attock Refinery Limited,94.44,0.39,693500.0
2020-07-03,BAFL,Bank Alfalah Limited,33.53,2.3,714342.0
2020-07-03,BAHL,Bank Al-Habib Ltd.,52.48,3.67,411785.0
2020-07-03,DGKC,D. G. Khan Cement Co. Ltd.,90.45,1.92,2485500.0
2020-07-03,EFERT,Engro Fertilizers Limited,63.07,3.66,2061701.0
2020-07-03,ENGRO,Engro Corporation Limited.,298.16,9.13,149100.0
2020-07-03,EPCL,Engro Polymer & Chemicals Ltd.,26.34,0.81,971000.0
2020-07-03,FCCL,Fauji Cement Company Limited,17.08,1.25,550500.0
2020-07-03,FFC,Fauji Fertilizer Company Limited,112.14,7.59,539657.0
2020-07-03,HBL,Habib Bank Limited,97.84,6.94,531752.0
2020-07-03,HUBC,The Hub Power Company Limited,73.68,6.93,613210.0
2020-07-03,ISL,International Steels Limited.,55.15,0.7,2635000.0
2020-07-03,LOTCHEM,Lotte Chemical Pakistan Ltd.,10.17,0.37,1729000.0
2020-07-03,LUCK,Lucky Cement Limited.,489.76,6.12,506230.0
2020-07-03,MARI,Mari Petroleum Company Ltd.,1245.77,3.21,26780.0
2020-07-03,MCB,MCB Bank Limited,161.42,6.47,18041.0
2020-07-03,MEBL,Meezan Bank Limited,67.57,2.1,200500.0
2020-07-03,MLCF,Maple Leaf Cement Factory Ltd.,27.01,1.29,7598000.0
2020-07-03,MTL,Millat Tractors Limited,704.22,1.53,1300.0
2020-07-03,NBP,National Bank Of Pakistan.,26.23,1.29,1923000.0
2020-07-03,NML,Nishat Mills Ltd.,79.63,1.22,2801500.0
2020-07-03,OGDC,Oil & Gas Development Company Limited,112.91,7.04,612053.0
2020-07-03,PAEL,Pak Elektron Limited,24.46,0.59,5204500.0
2020-07-03,POL,Pakistan Oilfields Limited,354.39,4.45,56507.0
2020-07-03,PPL,Pakistan Petroleum Limited.,89.99,5.8,1535826.0
2020-07-03,PSO,Pakistan State Oil Co Ltd.,159.35,3.25,424749.0
2020-07-03,SEARL,The Searle Company Ltd.,216.58,2.0,6261400.0
2020-07-03,SNGP,Sui Northern Gas Pipelines Limited,55.21,1.52,577000.0
2020-07-03,TRG,TRG Pakistan Ltd.,33.24,1.49,23306000.0
2020-07-03,UBL,United Bank Limited,104.92,4.97,1890435.0
2020-07-06,ATRL,Attock Refinery Limited,101.16,0.42,4276000.0
2020-07-06,BAFL,Bank Alfalah Limited,33.07,2.27,687824.0
2020-07-06,BAHL,Bank Al-Habib Ltd.,52.17,3.63,632077.0
2020-07-06,DGKC,D. G. Khan Cement Co. Ltd.,92.18,1.95,5044000.0
2020-07-06,EFERT,Engro Fertilizers Limited,62.67,3.63,894670.0
2020-07-06,ENGRO,Engro Corporation Limited.,298.16,9.11,218546.0
2020-07-06,EPCL,Engro Polymer & Chemicals Ltd.,27.16,0.83,3408500.0
2020-07-06,FCCL,Fauji Cement Company Limited,17.26,1.26,961500.0
2020-07-06,FFC,Fauji Fertilizer Company Limited,110.97,7.49,331144.0
2020-07-06,HBL,Habib Bank Limited,98.24,6.95,530812.0
2020-07-06,HUBC,The Hub Power Company Limited,71.84,6.74,5350573.0
2020-07-06,ISL,International Steels Limited.,55.91,0.7,3598500.0
2020-07-06,LOTCHEM,Lotte Chemical Pakistan Ltd.,11.07,0.4,30842000.0
2020-07-06,LUCK,Lucky Cement Limited.,491.38,6.13,541663.0
2020-07-06,MARI,Mari Petroleum Company Ltd.,1258.07,3.24,17980.0
2020-07-06,MCB,MCB Bank Limited,161.21,6.45,61266.0
2020-07-06,MEBL,Meezan Bank Limited,67.62,2.1,1090500.0
2020-07-06,MLCF,Maple Leaf Cement Factory Ltd.,27.6,1.32,13736000.0
2020-07-06,MTL,Millat Tractors Limited,698.74,1.51,14800.0
2020-07-06,NBP,National Bank Of Pakistan.,26.72,1.31,6059000.0
2020-07-06,NML,Nishat Mills Ltd.,81.61,1.24,1551500.0
2020-07-06,OGDC,Oil & Gas Development Company Limited,113.53,7.06,957663.0
2020-07-06,PAEL,Pak Elektron Limited,26.25,0.63,37658000.0
2020-07-06,POL,Pakistan Oilfields Limited,357.11,4.47,185450.0
2020-07-06,PPL,Pakistan Petroleum Limited.,91.09,5.85,2200598.0
2020-07-06,PSO,Pakistan State Oil Co Ltd.,162.78,3.32,983826.0
2020-07-06,SEARL,The Searle Company Ltd.,218.62,2.01,2658600.0
2020-07-06,SNGP,Sui Northern Gas Pipelines Limited,55.9,1.54,1141000.0
2020-07-06,TRG,TRG Pakistan Ltd.,34.21,1.53,37708500.0
2020-07-06,UBL,United Bank Limited,104.74,4.94,1145849.0
2020-07-07,ATRL,Attock Refinery Limited,99.16,0.41,1689500.0
2020-07-07,BAFL,Bank Alfalah Limited,34.35,2.35,1698919.0
2020-07-07,BAHL,Bank Al-Habib Ltd.,52.22,3.63,1036151.0
2020-07-07,DGKC,D. G. Khan Cement Co. Ltd.,93.04,1.96,4589500.0
2020-07-07,EFERT,Engro Fertilizers Limited,62.17,3.59,1030139.0
2020-07-07,ENGRO,Engro Corporation Limited.,295.94,9.02,684224.0
2020-07-07,EPCL,Engro Polymer & Chemicals Ltd.,26.99,0.83,1883500.0
2020-07-07,FCCL,Fauji Cement Company Limited,17.65,1.29,3658000.0
2020-07-07,FFC,Fauji Fertilizer Company Limited,110.97,7.47,502956.0
2020-07-07,HBL,Habib Bank Limited,98.74,6.97,2039298.0
2020-07-07,HUBC,The Hub Power Company Limited,70.75,6.62,2548178.0
2020-07-07,ISL,International Steels Limited.,55.35,0.69,1560500.0
2020-07-07,LOTCHEM,Lotte Chemical Pakistan Ltd.,10.8,0.39,24126000.0
2020-07-07,LUCK,Lucky Cement Limited.,494.49,6.15,1093917.0
2020-07-07,MARI,Mari Petroleum Company Ltd.,1264.27,3.24,55820.0
2020-07-07,MCB,MCB Bank Limited,161.43,6.44,240461.0
2020-07-07,MEBL,Meezan Bank Limited,68.78,2.13,830000.0
2020-07-07,MLCF,Maple Leaf Cement Factory Ltd.,28.16,1.34,19875500.0
2020-07-07,MTL,Millat Tractors Limited,708.22,1.53,10550.0
2020-07-07,NBP,National Bank Of Pakistan.,27.22,1.33,2391000.0
2020-07-07,NML,Nishat Mills Ltd.,81.98,1.25,1044000.0
2020-07-07,OGDC,Oil & Gas Development Company Limited,113.97,7.07,2618575.0
2020-07-07,PAEL,Pak Elektron Limited,26.24,0.63,32968500.0
2020-07-07,POL,Pakistan Oilfields Limited,356.27,4.45,291666.0
2020-07-07,PPL,Pakistan Petroleum Limited.,91.59,5.87,2633332.0
2020-07-07,PSO,Pakistan State Oil Co Ltd.,163.62,3.32,736812.0
2020-07-07,SEARL,The Searle Company Ltd.,218.59,2.01,2062200.0
2020-07-07,SNGP,Sui Northern Gas Pipelines Limited,56.41,1.55,2038500.0
2020-07-07,TRG,TRG Pakistan Ltd.,33.29,1.48,18473500.0
2020-07-07,UBL,United Bank Limited,106.14,5.0,1757872.0
2020-07-08,ATRL,Attock Refinery Limited,102.4,0.42,2968500.0
2020-07-08,BAFL,Bank Alfalah Limited,34.54,2.34,3083350.0
2020-07-08,BAHL,Bank Al-Habib Ltd.,52.74,3.63,675450.0
2020-07-08,DGKC,D. G. Khan Cement Co. Ltd.,95.31,1.99,10167000.0
2020-07-08,EFERT,Engro Fertilizers Limited,62.09,3.55,1372395.0
2020-07-08,ENGRO,Engro Corporation Limited.,295.08,8.91,492114.0
2020-07-08,EPCL,Engro Polymer & Chemicals Ltd.,26.9,0.82,756500.0
2020-07-08,FCCL,Fauji Cement Company Limited,17.78,1.29,2669500.0
2020-07-08,FFC,Fauji Fertilizer Company Limited,110.89,7.39,613324.0
2020-07-08,HBL,Habib Bank Limited,103.35,7.22,6312584.0
2020-07-08,HUBC,The Hub Power Company Limited,70.31,6.51,2300757.0
2020-07-08,ISL,International Steels Limited.,55.65,0.69,1695500.0
2020-07-08,LOTCHEM,Lotte Chemical Pakistan Ltd.,11.21,0.4,10289500.0
2020-07-08,LUCK,Lucky Cement Limited.,489.11,6.03,1098664.0
2020-07-08,MARI,Mari Petroleum Company Ltd.,1258.55,3.2,26960.0
2020-07-08,MCB,MCB Bank Limited,162.94,6.44,902753.0
2020-07-08,MEBL,Meezan Bank Limited,69.88,2.14,592500.0
2020-07-08,MLCF,Maple Leaf Cement Factory Ltd.,28.4,1.34,17504000.0
2020-07-08,MTL,Millat Tractors Limited,747.99,1.6,72450.0
2020-07-08,NBP,National Bank Of Pakistan.,27.71,1.34,2159000.0
2020-07-08,NML,Nishat Mills Ltd.,83.41,1.26,1896000.0
2020-07-08,OGDC,Oil & Gas Development Company Limited,113.58,6.98,2303122.0
2020-07-08,PAEL,Pak Elektron Limited,26.96,0.64,20611500.0
2020-07-08,POL,Pakistan Oilfields Limited,357.96,4.42,180009.0
2020-07-08,PPL,Pakistan Petroleum Limited.,93.26,5.92,4602051.0
2020-07-08,PSO,Pakistan State Oil Co Ltd.,164.89,3.32,899781.0
2020-07-08,SEARL,The Searle Company Ltd.,223.5,2.03,2364700.0
2020-07-08,SNGP,Sui Northern Gas Pipelines Limited,56.61,1.54,1093500.0
2020-07-08,TRG,TRG Pakistan Ltd.,35.65,1.57,38340500.0
2020-07-08,UBL,United Bank Limited,109.31,5.1,2347739.0
2020-07-09,ATRL,Attock Refinery Limited,101.34,0.41,1273000.0
2020-07-09,BAFL,Bank Alfalah Limited,36.52,2.43,12840287.0
2020-07-09,BAHL,Bank Al-Habib Ltd.,54.27,3.68,900591.0
2020-07-09,DGKC,D. G. Khan Cement Co. Ltd.,95.63,1.96,6705000.0
2020-07-09,EFERT,Engro Fertilizers Limited,63.06,3.55,1351308.0
2020-07-09,ENGRO,Engro Corporation Limited.,298.78,8.88,753650.0
2020-07-09,EPCL,Engro Polymer & Chemicals Ltd.,27.54,0.82,2637000.0
2020-07-09,FCCL,Fauji Cement Company Limited,17.7,1.26,1563500.0
2020-07-09,FFC,Fauji Fertilizer Company Limited,110.71,7.26,653146.0
2020-07-09,HBL,Habib Bank Limited,106.77,7.34,2415828.0
2020-07-09,HUBC,The Hub Power Company Limited,72.29,6.59,6319425.0
2020-07-09,ISL,International Steels Limited.,55.98,0.68,2496000.0
2020-07-09,LOTCHEM,Lotte Chemical Pakistan Ltd.,11.41,0.4,18522500.0
2020-07-09,LUCK,Lucky Cement Limited.,488.93,5.93,674664.0
2020-07-09,MARI,Mari Petroleum Company Ltd.,1250.24,3.13,87060.0
2020-07-09,MCB,MCB Bank Limited,164.72,6.41,466115.0
2020-07-09,MEBL,Meezan Bank Limited,72.89,2.2,1973500.0
2020-07-09,MLCF,Maple Leaf Cement Factory Ltd.,28.36,1.31,16538500.0
2020-07-09,MTL,Millat Tractors Limited,745.48,1.57,34950.0
2020-07-09,NBP,National Bank Of Pakistan.,28.75,1.37,6897500.0
2020-07-09,NML,Nishat Mills Ltd.,84.11,1.25,1383000.0
2020-07-09,OGDC,Oil & Gas Development Company Limited,115.17,6.97,3578605.0
2020-07-09,PAEL,Pak Elektron Limited,28.0,0.65,39604500.0
2020-07-09,POL,Pakistan Oilfields Limited,367.28,4.47,855406.0
2020-07-09,PPL,Pakistan Petroleum Limited.,95.6,5.97,6420973.0
2020-07-09,PSO,Pakistan State Oil Co Ltd.,166.67,3.3,1700472.0
2020-07-09,SEARL,The Searle Company Ltd.,219.82,1.97,1685400.0
2020-07-09,SNGP,Sui Northern Gas Pipelines Limited,58.18,1.56,4026500.0
2020-07-09,TRG,TRG Pakistan Ltd.,36.31,1.58,38452500.0
2020-07-09,UBL,United Bank Limited,110.98,5.1,1793330.0
2020-07-10,ATRL,Attock Refinery Limited,101.33,0.4,608500.0
2020-07-10,BAFL,Bank Alfalah Limited,36.22,2.41,2787778.0
2020-07-10,BAHL,Bank Al-Habib Ltd.,54.84,3.71,197457.0
2020-07-10,DGKC,D. G. Khan Cement Co. Ltd.,95.97,1.97,4130500.0
2020-07-10,EFERT,Engro Fertilizers Limited,63.59,3.58,2365528.0
2020-07-10,ENGRO,Engro Corporation Limited.,300.9,8.93,713250.0
2020-07-10,EPCL,Engro Polymer & Chemicals Ltd.,27.72,0.83,3780500.0
2020-07-10,FCCL,Fauji Cement Company Limited,17.99,1.28,2015000.0
2020-07-10,FFC,Fauji Fertilizer Company Limited,110.52,7.24,185931.0
2020-07-10,HBL,Habib Bank Limited,106.49,7.31,1030766.0
2020-07-10,HUBC,The Hub Power Company Limited,72.22,6.58,4543039.0
2020-07-10,ISL,International Steels Limited.,56.58,0.69,1964000.0
2020-07-10,LOTCHEM,Lotte Chemical Pakistan Ltd.,11.3,0.4,6066500.0
2020-07-10,LUCK,Lucky Cement Limited.,496.41,6.01,587912.0
2020-07-10,MARI,Mari Petroleum Company Ltd.,1264.95,3.16,74900.0
2020-07-10,MCB,MCB Bank Limited,165.08,6.41,463054.0
2020-07-10,MEBL,Meezan Bank Limited,73.56,2.22,638500.0
2020-07-10,MLCF,Maple Leaf Cement Factory Ltd.,29.28,1.36,24635500.0
2020-07-10,MTL,Millat Tractors Limited,738.03,1.55,4000.0
2020-07-10,NBP,National Bank Of Pakistan.,30.28,1.44,7834500.0
2020-07-10,NML,Nishat Mills Ltd.,83.97,1.24,567000.0
2020-07-10,OGDC,Oil & Gas Development Company Limited,114.51,6.92,1289596.0
2020-07-10,PAEL,Pak Elektron Limited,27.87,0.65,13472500.0
2020-07-10,POL,Pakistan Oilfields Limited,365.04,4.44,158414.0
2020-07-10,PPL,Pakistan Petroleum Limited.,94.71,5.91,1725949.0
2020-07-10,PSO,Pakistan State Oil Co Ltd.,164.69,3.26,430914.0
2020-07-10,SEARL,The Searle Company Ltd.,216.71,1.94,802300.0
2020-07-10,SNGP,Sui Northern Gas Pipelines Limited,57.88,1.55,2016000.0
2020-07-10,TRG,TRG Pakistan Ltd.,35.19,1.53,14245500.0
2020-07-10,UBL,United Bank Limited,110.87,5.08,645445.0
2020-07-13,ATRL,Attock Refinery Limited,105.7,0.42,3336500.0
2020-07-13,BAFL,Bank Alfalah Limited,35.98,2.36,2934039.0
2020-07-13,BAHL,Bank Al-Habib Ltd.,55.5,3.71,1454487.0
2020-07-13,DGKC,D. G. Khan Cement Co. Ltd.,102.99,2.09,11522500.0
2020-07-13,EFERT,Engro Fertilizers Limited,63.54,3.53,1090654.0
2020-07-13,ENGRO,Engro Corporation Limited.,301.23,8.82,713318.0
2020-07-13,EPCL,Engro Polymer & Chemicals Ltd.,28.59,0.84,6078500.0
2020-07-13,FCCL,Fauji Cement Company Limited,18.85,1.32,14234500.0
2020-07-13,FFC,Fauji Fertilizer Company Limited,111.32,7.2,426433.0
2020-07-13,HBL,Habib Bank Limited,106.75,7.24,3169809.0
2020-07-13,HUBC,The Hub Power Company Limited,71.99,6.47,4529758.0
2020-07-13,ISL,International Steels Limited.,59.04,0.71,6613500.0
2020-07-13,LOTCHEM,Lotte Chemical Pakistan Ltd.,11.4,0.4,7377500.0
2020-07-13,LUCK,Lucky Cement Limited.,516.27,6.17,1856608.0
2020-07-13,MARI,Mari Petroleum Company Ltd.,1284.84,3.17,42760.0
2020-07-13,MCB,MCB Bank Limited,164.61,6.31,360497.0
2020-07-13,MEBL,Meezan Bank Limited,76.52,2.27,1635000.0
2020-07-13,MLCF,Maple Leaf Cement Factory Ltd.,30.78,1.41,76450000.0
2020-07-13,MTL,Millat Tractors Limited,740.79,1.54,9650.0
2020-07-13,NBP,National Bank Of Pakistan.,29.96,1.4,6477500.0
2020-07-13,NML,Nishat Mills Ltd.,86.54,1.27,2015500.0
2020-07-13,OGDC,Oil & Gas Development Company Limited,115.23,6.87,2489469.0
2020-07-13,PAEL,Pak Elektron Limited,29.07,0.67,21923000.0
2020-07-13,POL,Pakistan Oilfields Limited,370.42,4.44,504404.0
2020-07-13,PPL,Pakistan Petroleum Limited.,95.56,5.88,5883597.0
2020-07-13,PSO,Pakistan State Oil Co Ltd.,173.7,3.39,4318065.0
2020-07-13,SEARL,The Searle Company Ltd.,219.64,1.94,1615800.0
2020-07-13,SNGP,Sui Northern Gas Pipelines Limited,59.3,1.56,3430500.0
2020-07-13,TRG,TRG Pakistan Ltd.,36.66,1.57,21222000.0
2020-07-13,UBL,United Bank Limited,110.84,5.02,1398258.0
2020-07-14,ATRL,Attock Refinery Limited,106.53,0.42,5052500.0
2020-07-14,BAFL,Bank Alfalah Limited,35.43,2.32,653460.0
2020-07-14,BAHL,Bank Al-Habib Ltd.,55.38,3.69,625378.0
2020-07-14,DGKC,D. G. Khan Cement Co. Ltd.,101.33,2.05,6040500.0
2020-07-14,EFERT,Engro Fertilizers Limited,63.71,3.53,1172381.0
2020-07-14,ENGRO,Engro Corporation Limited.,301.92,8.83,1628923.0
2020-07-14,EPCL,Engro Polymer & Chemicals Ltd.,28.97,0.85,9777500.0
2020-07-14,FCCL,Fauji Cement Company Limited,18.56,1.3,2886000.0
2020-07-14,FFC,Fauji Fertilizer Company Limited,111.77,7.22,545052.0
2020-07-14,HBL,Habib Bank Limited,107.19,7.25,1079894.0
2020-07-14,HUBC,The Hub Power Company Limited,71.55,6.42,2711792.0
2020-07-14,ISL,International Steels Limited.,59.24,0.71,7641000.0
2020-07-14,LOTCHEM,Lotte Chemical Pakistan Ltd.,11.54,0.4,11013500.0
2020-07-14,LUCK,Lucky Cement Limited.,512.39,6.12,887270.0
2020-07-14,MARI,Mari Petroleum Company Ltd.,1293.69,3.19,31720.0
2020-07-14,MCB,MCB Bank Limited,165.01,6.32,117396.0
2020-07-14,MEBL,Meezan Bank Limited,76.52,2.27,552500.0
2020-07-14,MLCF,Maple Leaf Cement Factory Ltd.,30.55,1.39,25272500.0
2020-07-14,MTL,Millat Tractors Limited,742.46,1.54,25050.0
2020-07-14,NBP,National Bank Of Pakistan.,29.35,1.37,2818000.0
2020-07-14,NML,Nishat Mills Ltd.,85.12,1.24,1634500.0
2020-07-14,OGDC,Oil & Gas Development Company Limited,115.32,6.87,4379695.0
2020-07-14,PAEL,Pak Elektron Limited,30.44,0.7,33542500.0
2020-07-14,POL,Pakistan Oilfields Limited,385.5,4.62,1142832.0
2020-07-14,PPL,Pakistan Petroleum Limited.,96.61,5.94,23338305.0
2020-07-14,PSO,Pakistan State Oil Co Ltd.,169.77,3.31,1771451.0
2020-07-14,SEARL,The Searle Company Ltd.,223.86,1.97,3600100.0
2020-07-14,SNGP,Sui Northern Gas Pipelines Limited,59.68,1.57,5032000.0
2020-07-14,TRG,TRG Pakistan Ltd.,36.21,1.55,16244500.0
2020-07-14,UBL,United Bank Limited,111.45,5.04,1196263.0
2020-07-15,ATRL,Attock Refinery Limited,105.44,0.42,1913000.0
2020-07-15,BAFL,Bank Alfalah Limited,35.82,2.35,739600.0
2020-07-15,BAHL,Bank Al-Habib Ltd.,54.79,3.66,523505.0
2020-07-15,DGKC,D. G. Khan Cement Co. Ltd.,102.75,2.08,6991500.0
2020-07-15,EFERT,Engro Fertilizers Limited,63.35,3.52,949727.0
2020-07-15,ENGRO,Engro Corporation Limited.,300.73,8.81,1606793.0
2020-07-15,EPCL,Engro Polymer & Chemicals Ltd.,28.79,0.85,2364000.0
2020-07-15,FCCL,Fauji Cement Company Limited,18.39,1.29,2717500.0
2020-07-15,FFC,Fauji Fertilizer Company Limited,111.14,7.19,776586.0
2020-07-15,HBL,Habib Bank Limited,107.15,7.27,588978.0
2020-07-15,HUBC,The Hub Power Company Limited,72.16,6.49,1483206.0
2020-07-15,ISL,International Steels Limited.,58.93,0.71,3624500.0
2020-07-15,LOTCHEM,Lotte Chemical Pakistan Ltd.,11.33,0.4,2522500.0
2020-07-15,LUCK,Lucky Cement Limited.,512.32,6.13,896411.0
2020-07-15,MARI,Mari Petroleum Company Ltd.,1285.77,3.17,30100.0
2020-07-15,MCB,MCB Bank Limited,165.14,6.33,364062.0
2020-07-15,MEBL,Meezan Bank Limited,74.7,2.22,433500.0
2020-07-15,MLCF,Maple Leaf Cement Factory Ltd.,31.37,1.43,33169000.0
2020-07-15,MTL,Millat Tractors Limited,711.22,1.47,25850.0
2020-07-15,NBP,National Bank Of Pakistan.,28.66,1.34,4469500.0
2020-07-15,NML,Nishat Mills Ltd.,84.48,1.24,764500.0
2020-07-15,OGDC,Oil & Gas Development Company Limited,115.1,6.87,3097319.0
2020-07-15,PAEL,Pak Elektron Limited,30.46,0.7,27109000.0
2020-07-15,POL,Pakistan Oilfields Limited,388.92,4.67,787398.0
2020-07-15,PPL,Pakistan Petroleum Limited.,97.65,6.02,17338911.0
2020-07-15,PSO,Pakistan State Oil Co Ltd.,168.88,3.3,801624.0
2020-07-15,SEARL,The Searle Company Ltd.,221.6,1.96,890500.0
2020-07-15,SNGP,Sui Northern Gas Pipelines Limited,56.63,1.49,8479000.0
2020-07-15,TRG,TRG Pakistan Ltd.,36.15,1.55,16400500.0
2020-07-15,UBL,United Bank Limited,111.7,5.06,2340094.0
2020-07-16,ATRL,Attock Refinery Limited,106.49,0.42,1751500.0
2020-07-16,BAFL,Bank Alfalah Limited,35.3,2.3,651015.0
2020-07-16,BAHL,Bank Al-Habib Ltd.,55.01,3.64,445611.0
2020-07-16,DGKC,D. G. Khan Cement Co. Ltd.,105.48,2.12,8310000.0
2020-07-16,EFERT,Engro Fertilizers Limited,63.59,3.5,866460.0
2020-07-16,ENGRO,Engro Corporation Limited.,300.76,8.72,921731.0
2020-07-16,EPCL,Engro Polymer & Chemicals Ltd.,29.42,0.86,4715000.0
2020-07-16,FCCL,Fauji Cement Company Limited,18.95,1.32,19116000.0
2020-07-16,FFC,Fauji Fertilizer Company Limited,110.97,7.11,719644.0
2020-07-16,HBL,Habib Bank Limited,109.12,7.33,1303823.0
2020-07-16,HUBC,The Hub Power Company Limited,72.52,6.46,2435354.0
2020-07-16,ISL,International Steels Limited.,60.68,0.72,6074000.0
2020-07-16,LOTCHEM,Lotte Chemical Pakistan Ltd.,11.42,0.4,3961000.0
2020-07-16,LUCK,Lucky Cement Limited.,525.54,6.22,1402086.0
2020-07-16,MARI,Mari Petroleum Company Ltd.,1297.93,3.17,18760.0
2020-07-16,MCB,MCB Bank Limited,165.07,6.27,342064.0
2020-07-16,MEBL,Meezan Bank Limited,76.18,2.24,693000.0
2020-07-16,MLCF,Maple Leaf Cement Factory Ltd.,31.88,1.44,24850000.0
2020-07-16,MTL,Millat Tractors Limited,743.76,1.53,50900.0
2020-07-16,NBP,National Bank Of Pakistan.,29.08,1.35,1297000.0
2020-07-16,NML,Nishat Mills Ltd.,84.91,1.23,496500.0
2020-07-16,OGDC,Oil & Gas Development Company Limited,116.19,6.86,2334134.0
2020-07-16,PAEL,Pak Elektron Limited,31.02,0.71,24115500.0
2020-07-16,POL,Pakistan Oilfields Limited,390.99,4.64,255930.0
2020-07-16,PPL,Pakistan Petroleum Limited.,100.16,6.11,19194559.0
2020-07-16,PSO,Pakistan State Oil Co Ltd.,170.27,3.29,975774.0
2020-07-16,SEARL,The Searle Company Ltd.,227.04,1.99,3482800.0
2020-07-16,SNGP,Sui Northern Gas Pipelines Limited,56.76,1.48,3501000.0
2020-07-16,TRG,TRG Pakistan Ltd.,36.73,1.56,15599000.0
