Date,SYMBOL,COMPANY,PRICE,IDX WT %,VOLUME
2020-01-03,NML,Nishat Mills Ltd.,107.86,1.28,1321100.0
2020-01-03,OGDC,Oil & Gas Development Company Limited,149.48,7.23,4018800.0
2020-01-03,PAEL,Pak Elektron Limited,28.99,0.54,16323000.0
2020-01-03,POL,Pakistan Oilfields Limited,473.43,4.62,724100.0
2020-01-03,PPL,Pakistan Petroleum Limited.,143.2,7.15,5020900.0
2020-01-03,PSO,Pakistan State Oil Co Ltd.,207.17,3.28,5845700.0
2020-01-03,SEARL,The Searle Company Ltd.,194.65,1.39,882200.0
2020-01-03,SNGP,Sui Northern Gas Pipelines Limited,78.96,1.69,1788000.0
2020-01-03,TRG,TRG Pakistan Ltd.,28.16,1.14,23760000.0
2020-01-03,UBL,United Bank Limited,175.28,6.43,1646000.0
2020-01-06,BAFL,Bank Alfalah Limited,47.18,2.58,1740500.0
2020-01-06,BAHL,Bank Al-Habib Ltd.,79.62,4.42,406000.0
2020-01-06,BOP,Bank Of Punjab.,11.48,0.98,16874500.0
2020-01-06,DGKC,D. G. Khan Cement Co. Ltd.,73.75,1.24,3836000.0
2020-01-06,EFERT,Engro Fertilizers Limited,72.64,3.35,1577500.0
2020-01-06,ENGRO,Engro Corporation Limited.,341.76,8.32,2078800.0
2020-01-06,EPCL,Engro Polymer & Chemicals Ltd.,32.22,0.79,6372500.0
2020-01-06,FCCL,Fauji Cement Company Limited,15.54,0.91,4474500.0
2020-01-06,FFC,Fauji Fertilizer Company Limited,99.84,5.36,606800.0
2020-01-06,HBL,Habib Bank Limited,161.23,9.08,1191100.0
2020-01-06,HUBC,The Hub Power Company Limited,95.37,7.12,2070000.0
2020-01-06,KAPCO,Kot Addu Power Company.,30.03,1.05,2570500.0
2020-01-06,LOTCHEM,Lotte Chemical Pakistan Ltd.,13.67,0.4,3626000.0
2020-01-06,LUCK,Lucky Cement Limited.,445.11,4.42,1079700.0
2020-01-06,MARI,Mari Petroleum Company Ltd.,1282.1,2.63,205240.0
2020-01-06,MCB,MCB Bank Limited,212.38,6.76,996300.0
2020-01-06,MEBL,Meezan Bank Limited,95.25,2.35,311500.0
2020-01-06,MLCF,Maple Leaf Cement Factory Ltd.,23.04,0.47,5443000.0
2020-01-06,MTL,Millat Tractors Limited,697.09,1.2,46250.0
2020-01-06,NBP,National Bank Of Pakistan.,42.72,1.66,1285000.0
2020-01-06,NML,Nishat Mills Ltd.,102.91,1.25,946300.0
2020-01-06,OGDC,Oil & Gas Development Company Limited,148.56,7.36,3992300.0
2020-01-06,PAEL,Pak Elektron Limited,27.55,0.53,6338500.0
2020-01-06,POL,Pakistan Oilfields Limited,468.16,4.68,656100.0
2020-01-06,PPL,Pakistan Petroleum Limited.,139.98,7.16,2662600.0
2020-01-06,PSO,Pakistan State Oil Co Ltd.,200.31,3.25,5488000.0
2020-01-06,SEARL,The Searle Company Ltd.,184.99,1.36,967900.0
2020-01-06,SNGP,Sui Northern Gas Pipelines Limited,75.13,1.65,4774500.0
2020-01-06,TRG,TRG Pakistan Ltd.,26.77,1.11,12995500.0
2020-01-06,UBL,United Bank Limited,174.53,6.56,991500.0
2020-01-07,BAFL,Bank Alfalah Limited,47.83,2.57,820500.0
2020-01-07,BAHL,Bank Al-Habib Ltd.,81.47,4.44,526000.0
2020-01-07,BOP,Bank Of Punjab.,11.74,0.99,4795000.0
2020-01-07,DGKC,D. G. Khan Cement Co. Ltd.,75.23,1.24,2105500.0
2020-01-07,EFERT,Engro Fertilizers Limited,73.57,3.34,2328500.0
2020-01-07,ENGRO,Engro Corporation Limited.,347.65,8.32,1108900.0
2020-01-07,EPCL,Engro Polymer & Chemicals Ltd.,32.48,0.78,2880000.0
2020-01-07,FCCL,Fauji Cement Company Limited,15.77,0.9,2416000.0
2020-01-07,FFC,Fauji Fertilizer Company Limited,101.23,5.35,967800.0
2020-01-07,HBL,Habib Bank Limited,166.93,9.24,1429600.0
2020-01-07,HUBC,The Hub Power Company Limited,96.99,7.13,2076500.0
2020-01-07,KAPCO,Kot Addu Power Company.,30.03,1.03,1089500.0
2020-01-07,LOTCHEM,Lotte Chemical Pakistan Ltd.,13.92,0.4,1440500.0
2020-01-07,LUCK,Lucky Cement Limited.,466.02,4.55,1240100.0
2020-01-07,MARI,Mari Petroleum Company Ltd.,1294.91,2.61,57780.0
