date,oil_price_end,oil_return_monthly,usdpkr_end,usdpkr_return_monthly,interest_rate_end,cpi_yoy_end,idx_return_monthly,idx_vol_monthly,sector_aum_mn,total_fund_flow,flow_pct_sector,flow_spike_sector
2021-02-26,66.13,-0.10209432963097141,159.98,0.041522291821337716,7.25,5.7,-0.008169067577731563,0.12631687993615234,534.97,-0.1089289454137615,,False
2021-03-31,63.54,0.039640062302270476,160.16,-6.251761596790347e-05,7.25,9.0,-0.022861522601515288,0.24291638806898347,518.59,-3.432065593082243,-0.006415435618973481,False
2021-04-30,67.25,-0.01735781920388947,157.84,-0.013082822726072262,7.25,11.1,-0.01867392943156766,0.20707974863546016,514.7,-2.3926156047860343,-0.004613694064262778,False
2021-05-31,69.32,-0.021910066884567835,154.59,-0.012889649235473439,7.25,10.8,0.07970387235403781,0.17926856654206225,553.88,-0.06584554839644213,-0.00012792995608401425,False
2021-06-30,75.13,-0.07656554973291108,153.88,-0.013003437851348772,7.25,9.7,-0.03321905638573489,0.10574573951872147,538.99,16.642749407148163,0.03004757241125905,False
2021-07-30,76.33,0.10592378809384531,154.4,-0.0009690766803563944,7.25,9.7,-0.009965284659932305,0.10229897330112905,531.27,4.343070102526593,0.008057793470243591,False
2021-08-31,72.99,-0.027735621431888628,157.74,0.016236374818582797,7.25,8.4,0.010079176945693965,0.08960215082725484,545.54,10.22540859024065,0.0192471033377391,False
2021-09-30,78.52,-0.08166544517905254,163.47,0.032634847962025336,7.25,9.0,-0.09361766139564548,0.14875100760841012,511.61999999999995,-5.206768208684775,-0.00954424645064482,False
2021-10-22,85.53,-0.0725850311697302,165.81,0.006712051516898777,7.25,9.0,0.017118361378186345,0.19525082795037144,531.97,6.5964149011735325,0.012893192019806756,False
2021-11-30,70.57,0.2251700812105821,170.79,0.030338666873323594,8.75,11.5,-0.02505677533132994,0.23228489233107605,519.42,7.330349886973927,0.013779630217820416,False
2021-12-31,77.78,-0.1369739863018969,169.97,-0.005556096800169754,9.75,12.3,-0.009054918778239614,0.24099507465920636,524.1,14.046399999500471,0.027042470446845466,False
2022-01-31,91.21,-0.12123785265916465,176.77,0.024393272298439947,9.75,13.0,0.023781133620884323,0.08862253429035523,532.79,0.29749001101853423,0.0005676207040994738,False
2022-02-28,100.99,-0.16324208653003844,176.75,0.005717204603530737,9.75,12.2,-0.028671198192939257,0.1352447692373274,519.76,1.7487399804446797,0.0032822312364058632,False
2022-03-31,107.91,-0.003796504757977555,175.52,-0.009758861877800094,9.75,12.7,0.003849392624549825,0.21729296990232125,510.93,-9.224856718131841,-0.017748300596682778,False
2022-04-28,107.59,-0.05931444840485775,177.5,0.003799874702563355,12.25,12.7,0.003510696191690964,0.21953950859984667,514.17,1.8038351777592194,0.003530493761883662,False
2022-05-31,122.84,-0.06751252338010075,185.23,0.038785984647057424,13.75,13.8,-0.05100818168670319,0.1817988408338879,490.77,-2.622308137560171,-0.005100080007702066,False
2022-06-30,114.81,0.04089724027831137,185.69,0.033438506523231194,13.75,21.3,-0.040207854869888614,0.22918943057330585,470.99,-5.168345598505829,-0.010531095214674551,False
2022-07-29,110.01,0.03756487154638566,199.06,0.06144190062676454,15.0,21.3,-0.03842352789147568,0.22029439992821562,456.20000000000005,1.8223416012217677,0.0038691725964920013,False
2022-08-31,96.49,0.09259167877228396,206.87,0.06278049239018954,15.0,27.3,0.04909590476396423,0.18627348947373248,481.7,0.17195135357316454,0.0003769209854738372,False
2022-09-30,87.96,0.03863188697853216,238.84,0.1546689758077704,15.0,23.2,-0.06204383040989722,0.13145013577511977,465.17,-1.3477091829362307,-0.0027978185238451956,False
2022-10-31,94.83,-0.0656939250620361,219.86,-0.08306085858123355,15.0,26.6,-0.024618451464670264,0.1395685101204951,468.1,1.8211485960821203,0.003915017297078746,False
2022-11-30,85.43,0.09660703595937689,225.64,0.04291822172816826,16.0,23.8,0.03719143259978044,0.13731734856154063,481.28999999999996,5.7819716217536,0.012352000900990387,False
2022-12-30,85.91,0.051716130228734364,221.95,-0.019316214137187263,16.0,23.8,-0.05243004799800708,0.16374912484649354,460.39,0.718315815209468,0.0014924802410386006,False
2023-01-31,84.49,0.036389200122581705,224.11,0.010546788558473786,17.0,27.6,0.034439954858437996,0.21954607962117764,461.07,1.4794753810284365,0.003213526316880116,False
2023-02-28,83.89,-0.04304579801060944,226.95,0.011529637093652177,17.0,31.5,-0.0002298586517814616,0.219107335880462,470.76,11.765726229096693,0.025518307912240426,False
2023-03-31,79.77,-0.01952056257271234,268.83,0.07433482134528549,20.0,35.4,-0.019064258410476105,0.12823544564558265,458.40999999999997,-7.7549911278832635,-0.016473343376419543,False
2023-04-28,79.54,0.011608356187031177,260.93,-0.023652159511864522,21.0,35.4,0.025437458787977294,0.12559475557625602,474.60999999999996,-1.6778034551995997,-0.0036600498575502277,False
2023-05-31,72.66,0.01390396730444654,283.66,0.028425889968953785,21.0,38.0,-0.04632840489087377,0.11874635987059876,468.37,-0.35395175709077537,-0.0007457739135095666,False
2023-06-27,72.26,0.003371320029498158,283.92,0.008036998384831453,22.0,38.0,-0.002957085403837183,0.1552451679480459,464.02,-1.950673438732104,-0.004164812944322019,False
2023-07-31,85.56,-0.12209706632240268,285.35,-0.0004119654662529003,22.0,28.3,0.14467709646735485,0.2438780719403579,546.51,41.21688994295416,0.08882567549449197,False
2023-08-31,86.86,-0.05740537168952771,277.41,-0.03058966827878646,22.0,27.4,-0.0786254481163009,0.1928540897257872,500.81,-11.96361914898166,-0.021890942798817332,False
2023-09-28,95.38,-0.0735673727206918,289.38,0.05169715115910091,22.0,27.4,0.05170981867048952,0.20952511948725033,516.6700000000001,10.74346004761879,0.021452167583751902,False
2023-10-31,87.41,0.06937879094483818,307.1,0.06520600676435653,22.0,26.8,0.09509632159081871,0.12965164939999216,589.78,17.37843908598369,0.033635471550474555,False
2023-11-30,82.83,0.08795323200464222,283.62,-0.08084277280230309,22.0,29.2,0.1269171310095828,0.13751489697660474,679.3399999999999,0.3692048627326398,0.0006260043791458507,False
2023-12-29,77.04,0.038642786878558905,282.65,-0.005789818512761165,22.0,29.2,0.02871354137646223,0.252391096622932,678.59,-8.077422159160534,-0.011890102392263867,False
2024-01-31,81.71,-0.021318387933487344,284.38,0.009227461673839643,22.0,28.3,0.004404954372042497,0.2316042533288136,688.6999999999999,34.74983342843505,0.051208879335732996,False
2024-02-29,83.62,-0.045301449385223784,281.72,-0.010063469473798239,22.0,23.1,0.04364297810337998,0.2085797237691519,740.3600000000001,29.612253540794804,0.042997318920857855,False
2024-03-29,87.48,-0.04459272802036724,279.5,-0.008694016971309249,22.0,23.1,0.0051034917233071546,0.14087067822466812,750.01,-9.08965446692206,-0.012277344085204573,False
2024-04-30,87.86,0.038508872444841774,279.11,0.0001428706457632437,22.0,17.3,0.06436391429055952,0.14176540535070942,795.85,-2.672932409190176,-0.0035638623607554243,False
2024-05-31,81.62,0.05817799458804136,277.94,-0.004130468322743802,22.0,11.8,0.039739379759819636,0.13917083754546172,0.0,-846.1857880825211,-1.063247833238074,False
2024-07-31,80.72,0.10163845449260037,278.4,0.002587012556994284,19.5,11.1,-0.00010435821492513556,0.21545269774699707,900.86,29.096963845025634,0.03266349035711952,False
2024-08-30,78.8,0.04139332905265322,278.38,0.0034839955172449428,19.5,11.1,-0.00656963886706359,0.11682828040601316,905.74,-1.964914337838794,-0.0021811539393899095,False
2024-09-30,71.77,0.051755911559738924,278.5,0.0004301615893353667,17.5,6.9,0.04036584493775526,0.10179548062201008,933.95,0.684034475904148,0.0007552216705722923,False
2024-10-31,73.16,0.006273032980387729,278.68,0.0036971155111088904,17.5,7.2,0.07030932978406572,0.14437907503914083,1027.3200000000002,11.231761221605657,0.012026084074742392,False
2024-11-29,72.94,0.01752615066902248,277.52,-0.005036711076231221,15.0,7.2,0.12359972499286213,0.2313230679084828,1179.89,37.51310564421891,0.03651550212613295,False
2024-12-31,74.64,-0.05550964713843261,277.79,-0.0007564509751420484,13.0,4.1,0.15314749550841278,0.36686437438274966,1288.99,-44.006760321309784,-0.037297341549898534,False
2025-01-31,76.76,-0.017530329404996756,277.94,0.0014035283043178008,12.0,2.4,0.025150370365998993,0.3153056923012078,1269.26,16.162019626169013,0.012538514360987294,False
2025-02-28,73.18,0.05453432805409044,278.56,0.0002520532128983661,12.0,1.5,-0.0190141451474649,0.16835531132287204,1300.66,38.1181764543359,0.0300318110192836,False
2025-03-27,74.03,-0.027678186810338783,278.87,0.0011479938090789604,12.0,1.5,0.009735448877076548,0.14078406269724905,1356.49,-7.471271896720247,-0.005744215934002927,False
2025-04-30,63.12,0.16119154115777526,279.72,0.0035076014128585576,12.0,0.3,-0.07044455188445514,0.20981773042134239,1276.92,2.785457234749031,0.0020534299808690304,False
2025-05-30,63.9,-0.0557085355862289,280.16,0.0010722707357574833,11.0,0.3,0.0698964659129118,0.40651755271591017,1389.34,22.839757819581273,0.01788660042882974,False
2025-06-30,67.61,-0.03165464688294687,281.02,0.003882328849843344,11.0,3.2,0.04572758420787504,0.22358985908386592,1444.3300000000002,75.46000748022999,0.05431356434006794,False
2025-07-31,72.53,-0.03743674487187966,282.12,0.0029133339986373128,11.0,4.1,0.11047328251772198,0.22423369438257837,1618.72,46.79125634230445,0.032396513499203396,False
2025-08-29,68.12,0.007136375361582985,283.86,0.006221322214086994,11.0,4.1,0.05986296578506516,0.11542285418607458,1789.9399999999998,87.55462383681714,0.05408880092716291,False
2025-09-30,67.02,0.041953718072310686,282.66,-0.0021989428765184548,11.0,5.8,0.12162309408230626,0.12178046031805323,2003.48,30.526500850032363,0.017054482748043154,False
2025-10-01,65.35,0.019157082071064903,282.57,-0.0003184544371694011,11.0,5.8,0.0009767442592818346,0.12200753200819707,1983.76,33.79188224486656,0.016866593250177968,False
