,oil_price_end,oil_return_monthly,usdpkr_end,usdpkr_return_monthly,interest_rate_end,cpi_yoy_end,idx_return_monthly,idx_vol_monthly,sector_aum_mn,total_fund_flow,flow_pct_sector
oil_price_end,1.0,-0.18725924993765536,-0.2747525109075909,0.21688644289262737,0.2472895242960246,0.3976178234186987,-0.21178450419779615,-0.021693887906784472,-0.540323227215587,-0.26742979543239365,-0.19896828411820838
oil_return_monthly,-0.18725924993765536,1.0,0.16532423592214454,0.10503502665492145,0.1285146363530519,0.035236760613872146,-0.040743492591341905,-0.09494161408522182,0.06014667498826032,0.03142344457906496,-0.10100373528257102
usdpkr_end,-0.2747525109075909,0.16532423592214454,1.0,-0.10285917683908614,0.6643033672923458,0.11167681798402829,0.4241114872161648,0.12109372622135096,0.5182904245034741,0.2456477274912527,0.24152387766959138
usdpkr_return_monthly,0.21688644289262737,0.10503502665492145,-0.10285917683908614,1.0,-0.008104616193467206,0.13623478208386378,-0.21699933395822676,-0.0790789904980653,-0.20872248747479333,-0.07052247954006133,-0.047451014091688094
interest_rate_end,0.2472895242960246,0.1285146363530519,0.6643033672923458,-0.008104616193467206,1.0,0.6935386555237393,0.17946425229535787,-0.050416598561876726,-0.22345812266021597,-0.05954221470916314,0.055180046052071254
cpi_yoy_end,0.3976178234186987,0.035236760613872146,0.11167681798402829,0.13623478208386378,0.6935386555237393,1.0,-0.11163380761227087,-0.17220759512145922,-0.6018417898973069,-0.22297403855468056,-0.1375854546071172
idx_return_monthly,-0.21178450419779615,-0.040743492591341905,0.4241114872161648,-0.21699933395822676,0.17946425229535787,-0.11163380761227087,1.0,0.19406433723853703,0.3652859174132934,0.19006935680425618,0.28759849905137935
idx_vol_monthly,-0.021693887906784472,-0.09494161408522182,0.12109372622135096,-0.0790789904980653,-0.050416598561876726,-0.17220759512145922,0.19406433723853703,1.0,0.1390550577123496,-0.07928352399705825,0.0026012110225015245
sector_aum_mn,-0.540323227215587,0.06014667498826032,0.5182904245034741,-0.20872248747479333,-0.22345812266021597,-0.6018417898973069,0.3652859174132934,0.1390550577123496,1.0,0.4463565869015872,0.279068148309546
total_fund_flow,-0.26742979543239365,0.03142344457906496,0.2456477274912527,-0.07052247954006133,-0.05954221470916314,-0.22297403855468056,0.19006935680425618,-0.07928352399705825,0.4463565869015872,1.0,0.8678670015791558
flow_pct_sector,-0.19896828411820838,-0.10100373528257102,0.24152387766959138,-0.047451014091688094,0.055180046052071254,-0.1375854546071172,0.28759849905137935,0.0026012110225015245,0.279068148309546,0.8678670015791558,1.0
