date,oil_price_end,oil_return_monthly,usdpkr_end,usdpkr_return_monthly,interest_rate_end,cpi_yoy_end,gold_price_end,gold_return_monthly,gdp_usd_end,gdp_yoy_end,idx_return_monthly,idx_vol_monthly,sector_aum_mn,sector_aum_prev,composite_return_monthly,composite_net_flow,total_fund_flow,flow_pct_sector,flow_spike_sector
2021-03-31,63.54,0.039640062302270476,160.16,-6.251761596790347e-05,7.25,9.0,1714.4,-0.0008568182635728255,348516647445.14844,0.1600763585245084,-0.022861522601515288,0.24291638806898347,518.59,534.97,-0.02438127921106429,-3.3367470604569007,-3.3367470604569007,-0.006237260146282783,False
2021-04-30,67.25,-0.01735781920388947,157.84,-0.013082822726072262,7.25,11.1,1767.7,0.039241316340222376,348516647445.14844,0.1600763585245084,-0.01867392943156766,0.20707974863546016,514.7,518.59,-0.002908641563284187,-2.3816075716964633,-2.3816075716964633,-0.0045924672124346075,False
2021-05-31,69.32,-0.021910066884567835,154.59,-0.012889649235473439,7.25,10.8,1905.0,0.0625413808958665,348516647445.14844,0.1600763585245084,0.07970387235403781,0.17926856654206225,553.88,514.7,0.07616466730443389,-0.02195426159210001,-0.02195426159210001,-4.26544814301535e-05,False
2021-06-30,75.13,-0.07656554973291108,153.88,-0.013003437851348772,7.25,9.7,1771.6,-0.07259891551175826,348516647445.14844,0.1600763585245084,-0.03321905638573489,0.10574573951872147,538.99,553.88,-0.056847119870774836,16.596482754024805,16.596482754024805,0.029964040503402914,False
2021-07-30,76.33,0.10592378809384531,154.4,-0.0009690766803563944,7.25,9.7,1813.5,0.025478171413547357,348516647445.14844,0.1600763585245084,-0.009965284659932305,0.10229897330112905,531.27,538.99,-0.022198740834956873,4.244899322633387,4.244899322633387,0.007875655063421189,False
2021-08-31,72.99,-0.027735621431888628,157.74,0.016236374818582797,7.25,8.4,1815.8,0.004015564109631833,348516647445.14844,0.1600763585245084,0.010079176945693965,0.08960215082725484,545.54,531.27,0.008660258264173982,9.66906459199231,9.66906459199231,0.018199907000192576,False
2021-09-30,78.52,-0.08166544517905254,163.47,0.032634847962025336,7.25,9.0,1756.3,-0.0369947273647204,348516647445.14844,0.1600763585245084,-0.09361766139564548,0.14875100760841012,511.61999999999995,545.54,-0.053356169103640064,-4.812075507200177,-4.812075507200177,-0.00882075651134688,False
2021-10-22,85.53,-0.0725850311697302,165.81,0.006712051516898777,7.25,9.0,1795.7,0.01946989280968751,348516647445.14844,0.1600763585245084,0.017118361378186345,0.19525082795037144,531.97,511.61999999999995,0.02782599103341143,6.113666467486155,6.113666467486155,0.011949623680634368,False
2021-11-30,70.57,0.2251700812105821,170.79,0.030338666873323594,8.75,11.5,1775.1,-0.017852913225475064,348516647445.14844,0.1600763585245084,-0.02505677533132994,0.23228489233107605,519.42,531.97,-0.0373217975798647,7.304076658560575,7.304076658560575,0.013730241665057381,False
2021-12-31,77.78,-0.1369739863018969,169.97,-0.005556096800169754,9.75,12.3,1828.6,0.034953415074833856,348516647445.14844,0.1600763585245084,-0.009054918778239614,0.24099507465920636,524.1,519.42,-0.01741796279815984,13.72723823662028,13.72723823662028,0.026428012468946674,False
2022-01-31,91.21,-0.12123785265916465,176.77,0.024393272298439947,9.75,13.0,1796.0,-0.017988676868181248,374890295666.69366,0.07567399840116984,0.023781133620884323,0.08862253429035523,532.79,524.1,0.01593836786515203,0.3367014018737109,0.3367014018737109,0.0006424373246970252,False
2022-02-28,100.99,-0.16324208653003844,176.75,0.005717204603530737,9.75,12.2,1900.7,0.06500495127458111,374890295666.69366,0.07567399840116984,-0.028671198192939257,0.1352447692373274,519.76,532.79,-0.027905556811574608,1.8378016136388169,1.8378016136388169,0.0034493920937683086,False
2022-03-31,107.91,-0.003796504757977555,175.52,-0.009758861877800094,9.75,12.7,1951.1,0.043920400885242475,374890295666.69366,0.07567399840116984,0.003849392624549825,0.21729296990232125,510.93,519.76,-2.6920666976879915e-05,-8.816007714132127,-8.816007714132127,-0.01696168946077445,False
2022-04-28,107.59,-0.05931444840485775,177.5,0.003799874702563355,12.25,12.7,1891.3,-0.01067692074175234,374890295666.69366,0.07567399840116984,0.003510696191690964,0.21953950859984667,514.17,510.93,0.00278650069783309,1.8162931984560373,1.8162931984560373,0.0035548767902766273,False
2022-05-31,122.84,-0.06751252338010075,185.23,0.038785984647057424,13.75,13.8,1845.2,-0.004129244144014434,374890295666.69366,0.07567399840116984,-0.05100818168670319,0.1817988408338879,490.77,514.17,-0.04026355028874452,-2.69769034803619,-2.69769034803619,-0.005246689515211292,False
2022-06-30,114.81,0.04089724027831137,185.69,0.033438506523231194,13.75,21.3,1807.3,0.01775389149094302,374890295666.69366,0.07567399840116984,-0.040207854869888614,0.22918943057330585,470.99,490.77,-0.030218241659787086,-4.949793540626274,-4.949793540626274,-0.010085770402889896,False
2022-07-29,110.01,0.03756487154638566,199.06,0.06144190062676454,15.0,21.3,1754.4,-0.021562859048166905,374890295666.69366,0.07567399840116984,-0.03842352789147568,0.22029439992821562,456.20000000000005,470.99,-0.03518992623097359,1.7841033555262698,1.7841033555262698,0.00378798563775509,False
2022-08-31,96.49,0.09259167877228396,206.87,0.06278049239018954,15.0,27.3,1716.9,-0.018973517458329432,374890295666.69366,0.07567399840116984,0.04909590476396423,0.18627348947373248,481.7,456.20000000000005,0.055168047817331374,0.3323365857334011,0.3323365857334011,0.0007284887894199936,False
2022-09-30,87.96,0.03863188697853216,238.84,0.1546689758077704,15.0,23.2,1663.6,-0.06954579095255792,374890295666.69366,0.07567399840116984,-0.06204383040989722,0.13145013577511977,465.17,481.7,-0.031859817032939775,-1.1831261352328397,-1.1831261352328397,-0.0024561472601885817,False
2022-10-31,94.83,-0.0656939250620361,219.86,-0.08306085858123355,15.0,26.6,1640.7,-0.016684662509207745,374890295666.69366,0.07567399840116984,-0.024618451464670264,0.1395685101204951,468.1,465.17,0.002970212293808122,1.5483463472892254,1.5483463472892254,0.003328560197968969,False
2022-11-30,85.43,0.09660703595937689,225.64,0.04291822172816826,16.0,23.8,1753.2,0.07839799205352627,374890295666.69366,0.07567399840116984,0.03719143259978044,0.13731734856154063,481.28999999999996,468.1,0.016004109007789074,5.698476573453831,5.698476573453831,0.012173630791398913,False
2022-12-30,85.91,0.051716130228734364,221.95,-0.019316214137187263,16.0,23.8,1826.0,0.03234927897299312,374890295666.69366,0.07567399840116984,-0.05243004799800708,0.16374912484649354,460.39,481.28999999999996,-0.0458044016249837,1.145200458088425,1.145200458088425,0.002379439543909961,False
2023-01-31,84.49,0.036389200122581705,224.11,0.010546788558473786,17.0,27.6,1936.6,0.08171010000556424,336686348609.2659,-0.10190700452644952,0.034439954858437996,0.21954607962117764,461.07,460.39,-0.001738209697368939,1.4802543625717135,1.4802543625717135,0.0032152183204928724,False
2023-02-28,83.89,-0.04304579801060944,226.95,0.011529637093652177,17.0,31.5,1836.7,-0.0702041824115503,336686348609.2659,-0.10190700452644952,-0.0002298586517814616,0.219107335880462,470.76,461.07,-0.002151448565191995,10.681968389953056,10.681968389953056,0.023167780141742155,False
2023-03-31,79.77,-0.01952056257271234,268.83,0.07433482134528549,20.0,35.4,1988.5,0.09212582167374317,336686348609.2659,-0.10190700452644952,-0.019064258410476105,0.12823544564558265,458.40999999999997,470.76,-0.009801197754475017,-7.735988145103363,-7.735988145103363,-0.01643297677182293,False
2023-04-28,79.54,0.011608356187031177,260.93,-0.023652159511864522,21.0,35.4,1999.0,0.016114953941398023,336686348609.2659,-0.10190700452644952,0.025437458787977294,0.12559475557625602,474.60999999999996,458.40999999999997,0.038879125034137964,-1.6225797068992165,-1.6225797068992165,-0.003539581830455742,False
2023-05-31,72.66,0.01390396730444654,283.66,0.028425889968953785,21.0,38.0,1973.1,-0.042794268786122004,336686348609.2659,-0.10190700452644952,-0.04632840489087377,0.11874635987059876,468.37,474.60999999999996,-0.01291945763309337,-0.10829621275752288,-0.10829621275752288,-0.00022817937413354732,False
2023-06-27,72.26,0.003371320029498158,283.92,0.008036998384831453,22.0,38.0,1915.1,-0.022087156475295085,336686348609.2659,-0.10190700452644952,-0.002957085403837183,0.1552451679480459,464.02,468.37,-0.005578652412198473,-1.737126569698603,-1.737126569698603,-0.0037088766780506927,False
2023-07-31,85.56,-0.12209706632240268,285.35,-0.0004119654662529003,22.0,28.3,1979.6,0.027663642265487995,336686348609.2659,-0.10190700452644952,0.14467709646735485,0.2438780719403579,546.51,464.02,0.09066375610559643,40.4202038918811,40.4202038918811,0.0871087537000153,False
2023-08-31,86.86,-0.05740537168952771,277.41,-0.03058966827878646,22.0,27.4,1947.0,-0.025929406966434514,336686348609.2659,-0.10190700452644952,-0.0786254481163009,0.1928540897257872,500.81,546.51,-0.06320990431148288,-11.155155194731492,-11.155155194731492,-0.02041162136965745,False
2023-09-28,95.38,-0.0735673727206918,289.38,0.05169715115910091,22.0,27.4,1869.5,-0.06284068049587238,336686348609.2659,-0.10190700452644952,0.05170981867048952,0.20952511948725033,516.6700000000001,500.81,0.01731624704162254,7.187850319085044,7.187850319085044,0.014352449669705164,False
2023-10-31,87.41,0.06937879094483818,307.1,0.06520600676435653,22.0,26.8,1994.3,0.06831278804164712,336686348609.2659,-0.10190700452644952,0.09509632159081871,0.12965164939999216,589.78,516.6700000000001,0.10940552630707712,16.583446722922304,16.583446722922304,0.032096786581226514,False
2023-11-30,82.83,0.08795323200464222,283.62,-0.08084277280230309,22.0,29.2,2047.6,0.03221821858183111,336686348609.2659,-0.10190700452644952,0.1269171310095828,0.13751489697660474,679.3399999999999,589.78,0.1506090285516929,0.7338071407825737,0.7338071407825737,0.0012442048573749088,False
2023-12-29,77.04,0.038642786878558905,282.65,-0.005789818512761165,22.0,29.2,2083.5,0.037097829291786885,336686348609.2659,-0.10190700452644952,0.02871354137646223,0.252391096622932,678.59,679.3399999999999,0.010473586974266305,-7.865126575097975,-7.865126575097975,-0.011577599692492677,False
2024-01-31,81.71,-0.021318387933487344,284.38,0.009227461673839643,22.0,28.3,2057.4,-0.009150058687591802,371570000121.2658,0.10360874937784703,0.004404954372042497,0.2316042533288136,688.6999999999999,678.59,-0.0368846529205368,35.13955662534693,35.13955662534693,0.05178319253945229,False
2024-02-29,83.62,-0.045301449385223784,281.72,-0.010063469473798239,22.0,23.1,2054.7,0.023127823296178206,371570000121.2658,0.10360874937784703,0.04364297810337998,0.2085797237691519,740.3600000000001,688.6999999999999,0.03453223501892936,27.877649742463518,27.877649742463518,0.040478655063835516,False
2024-03-29,87.48,-0.04459272802036724,279.5,-0.008694016971309249,22.0,23.1,2201.4,0.10495709202153301,371570000121.2658,0.10360874937784703,0.0051034917233071546,0.14087067822466812,750.01,740.3600000000001,0.025122017255149204,-8.949336695022339,-8.949336695022339,-0.01208781767656591,False
2024-04-30,87.86,0.038508872444841774,279.11,0.0001428706457632437,22.0,17.3,2302.9,0.035818982492141986,371570000121.2658,0.10360874937784703,0.06436391429055952,0.14176540535070942,795.85,750.01,0.06442053154753355,-2.4760428659654963,-2.4760428659654963,-0.0033013464700010616,False
2024-05-31,81.62,0.05817799458804136,277.94,-0.004130468322743802,22.0,11.8,2354.7,-0.02766355928892794,371570000121.2658,0.10360874937784703,0.039739379759819636,0.13917083754546172,843.33,795.85,0.061799486981565316,-1.7031217142787227,-1.7031217142787227,-0.0021400034105405826,False
2024-06-28,86.41,-0.08280528681372928,278.4,0.002696265914033532,20.5,11.8,2336.6,-0.004735907341770264,371570000121.2658,0.10360874937784703,0.037846967774147346,0.20735979838728208,890.81,843.33,-0.055931672693094216,94.64885753226702,94.64885753226702,0.11223229048209718,True
2024-07-31,80.72,0.10163845449260037,278.4,0.002587012556994284,19.5,11.1,2438.5,0.05069322359673791,371570000121.2658,0.10360874937784703,-0.00010435821492513556,0.21545269774699707,900.86,890.81,-0.011262783377615696,20.083000060613927,20.083000060613927,0.022544650442421984,False
2024-08-30,78.8,0.04139332905265322,278.38,0.0034839955172449428,19.5,11.1,2536.7,0.0726144278933153,371570000121.2658,0.10360874937784703,-0.00656963886706359,0.11682828040601316,905.74,900.86,0.007600501822379878,-1.9669880717092383,-1.9669880717092383,-0.002183455888494592,False
2024-09-30,71.77,0.051755911559738924,278.5,0.0004301615893353667,17.5,6.9,2647.9,0.09437690362371501,371570000121.2658,0.10360874937784703,0.04036584493775526,0.10179548062201008,933.95,905.74,0.03034890229193549,0.7217852381024841,0.7217852381024841,0.0007969011395129773,False
2024-10-31,73.16,0.006273032980387729,278.68,0.0036971155111088904,17.5,7.2,2749.3,0.059289734265586515,371570000121.2658,0.10360874937784703,0.07030932978406572,0.14437907503914083,1027.3200000000002,933.95,0.08771243132922184,11.450974760073336,11.450974760073336,0.012260800642511201,False
2024-11-29,72.94,0.01752615066902248,277.52,-0.005036711076231221,15.0,7.2,2652.3,-0.016562798961881293,371570000121.2658,0.10360874937784703,0.12359972499286213,0.2313230679084828,1179.89,1027.3200000000002,0.112327942550016,37.173258059517366,37.173258059517366,0.03618469226678869,False
2024-12-31,74.64,-0.05550964713843261,277.79,-0.0007564509751420484,13.0,4.1,2618.1,-0.04932207514477789,371570000121.2658,0.10360874937784703,0.15314749550841278,0.36686437438274966,1288.99,1179.89,0.12986386593877836,-44.125076782505175,-44.125076782505175,-0.03739761908525809,False
2025-01-31,76.76,-0.017530329404996756,277.94,0.0014035283043178008,12.0,2.4,2845.2,0.14086005704081342,371570000121.2658,0.10360874937784703,0.025150370365998993,0.3153056923012078,1269.26,1288.99,-0.027711687859575437,15.990088534114193,15.990088534114193,0.01240513001195835,False
2025-02-28,73.18,0.05453432805409044,278.56,0.0002520532128983661,12.0,1.5,2895.9,0.016675911203716646,371570000121.2658,0.10360874937784703,-0.0190141451474649,0.16835531132287204,1300.66,1269.26,-0.005249956524373214,38.06355981812612,38.06355981812612,0.029988780721149428,False
2025-03-27,74.03,-0.027678186810338783,278.87,0.0011479938090789604,12.0,1.5,3075.8,0.07617892898230626,371570000121.2658,0.10360874937784703,0.009735448877076548,0.14078406269724905,1356.49,1300.66,0.04874986721887189,-7.577002296898172,-7.577002296898172,-0.005825505740853237,False
2025-04-30,63.12,0.16119154115777526,279.72,0.0035076014128585576,12.0,0.3,3319.1,0.14515315988316782,371570000121.2658,0.10360874937784703,-0.07044455188445514,0.20981773042134239,1276.92,1356.49,-0.06095968880409494,3.121208265866926,3.121208265866926,0.0023009445450146524,False
2025-05-30,63.9,-0.0557085355862289,280.16,0.0010722707357574833,11.0,0.3,3343.9,0.0005772645681200832,371570000121.2658,0.10360874937784703,0.0698964659129118,0.40651755271591017,1389.34,1276.92,0.0720967906531855,20.358166079134207,20.358166079134207,0.015943180527467817,False
2025-06-30,67.61,-0.03165464688294687,281.02,0.003882328849843344,11.0,3.2,3307.7,0.014696529793304726,371570000121.2658,0.10360874937784703,0.04572758420787504,0.22358985908386592,1444.3300000000002,1389.34,-0.014619711691066814,75.30175024086702,75.30175024086702,0.05419965612511482,False
2025-07-31,72.53,-0.03743674487187966,282.12,0.0029133339986373128,11.0,4.1,3348.6,-0.002396686617134037,371570000121.2658,0.10360874937784703,0.11047328251772198,0.22423369438257837,1618.72,1444.3300000000002,0.0883579606275488,46.7719467268123,46.7719467268123,0.03238314424460636,False
2025-08-29,68.12,0.007136375361582985,283.86,0.006221322214086994,11.0,4.1,3474.3,0.05062625359491279,371570000121.2658,0.10360874937784703,0.05986296578506516,0.11542285418607458,1789.9399999999998,1618.72,0.05190106387802732,87.20670987935955,87.20670987935955,0.053873869402589425,False
2025-09-30,67.02,0.041953718072310686,282.66,-0.0021989428765184548,11.0,5.8,3873.2,0.08859478790027436,371570000121.2658,0.10360874937784703,0.12162309408230626,0.12178046031805323,2003.48,1789.9399999999998,0.10217568643453298,30.651651823372504,30.651651823372504,0.017124401836582516,False
2025-10-31,65.07,0.007063911437153737,281.67,-0.0030843081671125478,11.0,6.2,4015.9,0.0554407919708243,371570000121.2658,0.10360874937784703,-0.03620259695621543,0.24542488646107005,1983.76,2003.48,-0.025896356423326453,32.162832167005945,32.162832167005945,0.016053483023042877,False
2025-11-28,63.2,0.02686402372246844,281.26,-0.0014212358006329545,11.0,6.2,4202.3,0.05520277369376041,371570000121.2658,0.10360874937784703,0.02949116176633565,0.19049441010740617,2049.4,1983.76,0.030981366243794863,4.180404900209851,4.180404900209851,0.002107313838473329,False
2025-12-31,60.85,0.038739477426366506,280.12,-0.006842033933015681,10.5,5.6,4386.3,0.13086195058805897,371570000121.2658,0.10360874937784703,0.0470094556904773,0.11085990728587324,2356.24,2049.4,0.03570100618237115,233.6743579298486,233.6743579298486,0.11402086363318464,True
2026-01-30,70.69,-0.08577807775828052,279.77,-0.009490897984324094,10.5,5.6,4745.1,0.06024740999092977,371570000121.2658,0.10360874937784703,0.0629514803482351,0.19679751492312528,2414.1,2356.24,0.04462060682608529,-47.27685862789485,-47.27685862789485,-0.020064534439571034,False
