symbol,cur_weight,mom_30,mom_60,mom_90,vol_30,vol_60,avg_volume,mkt_cap_proxy,price_to_ma20,price_to_ma50,wt_drift,wt_range,pred_wt_ridge,pred_wt_rf,pred_wt_avg,ret_prob_logit,ret_prob_rf,avg_ret_prob,exclusion_risk
SSGC,0.2465870945486202,-0.3387489505234515,-0.4198784864197381,-0.5793181544932005,0.9680164057455706,0.6895680518323524,4402040.761904762,102083325.26857144,-0.0973316984877679,-0.2520802425337031,-0.048471160645381595,0.08275963484401741,-0.6513478033513627,0.3214020726100284,-0.16497286537066713,0.3045273760963293,0.6399469021586862,0.47223713912750775,0.5277628608724922
GAL,0.272134499638656,-0.3221025183499577,-0.3612471526093894,-0.3690443210197695,0.6698191155919393,0.5092015185066145,330442.90476190473,125898746.7142857,-0.10405117020088317,-0.22664372714691616,-0.04227371935439628,0.0519759688064958,-0.36555735778280685,0.31821709131503456,-0.023670133233886143,0.4852416433126184,0.7066509470841175,0.595946295198368,0.40405370480163205
GHNI,0.3204026751544725,-0.33798109119600844,-0.25487387332246414,-0.19048877173221107,0.6326072548469376,0.5255238317906731,206061.38095238095,140169133.16523808,-0.15506463743723353,-0.2155483861444416,-0.061270347090012445,0.07003644531107195,-0.18295975869449999,0.3221531291818265,0.06959668524366325,0.4892846228720527,0.7038480968902574,0.596566359881155,0.40343364011884497
PAEL,0.5840673898984757,-0.3669740293393046,-0.523749874746926,-0.39310356186042655,0.8173428860853219,0.602517251930071,7489560.095238095,276364767.5142857,-0.1733130208800071,-0.3061196858922286,-0.14376865053600785,0.1718403137971226,0.024350795506256073,0.5023339659624672,0.2633423807343616,0.5793961210077523,0.739929712934852,0.6596629169713022,0.3403370830286978
BOP,1.186417434896103,-0.31598286272063575,-0.4238809423444652,-0.25704510298989114,0.8764590220242643,0.6529833402760601,35473190.333333336,966999168.4866668,-0.0914241909142417,-0.252171336709444,-0.16390110442850103,0.19701689204045603,1.2398560149803939,1.1247916275748722,1.182323821277633,0.572076121601608,0.8071124293182166,0.6895942754599123,0.31040572454008775
FCCL,1.043085894025611,-0.3354510468464851,-0.38127419834167875,-0.3828414603081102,0.6591245787545051,0.5041359001833747,5953666.80952381,233324202.26523808,-0.17681902201310717,-0.266566355252126,-0.20042517236616497,0.27440334167928304,0.6034197003973523,0.9880902131774382,0.7957549567873952,0.6016323174658867,0.846525161958091,0.7240787397119889,0.2759212602880111
SNGP,0.8236869588172594,-0.17505907139552693,-0.26753129014351257,-0.2625474771862978,0.8279532192696827,0.5918251472424081,3895673.285714286,359804384.6685715,-0.037510616457984924,-0.14877302027055683,0.0024309279286287566,0.0779529429066298,0.24014079809610767,0.6552880673003068,0.4477144326982072,0.7502989402895808,0.7127639024948134,0.7315314213921971,0.26846857860780293
SEARL,0.7752502555447092,-0.31484591849397325,-0.431646537421765,-0.224106999121696,0.7848998032054921,0.590864536200089,4073077.6666666665,346496717.1033333,-0.08679573401463136,-0.2437993681586822,-0.12831726378690156,0.20156729126264195,0.3540272087345566,0.612007798678257,0.48301750370640684,0.7606087158030537,0.8204830226529404,0.790545869227997,0.20945413077200303
SAZEW,1.223498490404231,-0.2339707257265979,0.010765729277029481,0.09894381207229608,0.650952268593864,0.6705961887366482,220733.04761904763,406711676.8904762,-0.12220420096666873,-0.10976672220991801,-0.11397616706460711,0.15320034262720905,1.0152493983115285,0.8999009026787228,0.9575751504951256,0.8233178211612348,0.7744337319837925,0.7988757765725136,0.20112422342748637
MLCF,1.198091486281104,-0.3430876744813625,-0.3995821157943656,-0.44562350738701934,0.7881115295520308,0.5980422314466652,8283172.380952381,654287786.3714285,-0.1366599813101479,-0.2584059530314382,-0.2538360542394389,0.27977896674914793,0.678300400404594,1.1733733330345704,0.9258368667195822,0.7941057477542084,0.8445411064153173,0.8193234270847629,0.1806765729152371
DGKC,1.098133673423053,-0.26247525841843483,-0.33010451716983347,-0.3751893582043635,0.7254546467505438,0.5383813791559627,2951469.9523809524,490888482.47999996,-0.14530617278875213,-0.223340141715208,-0.12282532090612097,0.2102258791276781,0.527411167174316,0.9823714876867856,0.7548913274305509,0.8219966513834372,0.8486366392618244,0.8353166453226308,0.16468335467736916
ATRL,1.10951844334617,-0.031974772323814696,0.1132727509787538,0.21969303782521185,0.7241600366942368,0.5841439114395263,859297.5714285715,706660543.8157144,0.07212046150837637,0.03415033855071825,0.13521793359457113,0.20249386715303364,0.9171312650596528,1.0585542809087534,0.9878427729842031,0.9406492173384082,0.889866986810529,0.9152581020744686,0.08474189792553144
PSO,2.624009052140239,-0.2434798725544983,-0.26568646273732294,-0.2674350504522889,0.6789628904063637,0.5151514174734987,2566679.714285714,922002686.9657143,-0.058660132859894354,-0.18163874551657755,-0.21657125320454318,0.3559063559275124,2.2351651539337136,2.4344345254306865,2.3347998396822,0.9797165121054505,0.9092260071996957,0.9444712596525731,0.05552874034742694
SYS,3.571145260352919,-0.20375590449212913,-0.28297290546001747,-0.2978233021234933,0.7439764186893104,0.5619104805142556,3690498.904761905,451680160.95380956,-0.041555563386623806,-0.16739004432785742,-0.09957365563537923,0.49008052272969804,3.138602428332953,4.027790524099554,3.583196476216254,0.9648149539494507,0.9287783209179274,0.9467966374336891,0.05320336256631086
POL,2.579931067628608,-0.03433209587034775,-0.028000591966851566,0.00328746227037537,0.39191436482202957,0.34426843860036843,540849.1428571428,336170193.23428565,-0.023579496363322128,-0.029844200058500414,0.28942428203494597,0.4650233199354159,2.4615921328936463,3.131042036030223,2.7963170844619345,0.9579619874485329,0.9599513873236538,0.9589566873860933,0.0410433126139067
MCB,4.769520352095133,-0.13321462530124326,-0.2080592710971202,-0.013323134686432637,0.5323635307129712,0.39924535262511696,733481.3333333334,266327072.13333336,-0.05069413579439985,-0.10551520944394621,0.11371241950105304,0.31339917134760054,4.342775077562683,4.612089467575523,4.477432272569104,0.985714948912795,0.9333158641775622,0.9595154065451785,0.04048459345482147
HBL,5.028602123236016,-0.14827765768508303,-0.2574097170556877,-0.11114061997275533,0.7302672841731284,0.5261561333762272,2173479.0,605531249.4000001,-0.05734432308795856,-0.14544176305241074,0.025529975329043886,0.423691787563377,4.560298709283834,4.738862390504616,4.649580549894225,0.9946494664787608,0.9269772495952837,0.9608133580370223,0.03918664196297772
PPL,4.37596683572425,-0.12405344421461084,-0.1361651527350063,-0.05013032723387379,0.6423715475375418,0.5358601270680605,9968265.523809524,2088351627.2380953,-0.03429964829147114,-0.1332158313266969,0.13926984617003768,0.4336954202730734,4.38098109766117,4.238114638760897,4.309547868211034,0.9997628138050481,0.9235486857651594,0.9616557497851037,0.03834425021489629
FFC,13.27362139716378,-0.1473126844316899,-0.16625232135541215,-0.1548632574214782,0.6782757858977334,0.5952383849617096,2287510.6666666665,1146088594.2133331,-0.05798872639895314,-0.12505060009353397,0.10287486758369901,0.7025586560737906,12.616418450385364,11.921604459798775,12.26901145509207,0.9999935354911094,0.9295537582622115,0.9647736468766605,0.03522635312333955
LUCK,4.871337656607755,-0.275937182640033,-0.3318836083480542,-0.30908984967452424,0.7351895473735125,0.5509424738379154,2949821.380952381,1058543402.554762,-0.11320943554056906,-0.20772925955085297,-0.4834715952798314,0.6711880268983661,4.405652701192837,4.705710089556899,4.555681395374868,0.9969129518764605,0.9344520201404724,0.9656824860084664,0.0343175139915336
HUBC,5.923752822943383,-0.12106641162753104,-0.14817264895375037,-0.1260214470987893,0.7445056591920958,0.5529508303075382,5413418.142857143,1071748523.922857,-0.05934113969007393,-0.11344325956256995,0.2222643178043473,0.4845972922434889,5.454698798143541,5.647425300113029,5.551062049128285,0.9986596918459487,0.9333249899921452,0.965992340919047,0.034007659080953045
OGDC,5.46049280642569,-0.09554650419559993,-0.07574920187609033,-0.0073696065025918205,0.6106357028583257,0.4941722894570048,6423107.238095238,1754086355.6514285,-0.025692894718534087,-0.09079044532590586,0.39659060191355966,0.6277813338926927,5.360242090421096,5.298814022798934,5.329528056610015,0.9997853962768166,0.9329928374776855,0.966389116877251,0.03361088312274896
NBP,3.76454385053729,-0.06381375492004308,-0.11800681315854449,0.11109990521173099,0.7754735952334673,0.5977766392394825,12244864.857142856,2978808273.797143,-0.029373743177247946,-0.06670523584232468,0.2632937515390288,0.3163443908418939,3.5942328474105016,4.040092252717819,3.81716255006416,0.999971298930526,0.9352820873391291,0.9676266931348276,0.03237330686517237
ENGROH,8.136397190467548,-0.08251481271551675,0.07881959374381481,0.2249440642541699,0.7931924453266552,0.6401605118639996,3198065.0476190476,866675627.9047619,0.01942167568848574,0.01817307439426208,0.5940499098553662,1.1976849966691603,7.888649526602939,7.872854673384106,7.880752099993522,0.9996399210321251,0.9384126985079081,0.9690263097700166,0.03097369022998342
UBL,10.15507477520206,-0.26662006939048255,-0.27722692884786515,-0.022077245150566915,0.6857725052791714,0.5142767808363871,1977685.5238095238,734453072.9771428,-0.12965425921477414,-0.19807955417049594,-1.0669447726015218,1.797279876032185,10.263074022108164,10.994012339520442,10.628543180814303,0.9999061869787311,0.9386190732942246,0.9692626301364778,0.030737369863522157
EFERT,3.964477189511391,-0.06303833559237454,-0.1575506769207728,-0.055275625525897036,0.5085911934439532,0.4165145910940169,2031485.0,421797230.55,-0.015355577897073092,-0.09502676607729854,0.3871348367389058,0.4150502587571787,3.7895894456929327,4.125752160338362,3.957670803015647,0.9876039473566078,0.9512132015595643,0.969408574458086,0.030591425541913964
MEBL,6.164437931715792,-0.09428347097013445,-0.07600784435548454,0.02948235256450725,0.6363969389158051,0.4882245288884867,1528965.9047619049,679961717.1657144,-0.025272301071450842,-0.06196767424848992,0.363376011453707,0.5136711660140625,5.743230430108037,5.690062918529933,5.716646674318985,0.99785900781866,0.9477258837689471,0.9727924457938035,0.02720755420619647
MARI,4.647275908876885,-0.11352597269338467,-0.17812450163198792,-0.14219215977837166,0.5382062027013599,0.38828244933113765,1195527.238095238,733599423.84,-0.015820774871528442,-0.09916417021718893,0.17608973000254302,0.6590206488885251,4.36659615902937,4.592365246874762,4.479480702952066,0.9956230311895791,0.9517223598641713,0.9736726955268752,0.026327304473124813
