date,idx_total_volume,idx_n_stocks,idx_ff_mcap_total,idx_log_return,idx_rolling_vol_30d,oil_price,oil_log_return,usdpkr,usdpkr_log_return,interest_rate,cpi_yoy,nav_akd,nav_return_akd,nav_vol_akd,nav_nbp,nav_return_nbp,nav_vol_nbp,nav_nti,nav_return_nti,nav_vol_nti
2021-01-04,217163729.0,30,1281777657363.02,0.00996924524916928,0.14560569128151998,51.09,-0.04796028473404962,159.98,0.0021853837800704062,7.25,8.0,14.2087,0.005554256357767319,,11.1403,-4.4881087566079224e-05,0.12963789856781863,12.2877,-1.6276306580946287e-05,0.12306046029196928
2021-01-05,158944679.0,30,1277577771492.58,-0.0032819901393887022,0.13912245852795443,53.6,-0.012975158863133418,159.98,0.0021853837800704062,7.25,8.0,14.1979,-0.0007603867073404195,,11.3598,0.01951164338564236,0.13954427278111808,12.4898,0.016313549154243646,0.13034758212277145
2021-01-06,152837437.0,30,1292121384402.46,0.011319432599781704,0.14081130805653194,54.3,-0.0014722122644349864,159.98,0.0021853837800704062,7.25,8.0,14.3535,0.010899748558427248,,11.2538,-0.009374958110085268,0.14342330805297837,12.4,-0.0072158385880405785,0.13291396574535314
2021-01-07,170592314.0,30,1298032800725.13,0.0045645364436620916,0.13645911706489944,54.38,-0.029176664156477204,159.98,0.0021853837800704062,7.25,8.0,14.4127,0.004115947436622743,,11.389,0.011942127898077684,0.14463961190902025,12.5379,0.011059584455270388,0.13446787091345508
2021-01-08,129618109.0,30,1305964862673.48,0.006092237787516122,0.13143507013325761,55.99,0.005911347263057385,159.98,0.0021853837800704062,7.25,8.0,14.5092,0.006673168644151259,,11.423,0.0029808894595960995,0.1441900599744677,12.6196,0.006495103823407938,0.13460326352774474
2021-01-11,114031972.0,30,1304029543059.15,-0.00148300698635721,0.1279813630372485,55.66,-0.016393809775676383,159.98,0.0021853837800704062,7.25,8.0,14.4941,-0.0010963968261566298,,11.4893,-4.351780531691293e-05,0.14446415499188933,12.7113,-2.3600769386307788e-05,0.1353038196141113
2021-01-12,141694033.0,30,1311955820615.29,0.006059897675390748,0.12777503760366443,56.58,0.009233020136778753,159.98,0.0021853837800704062,7.25,8.0,14.5914,0.006690643995597558,,11.4605,-0.002509827111186721,0.14501526013846347,12.6977,-0.0010704869375996724,0.135494641200311
2021-01-13,145913079.0,30,1317011092523.04,0.003845828650999607,0.12350525909719291,56.06,-0.006401159837207989,159.98,0.0021853837800704062,7.25,8.0,14.6438,0.003584723628551845,,11.5199,0.0051696343222293615,0.1450361299773671,12.7494,0.004063336972276794,0.13538899877975769
2021-01-14,85598041.0,30,1309603559929.66,-0.005640379889745422,0.12531143695589372,56.42,0.023673989414981462,159.98,0.0021853837800704062,7.25,8.0,14.6146,-0.0019960086467150384,,11.5336,0.0011885398410436921,0.13682257692053656,12.7627,0.001042642605263798,0.12656707678890822
2021-01-15,89676486.0,30,1304957339722.79,-0.003554115031938613,0.1263644826392031,55.1,0.006372347462258612,159.98,0.0021853837800704062,7.25,8.0,14.5985,-0.0011022453371980344,,11.4755,-0.005050186533473524,0.13749433535988373,12.7001,-0.004916986829574414,0.12718797459523387
2021-01-18,125076834.0,30,1298818842690.69,-0.004715081462179578,0.12808560355130325,54.75,-0.020787011464443242,159.98,0.0021853837800704062,7.25,8.0,14.5324,-0.004640889273102278,,11.4444,-4.3688535698368205e-05,0.13564835425519664,12.6726,-3.9454424227073086e-05,0.1257740067835699
2021-01-19,119822458.0,30,1309513890686.67,0.008200723625134056,0.12795244532654182,55.9,-0.0032148625652812122,159.98,0.0021853837800704062,7.25,8.0,14.5849,0.003606107495718085,0.06617037983280184,11.341,-0.009076049557536593,0.1389230057374247,12.5725,-0.007930293372031527,0.1285779587964778
2021-01-20,127427694.0,30,1300823328508.93,-0.006658598914515039,0.13071664444302195,56.08,-0.0003565698023159898,159.98,0.0021853837800704062,7.25,8.0,14.5134,-0.004914386331902475,0.06974673489534548,11.3829,0.003687751440989165,0.1390959980849245,12.0,-0.04660523927598242,0.18882215630372315
2021-01-21,85321833.0,30,1309206175466.36,0.006423586989641201,0.13118075811734534,56.1,0.01237572964939248,159.98,0.0021853837800704062,7.25,8.0,14.6093,0.0065859516209939946,0.07012941506808341,11.2954,-0.0077166660813174906,0.1342437603983528,12.5234,0.04269224451192513,0.2224100818107906
2021-01-22,73287130.0,30,1306105209463.85,-0.0023713944531204073,0.13155052809814677,55.41,-0.00844645150950289,159.98,0.0021853837800704062,7.25,8.0,14.5731,-0.0024809486929040507,0.07003838538406125,11.2954,-0.0077166660813174906,0.1342437603983528,12.6095,0.006851603820199427,0.22186642111784632
