as_of_date,trading_date,symbol,company,closing_price,current_weight_pct,free_float_shares,ord_shares,free_float_pct,free_float_market_cap,avg_volume_6m,trading_days_ratio,listing_days_in_sample,is_defaulter_unknown,is_suspended_unknown,is_cdc_eligible_unknown,impact_cost_avg_6m_unknown,elig_listing_age,elig_free_float_min,elig_trading_ratio,elig_defaulter,elig_suspension,elig_cdc,elig_impact_cost,eligible,score_ff_mcap,score_liquidity_proxy,final_score,rank,is_constituent,ret_prob_logit,ret_prob_rf,ret_prob_avg,pred_weight_ridge,pred_weight_rf,pred_weight_avg,pred_weight_change,exclusion_risk
2025-06-30,2025-06-30,PAEL,Pak Elektron Limited,40.96,0.7780386690062833,508007226.0,508007226.0,1.0,20807975976.96,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.008542920194872267,1.0,0.5042714600974362,24.0,True,0.5571946568717003,0.5940606059051842,0.5756276313884423,0.6342452083111225,0.6843661611419206,0.6593056847265215,-0.11873298427976176,0.4243723686115577
2025-06-30,2025-06-30,AIRLINK,Air Link Communication Limited,152.64,0.6767900485126606,118580769.0,118580769.0,1.0,18100168580.16,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.0,1.0,0.5,25.0,True,0.5029901155866828,0.669346336233732,0.5861682259102075,0.5059907632579512,0.7166806939497987,0.611335728603875,-0.06545431990878559,0.41383177408979255
2025-06-30,2025-06-30,SEARL,The Searle Company Ltd.,87.7,0.8386521135323678,255747212.0,255747212.0,1.0,22429030492.4,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.013657220190251198,1.0,0.5068286100951256,23.0,True,0.5988170401967611,0.6103817033146973,0.6045993717557292,0.7261151084662201,0.6830791104029623,0.7045971094345912,-0.1340550040977766,0.3954006282442708
2025-06-30,2025-06-30,SAZEW,Sazgar Engineering Works Limited,1139.82,0.90166032841816,21156087.0,21156087.0,1.0,24114131084.34,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.01897358053932469,1.0,0.5094867902696624,22.0,True,0.6397010016748218,0.6295753989883226,0.6346382003315723,0.8201292747060265,0.7012174395786788,0.7606733571423526,-0.1409869712758074,0.36536179966842774
2025-06-30,2025-06-30,ATRL,Attock Refinery Limited,679.42,1.083410563733496,42646500.0,42646500.0,1.0,28974885030.0,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.03430887842415831,1.0,0.5171544392120792,21.0,True,0.7078860641065003,0.5859251288039666,0.6469055964552335,1.0204644859699288,0.619143231938486,0.8198038589542074,-0.2636067047792887,0.3530944035447665
2025-06-30,2025-06-30,DGKC,D. G. Khan Cement Co. Ltd.,165.56,1.356091429408972,219059559.0,219059559.0,1.0,36267500588.04,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.057316509172875535,1.0,0.5286582545864378,20.0,True,0.7860942267704994,0.5868851557266859,0.6864896912485927,1.3022185547673044,0.8360521340188696,1.069135344393087,-0.286956085015885,0.3135103087514073
2025-06-30,2025-06-30,FCCL,Fauji Cement Company Limited,44.67,1.433923028565054,858496527.0,858496527.0,1.0,38349039861.09,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.06388360250202932,1.0,0.5319418012510146,19.0,True,0.8164142166453281,0.5777243483194389,0.6970692824823834,1.409505509365518,0.8747662170964066,1.1421358632309624,-0.29178716533409155,0.3029307175176166
2025-06-30,2025-06-30,MLCF,Maple Leaf Cement Factory Ltd.,84.28,1.485553762801636,471403174.0,471403174.0,1.0,39729859504.72,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.0682399802979477,1.0,0.5341199901489738,18.0,True,0.8392406337051517,0.6227109905660809,0.7309758121356162,1.4933323330959958,0.9183206252335203,1.2058264791647582,-0.2797272836368778,0.26902418786438376
2025-06-30,2025-06-30,MTL,Millat Tractors Limited,558.66,1.875465365664951,89782176.0,89782176.0,1.0,50157710444.16,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.10113903304628451,1.0,0.5505695165231422,17.0,True,0.9006783435264167,0.8719476025387376,0.8863129730325772,1.8800542510310896,2.183645729469138,2.0318499902501137,0.15638462458516278,0.11368702696742283
2025-06-30,2025-06-30,POL,Pakistan Oilfields Limited,590.17,2.867315750079106,129935268.0,129935268.0,1.0,76683897115.56,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.1848270738116123,1.0,0.5924135369058061,16.0,True,0.9693571660553006,0.999912380952381,0.9846347735038408,2.8057493148121404,2.468894364936737,2.6373218398744385,-0.22999391020466753,0.015365226496159234
2025-06-30,2025-06-30,PSO,Pakistan State Oil Co Ltd.,377.53,2.982264949430728,211262985.0,211262985.0,1.0,79758114727.05,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.19452598952757738,1.0,0.5972629947637886,15.0,True,0.9755871082791365,0.999912380952381,0.9877497446157588,2.946271193553472,2.4831747108067495,2.714722952180111,-0.2675419972506172,0.012250255384241182
2025-06-30,2025-06-30,SYS,Systems Limited,107.14,3.821109818447105,953820238.0,953820238.0,1.0,102192300299.32,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.2653040874112553,1.0,0.6326520437056277,14.0,True,0.9915083527114256,0.999912380952381,0.9957103668319033,3.7349658405259287,2.9560277402045827,3.3454967903652557,-0.47561302808184935,0.004289633168096718
2025-06-30,2025-06-30,HBL,Habib Bank Limited,179.19,3.931258056625075,586741003.0,586741003.0,1.0,105138120327.57,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.2745979188113528,1.0,0.6372989594056764,13.0,True,0.9932287614217387,0.999912380952381,0.9965705711870598,3.8711889612769856,3.089197551345078,3.480193256311032,-0.45106480031404317,0.0034294288129401718
2025-06-30,2025-06-30,EFERT,Engro Fertilizers Limited,185.59,4.169817770995175,600884719.0,600884719.0,1.0,111518194999.21,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.29472655455610997,1.0,0.647363277278055,12.0,True,0.9953450332561653,0.999912380952381,0.9976287071042731,4.1223911121341965,3.4365665904890355,3.779478851311616,-0.3903389196835594,0.0023712928957269064
2025-06-30,2025-06-30,PPL,Pakistan Petroleum Limited.,170.17,4.256568627048442,668967927.0,668967927.0,1.0,113838272137.59,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.30204621616223115,1.0,0.6510231080811155,11.0,True,0.996189530094749,0.999912380952381,0.998050955523565,4.2376643272888375,3.411235342899252,3.824449835094045,-0.4321187919543972,0.001949044476434958
2025-06-30,2025-06-30,MCB,MCB Bank Limited,288.34,4.471823196218067,414771002.0,414771002.0,1.0,119595070716.68,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.32020846466529646,1.0,0.6601042323326483,10.0,True,0.9973114665194135,0.999912380952381,0.9986119237358972,4.467999161056535,3.6687619001882474,4.068380530622392,-0.40344266559567554,0.0013880762641027555
2025-06-30,2025-06-30,BAHL,Bank Al-Habib Ltd.,157.78,4.589883474567207,777997791.0,777997791.0,1.0,122752491463.98,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.33016987975622736,1.0,0.6650849398781137,9.0,True,0.9978781964641856,0.999912380952381,0.9988952887082834,4.611306685258269,3.6855989234478512,4.1484528043530595,-0.4414306702141477,0.0011047112917166313
2025-06-30,2025-06-30,HUBC,The Hub Power Company Limited,137.81,5.013084316811607,972865790.0,972865790.0,1.0,134070634519.9,1265782.951488275,1.0,182,,,,,True,True,True,True,True,True,True,True,0.3658777343824971,1.0,0.6829388671912485,8.0,True,0.9988236020125153,0.999912380952381,0.9993679914824481,5.027835631120382,5.0680195122495615,5.047927571684972,0.03484325487336459,0.0006320085175518519
