as_of_date,trading_date,symbol,company,closing_price,current_weight_pct,free_float_shares,ord_shares,free_float_pct,free_float_market_cap,avg_volume_6m,trading_days_ratio,listing_days_in_sample,is_defaulter_unknown,is_suspended_unknown,is_cdc_eligible_unknown,impact_cost_avg_6m_unknown,elig_listing_age,elig_free_float_min,elig_trading_ratio,elig_defaulter,elig_suspension,elig_cdc,elig_impact_cost,eligible,score_ff_mcap,score_liquidity_proxy,final_score,rank,is_constituent,n_constituents
2021-06-30,2021-06-30,HBL,Habib Bank Limited,122.37,6.8,733426254.0,733426254.0,1.0,89749370701.98,1928540.5416666667,1.0,182,,,,,True,True,True,True,True,True,True,True,0.9103846006176705,0.07873222724410699,0.49455841393088873,4.0,True,24
2021-06-30,2021-06-30,ENGRO,Engro Corporation Limited.,294.61,7.07,316889777.0,316889777.0,1.0,93358897201.97,523294.5333333333,1.0,182,,,,,True,True,True,True,True,True,True,True,0.950940685321043,0.019817380022162562,0.4853790326716028,5.0,True,24
2021-06-30,2021-06-30,HUBC,The Hub Power Company Limited,79.67,5.87,972865790.0,972865790.0,1.0,77508217489.3,3490153.925,1.0,182,,,,,True,True,True,True,True,True,True,True,0.7728448854883356,0.14420276646160995,0.45852382597497277,6.0,True,24
2021-06-30,2021-06-30,OGDC,Oil & Gas Development Company Limited,95.03,4.65,645139260.0,645139260.0,1.0,61307583877.8,4219584.608333333,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5908170574621064,0.1747841002727273,0.38280057886741686,7.0,True,24
2021-06-30,2021-06-30,FFC,Fauji Fertilizer Company Limited,106.1,5.63,699731036.0,699731036.0,1.0,74241462919.6,701902.1,1.0,182,,,,,True,True,True,True,True,True,True,True,0.736140133484368,0.027305490602409003,0.38172281204338854,8.0,True,24
2021-06-30,2021-06-30,MCB,MCB Bank Limited,159.83,5.02,414771002.0,414771002.0,1.0,66292849249.66,582083.5166666667,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6468307325772508,0.022282104313053552,0.33455641844515216,9.0,True,24
2021-06-30,2021-06-30,UBL,United Bank Limited,122.2,4.53,489671875.0,489671875.0,1.0,59837903125.0,2110364.6083333334,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5743039505220028,0.08635518937701084,0.3303295699495068,10.0,True,24
2021-06-30,2021-06-30,PPL,Pakistan Petroleum Limited.,86.83,4.38,666423613.0,666423613.0,1.0,57865562316.79,2325567.808333333,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5521430324952465,0.09537756949727948,0.323760300996263,11.0,True,24
2021-06-30,2021-06-30,MLCF,Maple Leaf Cement Factory Ltd.,46.98,1.76,494255804.0,494255804.0,1.0,23220137671.92,8647712.45,1.0,182,,,,,True,True,True,True,True,True,True,True,0.16287236874321478,0.36043307114612266,0.2616527199446687,12.0,True,24
2021-06-30,2021-06-30,BAHL,Bank Al-Habib Ltd.,70.12,3.84,722426520.0,722426520.0,1.0,50656547582.4,953048.5083333333,1.0,182,,,,,True,True,True,True,True,True,True,True,0.47114365149704884,0.0378347873871387,0.2544892194420938,13.0,True,24
2021-06-30,2021-06-30,PSO,Pakistan State Oil Co Ltd.,224.25,3.59,211262985.0,211262985.0,1.0,47375724386.25,1470020.0333333334,1.0,182,,,,,True,True,True,True,True,True,True,True,0.4342808265696748,0.05950878484584272,0.24689480570775876,14.0,True,24
2021-06-30,2021-06-30,POL,Pakistan Oilfields Limited,393.86,3.87,129801502.0,129801502.0,1.0,51123619577.72,186077.5,1.0,182,,,,,True,True,True,True,True,True,True,True,0.47639160061304053,0.00567957789950528,0.24103558925627291,15.0,True,24
2021-06-30,2021-06-30,EFERT,Engro Fertilizers Limited,70.27,3.2,600884719.0,600884719.0,1.0,42224169204.13,1780982.4916666667,1.0,182,,,,,True,True,True,True,True,True,True,True,0.37639874471746093,0.07254586562445817,0.22447230517095956,16.0,True,24
2021-06-30,2021-06-30,MEBL,Meezan Bank Limited,115.41,3.09,353680696.0,353680696.0,1.0,40818289125.36,903844.9666666667,1.0,182,,,,,True,True,True,True,True,True,True,True,0.3606024923398879,0.03577193211277408,0.19818721222633098,17.0,True,24
2021-06-30,2021-06-30,DGKC,D. G. Khan Cement Co. Ltd.,117.92,1.96,219059559.0,219059559.0,1.0,25831503197.28,4068623.158333333,1.0,182,,,,,True,True,True,True,True,True,True,True,0.19221327022662552,0.16845505133011432,0.18033416077836992,18.0,True,24
2021-06-30,2021-06-30,MARI,Mari Petroleum Company Ltd.,1524.39,3.08,26680500.0,26680500.0,1.0,40671487395.0,50607.333333333336,1.0,182,,,,,True,True,True,True,True,True,True,True,0.35895305067181915,0.0,0.17947652533590958,19.0,True,24
2021-06-30,2021-06-30,PAEL,Pak Elektron Limited,35.06,0.66,248840743.0,248840743.0,1.0,8724356449.58,5399462.5,1.0,182,,,,,True,True,True,True,True,True,True,True,0.0,0.22425040390630632,0.11212520195315316,20.0,True,24
2021-06-30,2021-06-30,SEARL,The Searle Company Ltd.,242.62,1.99,108018237.0,108018237.0,1.0,26207384660.94,650429.5416666666,1.0,182,,,,,True,True,True,True,True,True,True,True,0.19643661655159775,0.02514750695232371,0.11079206175196073,21.0,True,24
2021-06-30,2021-06-30,ISL,International Steels Limited.,93.41,1.08,152250000.0,152250000.0,1.0,14221672500.0,2495509.35,1.0,182,,,,,True,True,True,True,True,True,True,True,0.06176699779947871,0.10250235754476736,0.08213467767212304,22.0,True,24
2021-06-30,2021-06-30,CHCC,Cherat Cement Company Limited,177.38,1.57,116577023.0,116577023.0,1.0,20678432339.74,725195.8333333334,1.0,182,,,,,True,True,True,True,True,True,True,True,0.13431415847846376,0.02828207885273942,0.08129811866560159,23.0,True,24
2021-06-30,2021-06-30,NML,Nishat Mills Ltd.,93.3,1.12,158219932.0,158219932.0,1.0,14761919655.6,1641795.8333333333,1.0,182,,,,,True,True,True,True,True,True,True,True,0.06783713176395587,0.06671047405428963,0.06727380290912274,24.0,True,24
2021-12-31,2021-12-31,TRG,TRG Pakistan Ltd.,117.9,4.62,463582065.0,463582065.0,1.0,54656325463.5,9503910.553719008,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6050272344473918,0.9677306240930295,0.7863789292702106,1.0,True,25
2021-12-31,2021-12-31,HBL,Habib Bank Limited,116.62,7.24,733426254.0,733426254.0,1.0,85532169741.48,1979536.5041322315,1.0,182,,,,,True,True,True,True,True,True,True,True,0.9900861020176068,0.19915831838984688,0.5946222102037269,2.0,True,25
2021-12-31,2021-12-31,UNITY,Unity Foods Limited.,26.47,1.11,497025000.0,497025000.0,1.0,13156251750.0,9819829.892561983,1.0,182,,,,,True,True,True,True,True,True,True,True,0.08747146352399275,1.0,0.5437357317619964,3.0,True,25
2021-12-31,2021-12-31,ENGRO,Engro Corporation Limited.,272.42,7.3,316889777.0,316889777.0,1.0,86327113050.34,338299.8181818182,1.0,182,,,,,True,True,True,True,True,True,True,True,1.0,0.03151526188937519,0.5157576309446876,4.0,True,25
2021-12-31,2021-12-31,HUBC,The Hub Power Company Limited,71.34,5.87,972865790.0,972865790.0,1.0,69404245458.6,1645079.826446281,1.0,182,,,,,True,True,True,True,True,True,True,True,0.7889515126372307,0.16499545803323903,0.47697348533523487,5.0,True,25
2021-12-31,2021-12-31,LUCK,Lucky Cement Limited.,679.28,6.51,113181250.0,113181250.0,1.0,76881759500.0,548645.9669421487,1.0,182,,,,,True,True,True,True,True,True,True,True,0.8822050950526372,0.0530009327881246,0.4676030139203809,6.0,True,25
2021-12-31,2021-12-31,UBL,United Bank Limited,136.58,5.66,489671875.0,489671875.0,1.0,66879384687.5,1539126.3388429752,1.0,182,,,,,True,True,True,True,True,True,True,True,0.7574634658476699,0.1541729077814957,0.4558181868145828,7.0,True,25
2021-12-31,2021-12-31,OGDC,Oil & Gas Development Company Limited,86.2,4.71,645139260.0,645139260.0,1.0,55611004212.0,2593713.8347107437,1.0,182,,,,,True,True,True,True,True,True,True,True,0.61693322524334,0.2618930633616597,0.4394131443024999,8.0,True,25
2021-12-31,2021-12-31,FFC,Fauji Fertilizer Company Limited,100.26,5.94,699731036.0,699731036.0,1.0,70155033669.36,750449.8181818182,1.0,182,,,,,True,True,True,True,True,True,True,True,0.7983147435052685,0.07361405624861665,0.4359643998769426,9.0,True,25
2021-12-31,2021-12-31,MCB,MCB Bank Limited,153.35,5.38,414771002.0,414771002.0,1.0,63605133156.7,823850.4214876033,1.0,182,,,,,True,True,True,True,True,True,True,True,0.7166296160834692,0.08111151325314052,0.39887056466830484,10.0,True,25
2021-12-31,2021-12-31,PPL,Pakistan Petroleum Limited.,79.04,4.46,666680496.0,666680496.0,1.0,52694426403.84,1578191.2314049588,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5805599964538863,0.15816316588808993,0.36936158117098816,11.0,True,25
2021-12-31,2021-12-31,SYS,Systems Limited,759.84,5.33,82823797.0,82823797.0,1.0,62932833912.48,168181.04958677685,1.0,182,,,,,True,True,True,True,True,True,True,True,0.7082452369125881,0.014138590639272,0.3611919137759301,12.0,True,25
2021-12-31,2021-12-31,MEBL,Meezan Bank Limited,134.11,4.62,406732800.0,406732800.0,1.0,54546935808.0,1040931.3223140496,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6036630140396355,0.1032851010323749,0.3534740575360052,13.0,True,25
2021-12-31,2021-12-31,EFERT,Engro Fertilizers Limited,76.09,3.87,600884719.0,600884719.0,1.0,45721318268.71,1492138.2809917356,1.0,182,,,,,True,True,True,True,True,True,True,True,0.49359696160425354,0.14937334309674627,0.3214851523504999,14.0,True,25
2021-12-31,2021-12-31,BAHL,Bank Al-Habib Ltd.,69.01,4.22,722426520.0,722426520.0,1.0,49854654145.2,345021.5041322314,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5451446251291554,0.03220184413994864,0.288673234634552,15.0,True,25
2021-12-31,2021-12-31,MLCF,Maple Leaf Cement Factory Ltd.,35.95,1.5,494255804.0,494255804.0,1.0,17768496153.8,4228824.32231405,1.0,182,,,,,True,True,True,True,True,True,True,True,0.14499169167046272,0.42891036330646287,0.2869510274884628,16.0,True,25
2021-12-31,2021-12-31,POL,Pakistan Oilfields Limited,357.62,3.93,129804223.0,129804223.0,1.0,46420586229.26,187941.03305785125,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5023176730637795,0.016156961331230683,0.2592373171975051,17.0,True,25
2021-12-31,2021-12-31,PSO,Pakistan State Oil Co Ltd.,181.89,3.25,211262985.0,211262985.0,1.0,38426624341.65,753527.5950413223,1.0,182,,,,,True,True,True,True,True,True,True,True,0.4026233656262389,0.07392843376915989,0.2382758996976994,18.0,True,25
2021-12-31,2021-12-31,MARI,Mari Petroleum Company Ltd.,1654.23,3.73,26680500.0,26680500.0,1.0,44135683515.0,29763.30578512397,1.0,182,,,,,True,True,True,True,True,True,True,True,0.4738221914911982,0.0,0.2369110957455991,19.0,True,25
2021-12-31,2021-12-31,DGKC,D. G. Khan Cement Co. Ltd.,82.94,1.54,219059559.0,219059559.0,1.0,18168799823.46,1851923.0247933883,1.0,182,,,,,True,True,True,True,True,True,True,True,0.14998395929351882,0.1861233223346406,0.1680536408140797,20.0,True,25
2021-12-31,2021-12-31,KAPCO,Kot Addu Power Company.,32.35,1.25,455968038.0,455968038.0,1.0,14750566029.3,1648677.685950413,1.0,182,,,,,True,True,True,True,True,True,True,True,0.10735447774738373,0.16536295905810353,0.13635871840274363,21.0,True,25
2021-12-31,2021-12-31,SEARL,The Searle Company Ltd.,143.72,1.71,140423708.0,140423708.0,1.0,20181695313.76,428421.5619834711,1.0,182,,,,,True,True,True,True,True,True,True,True,0.17508718403626322,0.0407206889416669,0.10790393648896507,22.0,True,25
2021-12-31,2021-12-31,PIOC,Pioneer Cement Limited,88.75,0.85,113574397.0,113574397.0,1.0,10079727733.75,1277176.0330578513,1.0,182,,,,,True,True,True,True,True,True,True,True,0.04910351338522821,0.12741616374270315,0.08825983856396569,23.0,True,25
2021-12-31,2021-12-31,ISL,International Steels Limited.,66.12,0.85,152250000.0,152250000.0,1.0,10066770000.0,1070440.694214876,1.0,182,,,,,True,True,True,True,True,True,True,True,0.04894191487996532,0.10629931668037507,0.0776206157801702,24.0,True,25
2021-12-31,2021-12-31,ATRL,Attock Refinery Limited,144.03,0.52,42646500.0,42646500.0,1.0,6142375395.0,1078531.9669421487,1.0,182,,,,,True,True,True,True,True,True,True,True,0.0,0.10712579448372335,0.053562897241861675,25.0,True,25
2022-06-30,2022-06-30,TRG,TRG Pakistan Ltd.,77.33,3.31,463582065.0,463582065.0,1.0,35848801086.45,8420583.674796747,1.0,182,,,,,True,True,True,True,True,True,True,True,0.3905679708323233,1.0,0.6952839854161617,1.0,True,26
2022-06-30,2022-06-30,FFC,Fauji Fertilizer Company Limited,110.22,7.13,699731036.0,699731036.0,1.0,77124354787.92,908295.162601626,1.0,182,,,,,True,True,True,True,True,True,True,True,0.9419583364035736,0.10476773096110531,0.5233630336823395,2.0,True,26
2022-06-30,2022-06-30,ENGRO,Engro Corporation Limited.,257.09,7.53,316889777.0,316889777.0,1.0,81469192768.93,358146.9593495935,1.0,182,,,,,True,True,True,True,True,True,True,True,1.0,0.03920709341297758,0.5196035467064888,3.0,True,26
2022-06-30,2022-06-30,HUBC,The Hub Power Company Limited,68.17,6.13,972865790.0,972865790.0,1.0,66320260904.3,1488648.8699186991,1.0,182,,,,,True,True,True,True,True,True,True,True,0.7976289999822629,0.1739279296679549,0.4857784648251089,4.0,True,26
2022-06-30,2022-06-30,HBL,Habib Bank Limited,91.34,6.19,733426254.0,733426254.0,1.0,66991154040.36,1011415.8536585366,1.0,182,,,,,True,True,True,True,True,True,True,True,0.8065913028074868,0.11705652552615343,0.4618239141668201,5.0,True,26
2022-06-30,2022-06-30,OGDC,Oil & Gas Development Company Limited,78.67,4.69,645139260.0,645139260.0,1.0,50753105584.2,2617308.3414634145,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5896710516786239,0.30842920421870673,0.4490501279486653,6.0,True,26
2022-06-30,2022-06-30,UNITY,Unity Foods Limited.,20.07,0.89,477620000.0,477620000.0,1.0,9585833400.0,7098597.430894309,1.0,182,,,,,True,True,True,True,True,True,True,True,0.039727193302018224,0.8424601580669102,0.4410936756844642,7.0,True,26
2022-06-30,2022-06-30,EFERT,Engro Fertilizers Limited,88.64,4.93,600884719.0,600884719.0,1.0,53262421492.16,1872744.3983739838,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6231924097645978,0.21970022807056802,0.4214463189175829,8.0,True,26
2022-06-30,2022-06-30,UBL,United Bank Limited,113.13,5.12,489671875.0,489671875.0,1.0,55396579218.75,956663.9918699187,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6517021183820078,0.11053179828976488,0.3811169583358863,9.0,True,26
2022-06-30,2022-06-30,PPL,Pakistan Petroleum Limited.,67.51,4.17,667332135.0,667332135.0,1.0,45051592433.85,1485647.569105691,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5135058851730849,0.1735702675078108,0.34353807634044786,10.0,True,26
2022-06-30,2022-06-30,SYS,Systems Limited,329.86,5.05,165693794.0,165693794.0,1.0,54655754888.84,303087.34146341466,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6418056212678187,0.03264569117547814,0.3372256562216484,11.0,True,26
2022-06-30,2022-06-30,MCB,MCB Bank Limited,122.98,4.72,414771002.0,414771002.0,1.0,51008537825.96,525426.4634146341,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5930833106196278,0.059141632634247265,0.3261124716269376,12.0,True,26
2022-06-30,2022-06-30,LUCK,Lucky Cement Limited.,459.04,4.8,113181250.0,113181250.0,1.0,51954721000.0,371936.60162601626,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6057231479917599,0.040850391953005216,0.32328676997238254,13.0,True,26
2022-06-30,2022-06-30,MEBL,Meezan Bank Limited,112.98,4.25,406732800.0,406732800.0,1.0,45952671744.0,923471.8455284553,1.0,182,,,,,True,True,True,True,True,True,True,True,0.525543190688737,0.10657632181474642,0.3160597562517417,14.0,True,26
2022-06-30,2022-06-30,POL,Pakistan Oilfields Limited,405.81,4.87,129809470.0,129809470.0,1.0,52677981020.7,161651.28455284552,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6153850076508984,0.015790890944308016,0.3155879492976032,15.0,True,26
2022-06-30,2022-06-30,MLCF,Maple Leaf Cement Factory Ltd.,27.35,1.25,494255804.0,494255804.0,1.0,13517896239.4,4020981.113821138,1.0,182,,,,,True,True,True,True,True,True,True,True,0.09225469134957752,0.4757035519685289,0.2839791216590532,16.0,True,26
2022-06-30,2022-06-30,EPCL,Engro Polymer & Chemicals Ltd.,79.63,2.34,318123167.0,318123167.0,1.0,25332147788.21,2424610.886178862,1.0,182,,,,,True,True,True,True,True,True,True,True,0.2500784852486053,0.2854656319527631,0.2677720586006842,17.0,True,26
2022-06-30,2022-06-30,MARI,Mari Petroleum Company Ltd.,1739.74,4.29,26680500.0,26680500.0,1.0,46417133070.0,29142.959349593497,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5317478197577767,0.0,0.26587390987888837,18.0,True,26
2022-06-30,2022-06-30,BAHL,Bank Al-Habib Ltd.,58.06,3.88,722426520.0,722426520.0,1.0,41944083751.2,473058.0487804878,1.0,182,,,,,True,True,True,True,True,True,True,True,0.4719934112052022,0.0529009385258154,0.26244717486550884,19.0,True,26
2022-06-30,2022-06-30,PSO,Pakistan State Oil Co Ltd.,171.84,3.36,211262985.0,211262985.0,1.0,36303431342.4,988230.8780487805,1.0,182,,,,,True,True,True,True,True,True,True,True,0.3966412689603408,0.11429359405872656,0.25546743150953366,20.0,True,26
2022-06-30,2022-06-30,DGKC,D. G. Khan Cement Co. Ltd.,62.5,1.27,219059559.0,219059559.0,1.0,13691222437.5,1553196.056910569,1.0,182,,,,,True,True,True,True,True,True,True,True,0.09457011506078095,0.18161995648202153,0.13809503577140125,21.0,True,26
2022-06-30,2022-06-30,AVN,Avanceon Limited.,77.91,0.7,97410190.0,97410190.0,1.0,7589227902.9,2132616.235772358,1.0,182,,,,,True,True,True,True,True,True,True,True,0.013055012405064468,0.2506689074917306,0.13186195994839753,22.0,True,26
2022-06-30,2022-06-30,KAPCO,Kot Addu Power Company.,27.53,1.16,456067621.0,456067621.0,1.0,12555541606.13,1460163.731707317,1.0,182,,,,,True,True,True,True,True,True,True,True,0.07939882327604919,0.17053338286993655,0.12496610307299287,23.0,True,26
2022-06-30,2022-06-30,ATRL,Attock Refinery Limited,175.78,0.69,42646500.0,42646500.0,1.0,7496401770.0,1348068.8048780488,1.0,182,,,,,True,True,True,True,True,True,True,True,0.011814970037020513,0.1571751371728751,0.0844950536049478,24.0,True,26
