date,kse_ff_mcap_logdiff,kse_avg_price_logdiff,kse_volume_log1p_diff,kse_weight_sum_centered,kse_constituent_mean_log_return
2020-01-01,,,,0.0,
2020-01-02,0.02806375724424029,0.020399581307320426,1.0090764139481117,-0.010000000000005116,0.025610755718074377
2020-01-03,-0.0033246464453496336,-0.00392228817423897,-0.14453763735049208,-0.010000000000005116,-0.0047990574737643895
2020-01-06,-0.024150455678232968,-0.025300236979270283,-0.3043269380201217,0.0,-0.030959323919630403
2020-01-07,0.01681605808816075,0.017394700602526708,-0.310817956584998,-0.030000000000001137,0.01587992539497255
2020-01-08,-0.013546671691377257,-0.006848961822345456,0.47693461169468065,0.010000000000005116,-0.01803213554970156
2020-01-09,0.0303674230980841,0.03112571526475626,0.22943088468407424,0.0,0.036252248964424263
2020-01-10,0.018870734113142173,0.011881543839160546,0.33471698823413476,-0.01999999999999602,0.019312429602830288
2020-01-13,-6.867114599751672e-05,-0.0002518182515086543,-0.4306455886775922,0.01999999999999602,0.002111184293632913
2020-01-14,-0.00012224246797224076,0.0002815426105357823,-0.3756393518235477,-0.01999999999999602,-0.0033073689860391733
2020-01-15,-0.004927257141349723,-0.005224049465650475,-0.11731373726183492,-0.01999999999999602,-0.003178272105794313
2020-01-16,0.0016887351753471554,0.00027766599068783935,0.32314951621338395,-0.010000000000005116,0.004900756712563261
2020-01-17,-0.00011792521788961478,0.0033189868623046937,-0.2478325390660956,0.010000000000005116,0.0013654365353227267
2020-01-20,-0.009972698900139252,0.004386163553026274,-0.07827453617350244,0.0,-0.01243957529809564
2020-01-21,-0.00385246318648394,-0.0031015249565671072,-0.07020472039170045,-0.009999999999990905,-0.0031011009041800666
2020-01-22,0.0008443158904897867,0.005435288947279838,0.06392902626899755,-0.01999999999999602,0.0014853961630846534
2020-01-23,-0.0005490328572142756,-0.0011836174816578506,0.2692266633523914,-0.010000000000005116,0.0002766957388606167
2020-01-24,0.003961725997787685,0.002808807408605647,-0.5315622391320964,-0.010000000000005116,0.004200405073747266
2020-01-27,-0.0034881564294569787,-0.004932383554336959,0.12040858289507739,-0.01999999999999602,-0.0005945159290679567
2020-01-28,-0.0074459328560548,-0.007779522425124355,-0.037335129233849074,0.0,-0.004887366308532897
2020-01-29,-0.010181263189828461,-0.00924025500252205,-0.13623657548601642,-0.01999999999999602,-0.010316446131269806
2020-01-30,0.001728778832448272,-0.0022038067224351716,0.10604822869091635,0.0,-0.0003820295353513199
2020-01-31,-0.01032284839165439,-0.013012128221619158,-0.02145171466661111,0.010000000000005116,-0.010810554569553526
2020-02-03,-0.03358224200535126,-0.03667151611672865,0.39714396481750214,0.030000000000001137,-0.03500784082790023
2020-02-04,0.014758336843362209,0.01302620837297179,-0.45079449470047805,0.0,0.014724354181161645
2020-02-06,-0.00412062239818677,-0.002520647906329412,-0.08214931052544472,0.0,-0.0008249793201449034
2020-02-07,-0.013933678778206345,-0.018525653580643855,0.6028748140781808,0.010000000000005116,-0.023474683137710763
2020-02-10,-0.019913168310791467,-0.02959122323798769,-0.3008605661872714,0.04000000000000625,-0.027861529833912994
2020-02-11,0.010902220784302018,0.017368578085083408,-0.14608564528780477,0.01999999999999602,0.01535746698222532
2020-02-12,0.021847903311124194,0.025648806998607214,0.09934181491004779,0.0,0.022650678490998558
2020-02-13,-0.0021197824389577683,-0.004976094673076498,0.017104813168504762,-0.030000000000001137,-0.002102014074963874
2020-02-14,-0.002936409789254937,-0.007523120660020552,-0.6398986418231587,0.020000000000010232,-0.009386206548559227
2020-02-17,0.00028918327875082194,0.000783089818625554,0.05855302808024021,-0.010000000000005116,0.0015106720268375498
2020-02-18,-0.0004851502083282142,-0.003655270415086377,0.024717736735123452,0.01999999999999602,-0.004984494407421947
2020-02-19,0.01059715886530317,0.01240251482659037,0.3400377109400132,-0.01999999999999602,0.015676848660888473
2020-02-20,-0.0038083579261938595,-0.006903007597184647,-0.08548175329681484,-0.010000000000005116,-0.0016218642588522732
2020-02-21,-0.006435710089245367,-0.006742966473584228,-0.28905615689295416,0.030000000000001137,-0.005691660361454133
2020-02-24,-0.030014596321006795,-0.02404635938904049,0.27972626693617286,0.01999999999999602,-0.03320571143901146
2020-02-25,-0.009639564991349365,-0.0019136015952275903,0.06399251088169677,-0.010000000000005116,-0.00247401496659331
2020-02-26,-0.012991405989318605,-0.009874162758393652,0.01586644332108378,-0.010000000000005116,-0.011765858481600973
2020-02-27,-0.00388408197802968,-0.004825185148697855,0.5942481250842562,0.0,-0.009066260262993987
2020-02-28,-0.005796755404010526,-0.007595203439518543,-0.041616083143591,-0.010000000000005116,-0.004155139134937017
2020-03-02,0.0352704337884749,0.03349135524538681,0.02322207803296905,0.01999999999999602,0.03587991993311902
2020-03-03,-0.004405892185698664,-0.007562732649727604,0.02030298645574291,0.010000000000005116,-0.0003675380153431731
2020-03-04,-0.009430823346269459,-0.011704775225811903,-0.15533409493330552,-0.01999999999999602,-0.010713861972981544
2020-03-05,0.012569457696281249,0.013943336374322884,0.4436328876977953,-0.009999999999990905,0.019488093506988984
2020-03-06,-0.039669532734451535,-0.016264347849076374,-0.07170601948744704,0.01999999999999602,-0.03401264029969409
2020-03-09,-0.040642832296771576,-0.03445610886442355,0.2023463801375982,-0.010000000000005116,-0.029358977886702706
2020-03-10,0.01580742413639795,0.01618289904602923,-0.028004847244158526,0.010000000000005116,0.02085620356223358
2020-03-11,-0.001401754228844469,-0.008378872936259295,-0.35587869978336073,0.030000000000001137,-0.00793048148889303
2020-03-12,-0.05690488453056581,-0.05518780101714371,0.1570829869222763,0.009999999999990905,-0.05700800068325715
2020-03-13,-0.008784381636695551,0.0307819769975782,0.11015684108839352,-0.01999999999999602,0.00619736558332514
2020-03-16,-0.07361359071698692,-0.07082944151323331,-0.5349811583563095,-0.010000000000005116,-0.07385252980050365
2020-03-17,-0.03727162178422978,-0.032806657906951975,0.23322556144843887,0.010000000000005116,-0.026321109811000776
2020-03-18,-0.07780015635771363,-0.07674379285798269,-0.5728747171371893,0.0,-0.07898821863130906
2020-03-19,-0.002985042304746672,-0.011959545222813785,0.83304496414544,-0.020000000000010232,-0.018617313491805385
2020-03-20,0.024481525662233803,0.02296160538404827,-0.2112696851222573,-0.01999999999999602,-0.00106725290561662
2020-03-24,-0.07754911492453438,-0.07751072466626108,-1.6081393793856478,-0.01999999999999602,-0.07873333905785539
2020-03-25,-0.05691724500691376,-0.06342528562171662,1.2322799179710344,-0.010000000000005116,-0.06026220493209719
2020-03-26,0.0038255348942917706,-0.002200561876095859,0.013741913887514556,0.0,-0.007680212125266486
2020-03-27,0.036455620717730376,0.029806420132288833,-0.3108762459528016,0.0,0.03962919935597505
2020-03-30,-0.0028581838334084523,0.0025730397512824695,0.03477894475879495,0.0,0.0038191564111989067
2020-03-31,0.04583119531434691,0.05591616662332375,0.5283840505912067,0.0,0.05315571513898834
2020-04-01,0.0046610757213360774,0.02264952999422071,-0.08359549409201605,0.0,0.008372730383446613
2020-04-02,0.04727853691044064,0.0528408849898715,0.21508410566508118,-0.010000000000005116,0.0554643868371372
2020-04-03,0.03395432671110253,0.038167004076200335,-0.048038018315953224,0.0,0.038026411845046994
2020-04-06,-0.03549602138953256,-0.039103722921832354,-0.09514338476969897,-0.010000000000005116,-0.04345495921649735
2020-04-07,0.02481091481281015,0.02217693761708786,-0.12364795678398366,0.0,0.024431458647475056
2020-04-08,-0.010721912339967193,-0.011287754137587596,-0.17955142098363197,0.030000000000001137,-0.013216309543546339
2020-04-09,0.03074245958155587,0.03535036456374173,0.2212117490727188,0.0,0.036364106459550315
2020-04-10,0.004162212837899544,-0.0009478955826659962,-0.501020217629577,0.010000000000005116,0.010615029327804493
2020-04-13,-0.03444333858417081,-0.0334024641583823,0.23264124043065948,0.0,-0.0372682294707846
2020-04-14,0.006923911866156493,0.01797540641976227,-0.22115292357269922,0.04999999999999716,0.012837226603195024
2020-04-15,-0.004218624613498866,-0.009327634432983956,0.5188402965002155,0.0,0.00011221467567799
2020-04-16,-0.001090928667286617,0.0032328005921572122,-0.466528791535854,-0.010000000000005116,-0.0025158747370373335
2020-04-17,0.04697717750376648,0.05435900491471353,0.4555796776101282,0.009999999999990905,0.052978282601905145
2020-04-20,0.027662279895640553,0.033462254951324794,0.7133359216684028,0.04999999999999716,0.024588422693257315
2020-04-21,-0.039835860297628714,-0.04489902771377766,-0.03598680052217773,-0.010000000000005116,-0.038471003856126104
2020-04-22,-0.0005050354422097073,-0.004348072298213191,-0.36766617665049495,-0.010000000000005116,0.0028315211592835564
2020-04-23,0.013851892395436964,0.01913087665471372,-0.21356907196100394,0.030000000000001137,0.008661906064384127
2020-04-24,-0.00015049131507187104,0.001064309094539965,-0.747422454426669,-0.010000000000005116,-0.00553275478137082
