date,nav_start,nav_end,aum,aum_prev,nav_return_m,fund_flow,fund_flow_pct
2021-02-28,14.6809,14.5485,473.18,480.86,-0.009018520662902096,-3.343354154036888,-0.006952863939684914
2021-03-31,14.4627,14.1281,460.04,473.18,-0.023135375828856275,-2.1928028653017577,-0.004634183324108706
2021-04-30,14.0873,14.0265,455.99,460.04,-0.004315944148275408,-2.0644930540273663,-0.004487638148916107
2021-05-31,14.026,15.1265,491.63,455.99,0.07846142877513196,-0.1376269071724323,-0.0003018200117819082
2021-06-30,15.2168,14.3166,478.97,491.63,-0.059158298722464586,16.423994400925324,0.033407225761091314
2021-07-31,14.4476,14.2038,474.66,478.97,-0.016874775049143143,3.772511005288095,0.007876299152949235
2021-08-31,14.3216,14.44,483.77,474.66,0.008267232711428818,5.18587532119318,0.010925452579094889
2021-09-30,14.4385,13.6729,457.9,483.77,-0.053024898708314505,-0.21814475187869675,-0.0004509265805624507
2021-10-31,13.6575,14.0364,468.54,457.9,0.02774299835255345,-2.0635189456342005,-0.00450648382973182
2021-11-30,14.2717,13.6916,457.03,468.54,-0.040646874583966874,7.534686617571765,0.016081202496204733
2021-12-31,13.78,13.5314,459.63,457.03,-0.018040638606676374,10.845113062409325,0.023729543054962093
2022-01-31,13.531,13.7543,467.52,459.63,0.016502845318158377,0.30479720641483254,0.0006631360146527262
2022-02-28,13.8434,13.4763,457.98,467.52,-0.026518051923660413,2.8577196353497243,0.006112507775816488
2022-03-31,13.5777,13.5963,461.5,457.98,0.0013698932808943187,2.892616275216028,0.006316031868675549
2022-04-30,13.664,13.6851,464.53,461.5,0.0015442037470725367,2.3173499707260135,0.00502134338185485
2022-05-31,13.5631,13.0362,443.02,464.53,-0.038848050961800884,-3.463914886714633,-0.007456816323412122
2022-06-30,12.9396,12.5729,427.6,443.02,-0.028339361340381397,-2.8650961389841996,-0.006467193668421741
2022-07-31,12.5997,12.1417,413.47,427.6,-0.03635007182710703,1.4132907132709533,0.0033051700497449795
2022-08-31,12.1187,12.79,437.46,413.47,0.05539373035061512,1.0863543119311316,0.0026274078214408095
2022-09-30,12.8221,12.4163,423.12,437.46,-0.031648481917938676,-0.49505510017854704,-0.0011316579805663307
2022-10-31,12.4159,12.4481,424.5,423.12,0.0025934487230083736,0.2826599763207014,0.0006680373802247622
2022-11-30,12.6082,12.7564,435.01,424.5,0.01175425516727202,5.520318681492995,0.013004284290914004
2022-12-31,12.7699,12.1766,418.56,435.01,-0.0464608180173689,3.760920445735678,0.008645595378808943
2023-01-31,12.2937,12.2535,418.13,418.56,-0.003269967544351826,0.9386776153638721,0.002242635740070413
2023-02-28,12.2368,12.1909,424.37,418.13,-0.003750980648535629,7.808397538572194,0.01867456900622341
2023-03-31,12.1615,12.0315,411.93,424.37,-0.010689470871191986,-7.903709246392282,-0.018624571120466296
2023-04-30,12.0311,12.4926,426.44,411.93,0.03835891979951955,-1.2911898330161193,-0.0031344884640985586
2023-05-31,12.5939,12.4125,422.24,426.44,-0.014403798664432754,1.9423559024606902,0.004554816392600812
2023-06-30,12.3936,12.4341,422.89,422.24,0.003267815646785577,-0.7298024786987867,-0.0017284067797906089
2023-07-31,13.2373,14.354,495.49,422.89,0.08436010364651403,36.92495576892571,0.0873157458651794
2023-08-31,14.4094,13.4558,458.11,495.49,-0.06617902202728776,-4.588956375699183,-0.009261451039777156
2023-09-30,13.5434,13.7907,469.23,458.11,0.018259816589630384,2.7549954221244093,0.006013829477907946
2023-10-31,13.9053,15.4195,532.12,469.23,0.10889373116725265,11.793794524390023,0.025134357403384315
2023-11-30,15.5388,17.8878,617.29,532.12,0.15116997451540648,4.729433160861845,0.008887907165417283
2023-12-31,18.2225,18.4068,617.19,617.29,0.010113870215393117,-6.343190945259948,-0.010275868627808564
2024-01-31,19.0355,18.2482,629.56,617.19,-0.041359565023246,37.89670993669711,0.061402015484206006
2024-02-29,18.3677,19.0054,672.07,629.56,0.03471855485444575,20.652586605835268,0.03280479478657359
2024-03-31,19.2207,19.6878,680.3,672.07,0.024301924487661664,-8.102594390422837,-0.0120561762769099
2024-04-30,19.6252,20.8621,722.69,680.3,0.06302610928805841,-0.48666214866602786,-0.0007153640286138879
2024-05-31,20.8621,22.1893,0.0,722.69,0.06361775660168423,-768.6659165184712,-1.0636177566016842
2024-06-30,22.1893,20.9332,823.51,0.0,-0.056608365293181806,823.51,inf
2024-07-31,21.0333,20.7653,823.86,823.51,-0.01274170006608577,10.842917421422271,0.013166710084179028
2024-08-31,20.7281,20.9038,828.74,823.86,0.008476416072867199,-2.1033801457923573,-0.0025530795836578514
2024-09-30,20.903,21.5119,853.95,828.74,0.029129789982299314,1.0689778500692455,0.0012898832565934376
