series,start,end,n_obs,mean,std
oil_price,2021-01-04,2026-02-27,1332,79.5951951951952,13.26157628061115
interest_rate,2021-09-21,2025-12-16,19,14.828947368421053,4.448823683148467
usdpkr,2021-03-01,2026-02-26,1220,241.64157377049182,50.37196355157612
cpi_yoy,2018-07-31,2026-01-31,91,13.076923076923075,9.231384594873163
