date,oil_price_end,oil_return_monthly,usdpkr_end,usdpkr_return_monthly,interest_rate_end,cpi_yoy_end,idx_return_monthly,idx_vol_monthly,nav_akd_end,nav_return_akd_monthly,aum_akd,flow_akd,flow_pct_akd,flow_spike_akd,nav_nbp_end,nav_return_nbp_monthly,aum_nbp,flow_nbp,flow_pct_nbp,flow_spike_nbp,nav_nti_end,nav_return_nti_monthly,aum_nti,flow_nti,flow_pct_nti,flow_spike_nti,sector_aum_mn,sector_aum_prev,w_akd_prev,w_nbp_prev,w_nti_prev,composite_return_monthly,composite_net_flow,total_fund_flow
2021-03-31,63.54,0.039640062302270476,160.16,-6.251761596790347e-05,7.25,9.0,-0.022861522601515288,0.24291638806898347,14.1281,-0.023135375828856275,460.04,-2.1928028653017577,-0.004634183324108706,False,11.2139,-0.019017959462178324,7.93,-0.7320714179489656,-0.08290729535095873,False,11.8943,-0.03640723607994367,50.62,-0.41187277720618454,-0.007777053950267835,False,518.59,534.97,0.8844981961605324,0.016505598444772604,0.09899620539469503,-0.02438127921106429,-3.3367470604569007,-3.3367470604569007
2021-04-30,67.25,-0.01735781920388947,157.84,-0.013082822726072262,7.25,11.1,-0.01867392943156766,0.20707974863546016,14.0265,-0.004315944148275408,455.99,-2.0644930540273663,-0.004487638148916107,False,11.4342,0.021740878749698433,8.1,-0.002405168485108078,-0.00030329993507037555,False,11.9829,0.0060195446302639954,50.61,-0.3147093491839641,-0.006217095005609722,False,514.7,518.59,0.8870977072446441,0.015291463391118223,0.09761082936423764,-0.002908641563284187,-2.3816075716964633,-2.3816075716964633
2021-05-31,69.32,-0.021910066884567835,154.59,-0.012889649235473439,7.25,10.8,0.07970387235403781,0.17926856654206225,15.1265,0.07846142877513196,491.63,-0.1376269071724323,-0.0003018200117819082,False,11.9622,0.06078906062943945,8.15,-0.44239139109845915,-0.05461622112326656,False,12.5987,0.0579319494827355,54.1,0.5580640366787577,0.011026754330740124,False,553.88,514.7,0.885933553526326,0.015737322712259565,0.09832912376141441,0.07616466730443389,-0.02195426159210001,-0.02195426159210001
2021-06-30,75.13,-0.07656554973291108,153.88,-0.013003437851348772,7.25,9.7,-0.03321905638573489,0.10574573951872147,14.3166,-0.059158298722464586,478.97,16.423994400925324,0.033407225761091314,False,10.9119,-0.09850299895903913,7.44,0.09279944151616881,0.011386434541861204,False,12.3531,-0.02956911111983973,52.58,0.07968891158332525,0.001472992820394182,False,538.99,553.88,0.8876110348812017,0.014714378565754315,0.09767458655304398,-0.056847119870774836,16.596482754024805,16.596482754024805
2021-07-30,76.33,0.10592378809384531,154.4,-0.0009690766803563944,7.25,9.7,-0.009965284659932305,0.10229897330112905,14.2038,-0.016874775049143143,474.66,3.772511005288095,0.007876299152949235,False,10.8762,-0.004658143514747581,8.11,0.7046565877497208,0.09471190695560763,False,11.4658,-0.07317861790786595,48.5,-0.23226827040440412,-0.004417426215374745,False,531.27,538.99,0.8886435740922838,0.013803595614018813,0.09755283029369746,-0.022198740834956873,4.244899322633387,4.244899322633387
2021-08-31,72.99,-0.027735621431888628,157.74,0.016236374818582797,7.25,8.4,0.010079176945693965,0.08960215082725484,14.44,0.008267232711428818,483.77,5.18587532119318,0.010925452579094889,False,10.9811,0.009700614218985493,12.6,4.411328018684028,0.5439368703679442,False,11.6068,0.012332757688349183,49.17,0.07186125211506322,0.0014816753013415097,False,545.54,531.27,0.8934440115195664,0.015265307659005778,0.0912906808214279,0.008660258264173982,9.66906459199231,9.66906459199231
2021-09-30,78.52,-0.08166544517905254,163.47,0.032634847962025336,7.25,9.0,-0.09361766139564548,0.14875100760841012,13.6729,-0.053024898708314505,457.9,-0.21814475187869675,-0.0004509265805624507,False,10.3444,-0.057449270608388225,6.78,-5.096139190334308,-0.4044554912963737,False,10.9525,-0.05556657382576369,46.94,0.5022084350127969,0.010213716392369267,False,511.61999999999995,545.54,0.8867727389375665,0.023096381566887855,0.09013087949554571,-0.053356169103640064,-4.812075507200177,-4.812075507200177
2021-10-22,85.53,-0.0725850311697302,165.81,0.006712051516898777,7.25,9.0,0.017118361378186345,0.19525082795037144,14.0364,0.02774299835255345,468.54,-2.0635189456342005,-0.00450648382973182,False,10.6774,0.020530269722631056,9.4,2.480804771280561,0.3659004087434456,False,11.4,0.029689377037926956,54.03,5.69638064183971,0.12135450877374755,False,531.97,511.61999999999995,0.8950001954575663,0.013252022985809783,0.09174778155662407,0.02782599103341143,6.113666467486155,6.113666467486155
2021-11-30,70.57,0.2251700812105821,170.79,0.030338666873323594,8.75,11.5,-0.02505677533132994,0.23228489233107605,13.6916,-0.040646874583966874,457.03,7.534686617571765,0.016081202496204733,False,10.4332,-0.02282497728741495,9.35,0.16455478650170008,0.017505828351244687,False,11.2739,-0.011009351369370424,53.04,-0.3951647455129148,-0.007313802434072086,False,519.42,531.97,0.8807639528544843,0.01767016937045322,0.1015658777750625,-0.0373217975798647,7.304076658560575,7.304076658560575
2021-12-31,77.78,-0.1369739863018969,169.97,-0.005556096800169754,9.75,12.3,-0.009054918778239614,0.24099507465920636,13.5314,-0.018040638606676374,459.63,10.845113062409325,0.023729543054962093,False,10.3169,-0.0017803063287954446,12.07,2.7366458641742373,0.29268939723788634,False,11.0233,-0.014809187594959305,52.4,0.1454793100366416,0.002742822587417828,False,524.1,519.42,0.8798852566323977,0.018000847098686996,0.10211389626891533,-0.01741796279815984,13.72723823662028,13.72723823662028
