month,akd_fund_flow,akd_fund_flow_pct,akd_nav_return_m,akd_nav_logdiff,akd_aum_logdiff,nbp_fund_flow,nbp_fund_flow_pct,nbp_nav_return_m,nbp_nav_logdiff,nbp_aum_logdiff,nti_fund_flow,nti_fund_flow_pct,nti_nav_return_m,nti_nav_logdiff,nti_aum_logdiff,total_fund_flow,total_fund_flow_pct_mean
2020-03-31,,,,,,,,,,,,,-0.1283200000000001,,,,
2020-04-30,,,,,,,,,,,40.96498007573423,6.160147379809659,0.1255669059046276,0.1595932837391956,1.9859154836690125,40.96498007573423,6.160147379809659
2020-05-31,,,,,,,,,,,0.20580604391457769,0.004247802763974772,-0.029634799667999645,0.006152125598581445,-0.025714806679408404,0.20580604391457769,0.004247802763974772
2020-06-30,,,,,,,,,,,3.305463478641208,0.07000134431684049,-0.002021674685328434,-0.001994561833461221,0.06576870443126703,3.305463478641208,0.07000134431684049
2020-07-31,,,,,,,,,,,1.2116706028472208,0.024026781734031742,0.09177730313608534,0.12228649481613016,0.10957529735655365,1.2116706028472208,0.024026781734031742
2020-08-31,,,,,,,,,,,0.2682045822845964,0.004766386747549252,0.024023376892045478,0.023558355977261376,0.028383124645725673,0.2682045822845964,0.004766386747549252
2020-09-30,,,,,,,,,,,-0.7988393105014779,-0.013799262575599896,-0.010902758498851695,-0.010373572117148221,-0.025012235265569956,-0.7988393105014779,-0.013799262575599896
2020-10-31,,,,,,,,0.0074494608152353425,,,-3.041263778916324,-0.05386581259150414,-0.028670496299746384,-0.04309337536538353,-0.08614227355990597,-3.041263778916324,-0.05386581259150414
2020-11-30,,,,,,5.193669406537922,3.0372335710748084,0.02709391430530861,0.026693616544574684,1.4022482890621324,0.08475067271742631,0.001636113372923288,0.018827207090397202,0.018554485234835907,0.02025675991070575,5.278420079255349,1.519434842223866
2020-12-31,,,,,,-1.014221598068544,-0.14593116518971858,0.03945634504583362,0.04471805191870911,-0.11258076363131335,-0.24872660802208202,-0.004705384185056414,0.036298271056036446,0.0394308963805285,0.031104099761827163,-1.262948206090626,-0.0753182746873875
2021-01-31,,,0.042166500350325986,,,-0.5600279461435242,-0.09018163383953691,0.046703372969971735,0.04564558035365768,-0.04445176257083381,-3.5118684718888815,-0.06440250269372605,0.04679751461377002,0.04776133469847645,-0.01776179904510128,-4.071896418032406,-0.07729206826663149
2021-02-28,-3.343354154036888,-0.006952863939684914,-0.009018520662902096,-0.012092789298978559,-0.016100301664290877,2.8264554231354104,0.47583424631909266,0.010697740212893825,0.010605560427463183,0.39644588124131497,-0.05979538657665273,-0.001116210315039252,-0.010270760004169266,-0.0139413480888576,-0.011452298264116229,-0.5766941174781302,0.15592172402145615
2021-03-31,-2.1928028653017577,-0.004634183324108706,-0.023135375828856275,-0.02932217354032053,-0.028162423559761868,-0.7320714179489656,-0.08290729535095873,-0.019017959462178324,-0.019244865485884246,-0.10750197896911208,-0.41187277720618454,-0.007777053950267835,-0.03640723607994367,-0.03712702336538037,-0.04519015651177481,-3.336747060456908,-0.03177284420844509
2021-04-30,-2.0644930540273663,-0.004487638148916107,-0.004315944148275408,-0.007217324417775472,-0.00884256277501811,-0.002405168485108078,-0.00030329993507037555,0.021740878749698433,0.019454784143175675,0.021211026031636403,-0.3147093491839641,-0.006217095005609722,0.0060195446302639954,0.0074213397421965446,-0.00019756989099129158,-2.3816075716964384,-0.0036693443631987347
2021-05-31,-0.1376269071724323,-0.0003018200117819082,0.07846142877513196,0.0754997749917782,0.0752555216043131,-0.44239139109845915,-0.05461622112326656,0.06078906062943945,0.045142813714450745,0.006153865574378286,0.5580640366787577,0.011026754330740124,0.0579319494827355,0.05011300052147066,0.06668500062644919,-0.02195426159213376,-0.01463042893476945
2021-06-30,16.423994400925324,0.033407225761091314,-0.059158298722464586,-0.05502846937935531,-0.026088436084297853,0.09279944151616881,0.011386434541861204,-0.09850299895903913,-0.09189774125845843,-0.09114707840777078,0.07968891158332525,0.001472992820394182,-0.02956911111983973,-0.01968659030993478,-0.028498366550700798,16.59648275402482,0.015422217707782232
2021-07-31,3.772511005288095,0.007876299152949235,-0.016874775049143143,-0.007910168732880253,-0.009039206708017833,0.7046565877497208,0.09471190695560763,-0.004658143514747581,-0.003277021121449231,0.08622701928232088,-0.23226827040440412,-0.004417426215374745,-0.07317861790786595,-0.07453835226198084,-0.08077202135829759,4.244899322633412,0.03272359329772737
2021-08-31,5.18587532119318,0.010925452579094889,0.008267232711428818,0.01649259902366332,0.019010828897256273,4.411328018684028,0.5439368703679442,0.009700614218985493,0.009598697498059288,0.44059894583011083,0.07186125211506322,0.0014816753013415097,0.012332757688349183,0.012222441797249704,0.013719883480410535,9.66906459199227,0.18544799941612689
2021-09-30,-0.21814475187869675,-0.0004509265805624507,-0.053024898708314505,-0.054586361848383266,-0.05495876749556651,-5.096139190334308,-0.4044554912963737,-0.057449270608388225,-0.05973030273070269,-0.619719712005128,0.5022084350127969,0.010213716392369267,-0.05556657382576369,-0.05802339255080966,-0.04641349100097067,-4.812075507200208,-0.13156423382818896
2021-10-31,-2.0635189456342005,-0.00450648382973182,0.02774299835255345,0.026238183846227673,0.022970657239589066,2.480804771280561,0.3659004087434456,0.020530269722631056,0.03168404771930396,0.326732587323654,5.69638064183971,0.12135450877374755,0.029689377037926956,0.04004561469453326,0.14066925743309697,6.113666467486071,0.1609161445624871
