date,idx_total_volume,idx_n_stocks,idx_ff_mcap_total,idx_log_return,idx_rolling_vol_30d,oil_price,oil_log_return,usdpkr,usdpkr_log_return,interest_rate,cpi_yoy
2021-01-04,217163729.0,30,1281777657363.02,0.00996924524916928,0.14560569128151998,51.09,-0.04796028473404962,159.98,0.0021853837800704062,7.25,8.0
2021-01-05,158944679.0,30,1277577771492.58,-0.0032819901393887022,0.13912245852795443,53.6,-0.012975158863133418,159.98,0.0021853837800704062,7.25,8.0
2021-01-06,152837437.0,30,1292121384402.46,0.011319432599781704,0.14081130805653194,54.3,-0.0014722122644349864,159.98,0.0021853837800704062,7.25,8.0
2021-01-07,170592314.0,30,1298032800725.13,0.0045645364436620916,0.13645911706489944,54.38,-0.029176664156477204,159.98,0.0021853837800704062,7.25,8.0
2021-01-08,129618109.0,30,1305964862673.48,0.006092237787516122,0.13143507013325761,55.99,0.005911347263057385,159.98,0.0021853837800704062,7.25,8.0
2021-01-11,114031972.0,30,1304029543059.15,-0.00148300698635721,0.1279813630372485,55.66,-0.016393809775676383,159.98,0.0021853837800704062,7.25,8.0
2021-01-12,141694033.0,30,1311955820615.29,0.006059897675390748,0.12777503760366443,56.58,0.009233020136778753,159.98,0.0021853837800704062,7.25,8.0
2021-01-13,145913079.0,30,1317011092523.04,0.003845828650999607,0.12350525909719291,56.06,-0.006401159837207989,159.98,0.0021853837800704062,7.25,8.0
2021-01-14,85598041.0,30,1309603559929.66,-0.005640379889745422,0.12531143695589372,56.42,0.023673989414981462,159.98,0.0021853837800704062,7.25,8.0
2021-01-15,89676486.0,30,1304957339722.79,-0.003554115031938613,0.1263644826392031,55.1,0.006372347462258612,159.98,0.0021853837800704062,7.25,8.0
2021-01-18,125076834.0,30,1298818842690.69,-0.004715081462179578,0.12808560355130325,54.75,-0.020787011464443242,159.98,0.0021853837800704062,7.25,8.0
2021-01-19,119822458.0,30,1309513890686.67,0.008200723625134056,0.12795244532654182,55.9,-0.0032148625652812122,159.98,0.0021853837800704062,7.25,8.0
2021-01-20,127427694.0,30,1300823328508.93,-0.006658598914515039,0.13071664444302195,56.08,-0.0003565698023159898,159.98,0.0021853837800704062,7.25,8.0
2021-01-21,85321833.0,30,1309206175466.36,0.006423586989641201,0.13118075811734534,56.1,0.01237572964939248,159.98,0.0021853837800704062,7.25,8.0
2021-01-22,73287130.0,30,1306105209463.85,-0.0023713944531204073,0.13155052809814677,55.41,-0.00844645150950289,159.98,0.0021853837800704062,7.25,8.0
2021-01-25,127207086.0,30,1313591957955.99,0.00571575139889867,0.1318425847190916,55.88,-0.0005367206497927745,159.98,0.0021853837800704062,7.25,8.0
2021-01-26,181203122.0,30,1319998929435.8,0.0048655880078691755,0.1214691157029041,55.91,0.0017901902382116157,159.98,0.0021853837800704062,7.25,8.0
2021-01-27,185031635.0,30,1327625596601.23,0.005761155469808307,0.12098652734776759,55.81,0.005029649546826456,159.98,0.0021853837800704062,7.25,8.0
2021-01-28,162369841.0,30,1320006463551.49,-0.005755447818066412,0.12328057643350047,55.53,-0.006283119135245309,159.98,0.0021853837800704062,7.25,8.0
2021-01-29,208699721.0,30,1324101542096.2,0.00309751478395123,0.12144308750443232,55.88,-0.008375706097024213,159.98,0.0021853837800704062,7.25,8.0
2021-02-01,144948415.0,30,1316513441216.62,-0.005747238286718459,0.12313794819255243,56.35,-0.019506813065358133,159.98,0.0021853837800704062,7.25,5.7
2021-02-02,142467037.0,30,1329565232785.1,0.009865086436393581,0.11766663476907356,57.46,-0.017253706131956384,159.98,0.0021853837800704062,7.25,5.7
2021-02-03,168090149.0,30,1341229882510.3901,0.008735019640163334,0.11342356535644176,58.46,-0.006479136050136884,159.98,0.0021853837800704062,7.25,5.7
2021-02-04,130683036.0,30,1341725548864.6,0.00036949280189515436,0.11362552459059104,58.84,-0.00846171912943893,159.98,0.0021853837800704062,7.25,5.7
2021-02-08,110168461.0,30,1336507165553.75,-0.0038968905775163647,0.11398454147365135,60.56,-0.008713577532482272,159.98,0.0021853837800704062,7.25,5.7
2021-02-09,146832958.0,30,1335597857854.75,-0.0006805928106372841,0.11379565531931975,61.09,-0.006201064257242408,159.98,0.0021853837800704062,7.25,5.7
2021-02-10,135919838.0,30,1334756515561.37,-0.0006301353330441724,0.10476782120672191,61.47,0.005382934456229529,159.98,0.0021853837800704062,7.25,5.7
2021-02-11,206443624.0,30,1317463937578.48,-0.013040260668871479,0.11269917246352604,61.14,-0.020879612610964337,159.98,0.0021853837800704062,7.25,5.7
2021-02-12,113507854.0,30,1309409697836.14,-0.0061322058838367615,0.11516525290298253,62.43,-0.01383940007647773,159.98,0.0021853837800704062,7.25,5.7
2021-02-15,163916693.0,30,1326038368951.6099,0.012619403887993055,0.10350176904946412,63.3,-0.0007895776170175851,159.98,0.0021853837800704062,7.25,5.7
2021-02-16,156006180.0,30,1344693941114.09,0.013970606878667828,0.10695128211431468,63.35,-0.01550661504373227,159.98,0.0021853837800704062,7.25,5.7
